code,date,p2b
000001.SZ,20110331,1.6722
000002.SZ,20110331,2.1601
000004.SZ,20110331,15.6692
000005.SZ,20110331,5.484
000006.SZ,20110331,2.4257
000007.SZ,20110331,nan
000008.SZ,20110331,11.6908
000009.SZ,20110331,7.9537
000010.SZ,20110331,46.7435
000011.SZ,20110331,5.7785
000012.SZ,20110331,6.6984
000014.SZ,20110331,3.9575
000016.SZ,20110331,1.5013
000017.SZ,20110331,nan
000018.SZ,20110331,9.7769
000019.SZ,20110331,6.4665
000020.SZ,20110331,10.0452
000021.SZ,20110331,3.3746
000022.SZ,20110331,3.2382
000023.SZ,20110331,4.1657
000024.SZ,20110331,1.6713
000025.SZ,20110331,13.7736
000026.SZ,20110331,3.652
000027.SZ,20110331,1.5828
000028.SZ,20110331,7.6256
000029.SZ,20110331,3.9619
000030.SZ,20110331,nan
000031.SZ,20110331,2.3116
000032.SZ,20110331,3.2127
000033.SZ,20110331,7.6066
000034.SZ,20110331,48.393
000035.SZ,20110331,nan
000036.SZ,20110331,3.1861
000037.SZ,20110331,1.9819
000039.SZ,20110331,3.9387
000040.SZ,20110331,2.9816
000042.SZ,20110331,1.7816
000043.SZ,20110331,1.6782
000045.SZ,20110331,3.2453
000046.SZ,20110331,2.5544
000048.SZ,20110331,nan
000049.SZ,20110331,22.6638
000050.SZ,20110331,5.9927
000055.SZ,20110331,5.1061
000056.SZ,20110331,22.5065
000058.SZ,20110331,3.9892
000059.SZ,20110331,2.1158
000060.SZ,20110331,7.2086
000061.SZ,20110331,4.1266
000062.SZ,20110331,3.5471
000063.SZ,20110331,3.724
000065.SZ,20110331,7.2714
000066.SZ,20110331,3.4076
000068.SZ,20110331,22.8095
000069.SZ,20110331,3.4776
000070.SZ,20110331,3.8333
000078.SZ,20110331,10.5657
000088.SZ,20110331,2.2725
000089.SZ,20110331,1.7017
000090.SZ,20110331,1.4554
000096.SZ,20110331,2.1258
000099.SZ,20110331,4.0347
000100.SZ,20110331,1.8108
000150.SZ,20110331,2.4794
000151.SZ,20110331,4.2307
000153.SZ,20110331,3.9009
000155.SZ,20110331,1.9341
000157.SZ,20110331,3.1511
000158.SZ,20110331,2.3005
000159.SZ,20110331,4.4233
000301.SZ,20110331,2.3809
000338.SZ,20110331,4.7855
000400.SZ,20110331,5.4351
000401.SZ,20110331,4.3584
000402.SZ,20110331,1.2948
000404.SZ,20110331,5.0785
000407.SZ,20110331,3.4432
000408.SZ,20110331,23.227
000409.SZ,20110331,35.9557
000410.SZ,20110331,4.6602
000411.SZ,20110331,9.9538
000413.SZ,20110331,26.582
000415.SZ,20110331,15.6576
000416.SZ,20110331,6.5366
000417.SZ,20110331,6.4599
000418.SZ,20110331,4.06
000419.SZ,20110331,4.1514
000420.SZ,20110331,4.073
000421.SZ,20110331,3.0873
000422.SZ,20110331,4.2507
000423.SZ,20110331,10.9179
000425.SZ,20110331,4.7416
000426.SZ,20110331,6.7049
000428.SZ,20110331,3.8132
000429.SZ,20110331,1.4293
000430.SZ,20110331,nan
000488.SZ,20110331,1.2157
000501.SZ,20110331,5.3593
000502.SZ,20110331,7.3287
000503.SZ,20110331,7.7685
000504.SZ,20110331,21.5072
000505.SZ,20110331,4.5404
000506.SZ,20110331,13.0068
000507.SZ,20110331,3.7007
000509.SZ,20110331,nan
000510.SZ,20110331,4.3937
000511.SZ,20110331,2.6826
000513.SZ,20110331,4.3323
000514.SZ,20110331,2.6942
000516.SZ,20110331,4.0239
000517.SZ,20110331,4.9299
000518.SZ,20110331,12.7704
000519.SZ,20110331,8.114
000520.SZ,20110331,3.5427
000521.SZ,20110331,1.5713
000522.SZ,20110331,7.3546
000523.SZ,20110331,2.9337
000524.SZ,20110331,5.1535
000525.SZ,20110331,7.1464
000526.SZ,20110331,8.9373
000527.SZ,20110331,3.8123
000528.SZ,20110331,2.5991
000529.SZ,20110331,6.2666
000530.SZ,20110331,2.8552
000531.SZ,20110331,3.3435
000532.SZ,20110331,6.1123
000533.SZ,20110331,6.1728
000534.SZ,20110331,2.9071
000536.SZ,20110331,7.0459
000537.SZ,20110331,8.2322
000538.SZ,20110331,8.7773
000539.SZ,20110331,1.7227
000540.SZ,20110331,10.8463
000541.SZ,20110331,5.3884
000543.SZ,20110331,1.6043
000544.SZ,20110331,5.5444
000545.SZ,20110331,215.2215
000546.SZ,20110331,19.092
000547.SZ,20110331,2.924
000548.SZ,20110331,2.4363
000550.SZ,20110331,4.8604
000551.SZ,20110331,3.6089
000552.SZ,20110331,7.6982
000553.SZ,20110331,4.6198
000554.SZ,20110331,5.9147
000555.SZ,20110331,nan
000557.SZ,20110331,nan
000558.SZ,20110331,5.1654
000559.SZ,20110331,4.4756
000560.SZ,20110331,2.3386
000561.SZ,20110331,7.4504
000562.SZ,20110331,3.5015
000563.SZ,20110331,5.6016
000564.SZ,20110331,3.2275
000565.SZ,20110331,4.0889
000566.SZ,20110331,12.6347
000567.SZ,20110331,6.8489
000568.SZ,20110331,11.2704
000570.SZ,20110331,2.6953
000571.SZ,20110331,3.6801
000572.SZ,20110331,1.1576
000573.SZ,20110331,2.1603
000576.SZ,20110331,11.276
000581.SZ,20110331,5.4583
000582.SZ,20110331,5.9245
000584.SZ,20110331,2.4105
000585.SZ,20110331,13.4702
000586.SZ,20110331,13.9764
000587.SZ,20110331,nan
000589.SZ,20110331,1.6631
000590.SZ,20110331,11.0444
000591.SZ,20110331,6.2855
000592.SZ,20110331,5.1858
000593.SZ,20110331,6.9273
000594.SZ,20110331,1.9144
000595.SZ,20110331,9.8978
000596.SZ,20110331,16.6508
000597.SZ,20110331,2.9937
000598.SZ,20110331,5.4851
000599.SZ,20110331,2.1583
000600.SZ,20110331,1.7868
000601.SZ,20110331,1.6489
000602.SZ,20110331,12.6225
000603.SZ,20110331,58.6848
000605.SZ,20110331,20.5955
000606.SZ,20110331,6.0833
000607.SZ,20110331,8.4244
000608.SZ,20110331,2.2971
000609.SZ,20110331,3.5708
000610.SZ,20110331,6.7418
000611.SZ,20110331,3.8904
000612.SZ,20110331,4.9982
000613.SZ,20110331,23.3351
000615.SZ,20110331,2.3519
000616.SZ,20110331,1.7828
000617.SZ,20110331,7.6493
000619.SZ,20110331,1.9916
000623.SZ,20110331,2.6629
000625.SZ,20110331,1.7923
000626.SZ,20110331,6.2627
000627.SZ,20110331,4.4978
000628.SZ,20110331,27.0856
000629.SZ,20110331,4.9485
000630.SZ,20110331,5.301
000631.SZ,20110331,4.7616
000632.SZ,20110331,4.6427
000633.SZ,20110331,15.605
000635.SZ,20110331,3.3001
000636.SZ,20110331,3.4587
000637.SZ,20110331,5.9586
000638.SZ,20110331,9.109
000639.SZ,20110331,2.5186
000650.SZ,20110331,8.9989
000651.SZ,20110331,4.8001
000652.SZ,20110331,4.9045
000655.SZ,20110331,6.0088
000656.SZ,20110331,6.6729
000659.SZ,20110331,3.4683
000661.SZ,20110331,12.2698
000662.SZ,20110331,2.6069
000663.SZ,20110331,5.1612
000665.SZ,20110331,17.4451
000666.SZ,20110331,2.5479
000667.SZ,20110331,1.8171
000668.SZ,20110331,2.7148
000669.SZ,20110331,20.8789
000671.SZ,20110331,3.9237
000673.SZ,20110331,nan
000676.SZ,20110331,5.0639
000677.SZ,20110331,3.7957
000678.SZ,20110331,5.2026
000679.SZ,20110331,3.1459
000680.SZ,20110331,4.412
000682.SZ,20110331,3.7883
000683.SZ,20110331,3.2033
000685.SZ,20110331,2.2269
000686.SZ,20110331,4.3334
000687.SZ,20110331,3.9347
000690.SZ,20110331,3.1601
000691.SZ,20110331,14.6107
000692.SZ,20110331,2.0559
000695.SZ,20110331,12.7251
000697.SZ,20110331,9.9362
000698.SZ,20110331,2.2599
000700.SZ,20110331,3.4412
000701.SZ,20110331,4.3429
000702.SZ,20110331,4.4191
000703.SZ,20110331,33.2159
000705.SZ,20110331,2.9683
000707.SZ,20110331,2.064
000708.SZ,20110331,3.0781
000709.SZ,20110331,0.9455
000710.SZ,20110331,16.9552
000711.SZ,20110331,5.2204
000712.SZ,20110331,6.4611
000713.SZ,20110331,4.7699
000715.SZ,20110331,3.5229
000716.SZ,20110331,6.7547
000717.SZ,20110331,1.1542
000718.SZ,20110331,4.5354
000720.SZ,20110331,4.5314
000721.SZ,20110331,5.7633
000723.SZ,20110331,5.6301
000725.SZ,20110331,1.3849
000726.SZ,20110331,2.2815
000727.SZ,20110331,8.9274
000728.SZ,20110331,1.6075
000729.SZ,20110331,2.7848
000731.SZ,20110331,1.9255
000732.SZ,20110331,4.8436
000733.SZ,20110331,1.9975
000735.SZ,20110331,4.1222
000736.SZ,20110331,2.5562
000737.SZ,20110331,6.3663
000738.SZ,20110331,6.0781
000739.SZ,20110331,2.9879
000748.SZ,20110331,3.0462
000750.SZ,20110331,4.423
000751.SZ,20110331,7.4671
000752.SZ,20110331,13.2036
000753.SZ,20110331,4.4837
000755.SZ,20110331,2.7269
000756.SZ,20110331,2.1004
000758.SZ,20110331,11.9338
000759.SZ,20110331,3.2586
000760.SZ,20110331,11.8237
000761.SZ,20110331,1.5757
000762.SZ,20110331,14.9249
000766.SZ,20110331,5.9679
000767.SZ,20110331,3.4951
000768.SZ,20110331,3.1171
000776.SZ,20110331,4.9789
000777.SZ,20110331,7.0456
000778.SZ,20110331,1.9698
000779.SZ,20110331,8.0576
000780.SZ,20110331,4.1903
000782.SZ,20110331,2.87
000783.SZ,20110331,2.473
000785.SZ,20110331,4.4338
000786.SZ,20110331,3.624
000788.SZ,20110331,8.1803
000789.SZ,20110331,5.6456
000790.SZ,20110331,11.2315
000791.SZ,20110331,5.0526
000792.SZ,20110331,7.3297
000793.SZ,20110331,3.1679
000795.SZ,20110331,24.8327
000796.SZ,20110331,4.7783
000797.SZ,20110331,2.1442
000798.SZ,20110331,5.3356
