code,date,p2b
000001.SZ,20061130,4.0659
000002.SZ,20061130,4.7808
000004.SZ,20061130,4.3477
000005.SZ,20061130,2.7532
000006.SZ,20061130,2.5833
000007.SZ,20061130,7.3738
000008.SZ,20061130,4.4717
000009.SZ,20061130,3.6307
000010.SZ,20061130,17.8311
000011.SZ,20061130,4.9195
000012.SZ,20061130,3.6467
000014.SZ,20061130,2.819
000016.SZ,20061130,0.7852
000017.SZ,20061130,nan
000018.SZ,20061130,3.9772
000019.SZ,20061130,4.1216
000020.SZ,20061130,4.4203
000021.SZ,20061130,2.403
000022.SZ,20061130,4.4576
000023.SZ,20061130,3.236
000024.SZ,20061130,3.1763
000025.SZ,20061130,3.9034
000026.SZ,20061130,2.8177
000027.SZ,20061130,2.106
000028.SZ,20061130,4.7447
000029.SZ,20061130,5.2395
000030.SZ,20061130,nan
000031.SZ,20061130,5.6291
000032.SZ,20061130,1.5869
000033.SZ,20061130,2.5624
000034.SZ,20061130,nan
000035.SZ,20061130,nan
000036.SZ,20061130,2.249
000037.SZ,20061130,1.7214
000038.SZ,20061130,7.3153
000039.SZ,20061130,3.2622
000040.SZ,20061130,1.6293
000042.SZ,20061130,1.6574
000043.SZ,20061130,3.7077
000045.SZ,20061130,3.2448
000046.SZ,20061130,4.065
000048.SZ,20061130,13.854
000049.SZ,20061130,4.7492
000050.SZ,20061130,2.6773
000055.SZ,20061130,4.1112
000056.SZ,20061130,4.8743
000058.SZ,20061130,1.865
000059.SZ,20061130,1.4708
000060.SZ,20061130,4.1006
000061.SZ,20061130,3.1995
000062.SZ,20061130,2.0535
000063.SZ,20061130,3.6433
000065.SZ,20061130,1.6592
000066.SZ,20061130,1.4525
000068.SZ,20061130,1.8517
000069.SZ,20061130,7.8952
000070.SZ,20061130,1.5864
000078.SZ,20061130,2.0693
000088.SZ,20061130,3.5752
000089.SZ,20061130,2.8892
000090.SZ,20061130,1.9814
000096.SZ,20061130,1.5623
000099.SZ,20061130,1.6827
000100.SZ,20061130,1.4195
000150.SZ,20061130,3.2889
000151.SZ,20061130,1.2282
000153.SZ,20061130,1.2362
000155.SZ,20061130,1.3008
000157.SZ,20061130,3.9573
000158.SZ,20061130,0.9432
000159.SZ,20061130,1.4564
000301.SZ,20061130,1.52
000400.SZ,20061130,1.8445
000401.SZ,20061130,2.2361
000402.SZ,20061130,5.7744
000403.SZ,20061130,nan
000404.SZ,20061130,2.5938
000407.SZ,20061130,2.1893
000408.SZ,20061130,1.2428
000409.SZ,20061130,3.7416
000410.SZ,20061130,4.3137
000411.SZ,20061130,5.9402
000413.SZ,20061130,5.805
000415.SZ,20061130,2.1949
000416.SZ,20061130,2.2513
000417.SZ,20061130,1.9082
000418.SZ,20061130,1.4124
000419.SZ,20061130,1.9274
000420.SZ,20061130,0.8066
000421.SZ,20061130,3.886
000422.SZ,20061130,1.9086
000423.SZ,20061130,5.319
000425.SZ,20061130,3.4272
000426.SZ,20061130,0.9261
000428.SZ,20061130,3.6531
000429.SZ,20061130,1.4244
000430.SZ,20061130,6.1074
000488.SZ,20061130,1.1699
000498.SZ,20061130,2.1607
000501.SZ,20061130,2.9714
000502.SZ,20061130,3.6787
000503.SZ,20061130,4.8499
000504.SZ,20061130,3.908
000505.SZ,20061130,5.7872
000506.SZ,20061130,nan
000507.SZ,20061130,1.6936
000509.SZ,20061130,3.9341
000510.SZ,20061130,1.4
000511.SZ,20061130,1.5151
000513.SZ,20061130,1.5417
000514.SZ,20061130,3.1166
000515.SZ,20061130,3.4986
000516.SZ,20061130,2.1019
000518.SZ,20061130,2.1747
000519.SZ,20061130,2.0883
000520.SZ,20061130,1.6887
000521.SZ,20061130,1.5858
000522.SZ,20061130,2.5662
000523.SZ,20061130,1.5998
000524.SZ,20061130,1.6291
000525.SZ,20061130,3.1408
000526.SZ,20061130,2.4951
000527.SZ,20061130,2.3628
000528.SZ,20061130,3.712
000530.SZ,20061130,1.4664
000531.SZ,20061130,2.4511
000532.SZ,20061130,2.24
000533.SZ,20061130,5.5598
000534.SZ,20061130,2.0825
000536.SZ,20061130,nan
000537.SZ,20061130,5.6067
000538.SZ,20061130,10.9498
000539.SZ,20061130,1.7436
000540.SZ,20061130,7.6779
000541.SZ,20061130,1.5188
000543.SZ,20061130,1.1175
000544.SZ,20061130,2.8529
000545.SZ,20061130,25.1347
000546.SZ,20061130,2.2281
000547.SZ,20061130,2.222
000548.SZ,20061130,2.4135
000549.SZ,20061130,3.7756
000550.SZ,20061130,2.599
000551.SZ,20061130,1.8412
000552.SZ,20061130,4.342
000553.SZ,20061130,1.2294
000554.SZ,20061130,3.145
000555.SZ,20061130,nan
000557.SZ,20061130,nan
000558.SZ,20061130,3.6817
000559.SZ,20061130,2.2419
000560.SZ,20061130,nan
000561.SZ,20061130,nan
000562.SZ,20061130,3.908
000563.SZ,20061130,6.6112
