code,date,p2b
000001.SZ,20120531,1.0465
000002.SZ,20120531,1.871
000004.SZ,20120531,10.4661
000005.SZ,20120531,4.9831
000006.SZ,20120531,2.0788
000007.SZ,20120531,12.9548
000008.SZ,20120531,10.1154
000009.SZ,20120531,4.6626
000010.SZ,20120531,37.3508
000011.SZ,20120531,4.0669
000012.SZ,20120531,3.0733
000014.SZ,20120531,2.6715
000016.SZ,20120531,1.1518
000017.SZ,20120531,nan
000018.SZ,20120531,8.7131
000019.SZ,20120531,3.2133
000020.SZ,20120531,7.8313
000021.SZ,20120531,1.9389
000022.SZ,20120531,1.8814
000023.SZ,20120531,3.0344
000024.SZ,20120531,2.1106
000025.SZ,20120531,9.2814
000026.SZ,20120531,3.1585
000027.SZ,20120531,1.1704
000028.SZ,20120531,4.9457
000029.SZ,20120531,2.668
000030.SZ,20120531,2130.0673
000031.SZ,20120531,1.9406
000032.SZ,20120531,2.073
000033.SZ,20120531,5.6832
000034.SZ,20120531,21.6725
000035.SZ,20120531,nan
000036.SZ,20120531,2.2804
000037.SZ,20120531,1.5132
000039.SZ,20120531,2.1127
000040.SZ,20120531,2.1296
000042.SZ,20120531,1.7881
000043.SZ,20120531,1.4152
000045.SZ,20120531,1.9975
000046.SZ,20120531,2.6657
000048.SZ,20120531,8.942
000049.SZ,20120531,13.6699
000050.SZ,20120531,3.1175
000055.SZ,20120531,3.3336
000056.SZ,20120531,nan
000058.SZ,20120531,3.6981
000059.SZ,20120531,1.3958
000060.SZ,20120531,3.5745
000061.SZ,20120531,2.9638
000062.SZ,20120531,2.7684
000063.SZ,20120531,2.1582
000065.SZ,20120531,3.9367
000066.SZ,20120531,1.9503
000068.SZ,20120531,26.1037
000069.SZ,20120531,2.7656
000070.SZ,20120531,2.4407
000078.SZ,20120531,5.8275
000088.SZ,20120531,1.9377
000089.SZ,20120531,1.0569
000090.SZ,20120531,1.2719
000096.SZ,20120531,1.3175
000099.SZ,20120531,2.655
000100.SZ,20120531,1.685
000150.SZ,20120531,2.1527
000151.SZ,20120531,2.7037
000153.SZ,20120531,2.5855
000155.SZ,20120531,1.4254
000157.SZ,20120531,2.2297
000158.SZ,20120531,1.2485
000159.SZ,20120531,2.1838
000301.SZ,20120531,1.5308
000338.SZ,20120531,2.3255
000400.SZ,20120531,2.9438
000401.SZ,20120531,2.2596
000402.SZ,20120531,1.1288
000404.SZ,20120531,2.7006
000407.SZ,20120531,3.6264
000408.SZ,20120531,13.2099
000409.SZ,20120531,26.7038
000410.SZ,20120531,2.9833
000411.SZ,20120531,4.5412
000413.SZ,20120531,20.6482
000415.SZ,20120531,1.4166
000416.SZ,20120531,4.8484
000417.SZ,20120531,2.8179
000418.SZ,20120531,1.9918
000419.SZ,20120531,1.8295
000420.SZ,20120531,2.5463
000421.SZ,20120531,2.4757
000422.SZ,20120531,2.3727
000423.SZ,20120531,6.8291
000425.SZ,20120531,1.9806
000426.SZ,20120531,3.9728
000428.SZ,20120531,2.586
000429.SZ,20120531,1.0105
000430.SZ,20120531,10.7865
000488.SZ,20120531,0.7186
000501.SZ,20120531,3.1567
000502.SZ,20120531,7.2839
000503.SZ,20120531,4.3337
000504.SZ,20120531,14.4681
000505.SZ,20120531,3.8989
000506.SZ,20120531,6.1742
000507.SZ,20120531,2.0595
000509.SZ,20120531,nan
000510.SZ,20120531,3.8281
000511.SZ,20120531,2.4956
000513.SZ,20120531,2.5363
000514.SZ,20120531,1.692
000516.SZ,20120531,3.1396
000517.SZ,20120531,3.114
000518.SZ,20120531,6.9831
000519.SZ,20120531,6.2481
000520.SZ,20120531,nan
000521.SZ,20120531,1.1669
000522.SZ,20120531,6.1285
000523.SZ,20120531,2.6731
000524.SZ,20120531,3.3064
000525.SZ,20120531,2.3765
000526.SZ,20120531,5.3405
000527.SZ,20120531,2.0561
000528.SZ,20120531,1.643
000529.SZ,20120531,5.9283
000530.SZ,20120531,1.5186
000531.SZ,20120531,2.1526
000532.SZ,20120531,4.8085
000533.SZ,20120531,3.0442
000534.SZ,20120531,3.2206
000536.SZ,20120531,5.7929
000537.SZ,20120531,4.1635
000538.SZ,20120531,6.0546
000539.SZ,20120531,1.5334
