0,code,date,weight
time,,,
code,,,
weight,,,
,600743,2005/5/31,7.519558646
,600136,2005/5/31,4.171291596
,600083,2005/5/31,2.854157153
,766,2005/5/31,2.281542308
,48,2005/5/31,2.164504205
,600715,2005/5/31,1.941155766
,600763,2005/5/31,1.768333262
,676,2005/5/31,1.588565612
,600159,2005/5/31,1.463391766
,639,2005/5/31,1.28807645
,600807,2005/5/31,1.141012994
,600286,2005/5/31,1.103013127
,600781,2005/5/31,1.09187609
,600614,2005/5/31,1.056480652
,626,2005/5/31,1.018828041
,600647,2005/5/31,1.018046713
,600848,2005/5/31,0.965660472
,600768,2005/5/31,0.935932769
,600735,2005/5/31,0.901554299
,538,2005/5/31,0.874902303
,600309,2005/5/31,0.863876884
,22,2005/5/31,0.85833317
,803,2005/5/31,0.841776439
,631,2005/5/31,0.83759695
,2024,2005/5/31,0.832425297
,411,2005/5/31,0.813785022
,617,2005/5/31,0.784454185
,8,2005/5/31,0.773465972
,600818,2005/5/31,0.758211456
,7,2005/5/31,0.757578952
,851,2005/5/31,0.755011729
,600758,2005/5/31,0.730902152
,600616,2005/5/31,0.716974655
,600845,2005/5/31,0.712770361
,600403,2005/5/31,0.710674416
,49,2005/5/31,0.699549781
,600613,2005/5/31,0.694849406
,567,2005/5/31,0.691165998
,951,2005/5/31,0.679433663
,600822,2005/5/31,0.671992436
,600749,2005/5/31,0.654877613
,633,2005/5/31,0.647783643
,792,2005/5/31,0.646171377
,600181,2005/5/31,0.64158262
,600737,2005/5/31,0.636150524
,600817,2005/5/31,0.621739347
,600831,2005/5/31,0.619420165
,600691,2005/5/31,0.611160402
,838,2005/5/31,0.602652599
,600633,2005/5/31,0.589208782
,600200,2005/5/31,0.587732938
,637,2005/5/31,0.585140911
,635,2005/5/31,0.584545613
,801,2005/5/31,0.583106975
,2025,2005/5/31,0.578791063
,683,2005/5/31,0.57834459
,662,2005/5/31,0.577823704
,895,2005/5/31,0.577340024
,600272,2005/5/31,0.57513246
,600182,2005/5/31,0.570444487
,600880,2005/5/31,0.569563942
,600786,2005/5/31,0.565992152
,869,2005/5/31,0.560485644
,416,2005/5/31,0.553255252
,572,2005/5/31,0.552523531
,578,2005/5/31,0.549906699
,600583,2005/5/31,0.545863633
,600515,2005/5/31,0.545144314
,600290,2005/5/31,0.539588198
,503,2005/5/31,0.538360395
,69,2005/5/31,0.535024245
,885,2005/5/31,0.531204415
,600521,2005/5/31,0.521791262
,11,2005/5/31,0.521195964
,600651,2005/5/31,0.511782811
,4,2005/5/31,0.511460358
,600436,2005/5/31,0.510641823
,970,2005/5/31,0.509066763
,38,2005/5/31,0.508496269
,600695,2005/5/31,0.50710724
,563,2005/5/31,0.506139881
,600202,2005/5/31,0.500521754
,600858,2005/5/31,0.500162095
,29,2005/5/31,0.497669284
,537,2005/5/31,0.494829215
