code,date,p2b
000001.SZ,20110531,1.712
000002.SZ,20110531,1.94
000004.SZ,20110531,14.181
000005.SZ,20110531,5.1553
000006.SZ,20110531,2.1444
000007.SZ,20110531,6.6083
000008.SZ,20110531,11.246
000009.SZ,20110531,6.7724
000010.SZ,20110531,49.5008
000011.SZ,20110531,5.4432
000012.SZ,20110531,4.876
000014.SZ,20110531,3.1902
000016.SZ,20110531,1.3978
000017.SZ,20110531,nan
000018.SZ,20110531,8.9415
000019.SZ,20110531,6.0301
000020.SZ,20110531,8.6762
000021.SZ,20110531,2.733
000022.SZ,20110531,2.7251
000023.SZ,20110531,3.5335
000024.SZ,20110531,1.5068
000025.SZ,20110531,14.1604
000026.SZ,20110531,4.1616
000027.SZ,20110531,1.5187
000028.SZ,20110531,7.4134
000029.SZ,20110531,3.4151
000030.SZ,20110531,nan
000031.SZ,20110531,2.3093
000032.SZ,20110531,2.6722
000033.SZ,20110531,7.214
000034.SZ,20110531,35.8521
000035.SZ,20110531,nan
000036.SZ,20110531,2.4927
000037.SZ,20110531,2.0238
000039.SZ,20110531,3.1206
000040.SZ,20110531,2.7708
000042.SZ,20110531,1.7095
000043.SZ,20110531,1.3428
000045.SZ,20110531,2.7383
000046.SZ,20110531,2.6365
000048.SZ,20110531,nan
000049.SZ,20110531,12.0863
000050.SZ,20110531,5.0096
000055.SZ,20110531,4.6272
000056.SZ,20110531,105.4778
000058.SZ,20110531,3.9463
000059.SZ,20110531,2.1383
000060.SZ,20110531,5.5676
000061.SZ,20110531,4.078
000062.SZ,20110531,2.8942
000063.SZ,20110531,3.2082
000065.SZ,20110531,6.2517
000066.SZ,20110531,2.9323
000068.SZ,20110531,24.0079
000069.SZ,20110531,3.0975
000070.SZ,20110531,3.1269
000078.SZ,20110531,8.6556
000088.SZ,20110531,2.1324
000089.SZ,20110531,1.5909
000090.SZ,20110531,1.2315
000096.SZ,20110531,1.8556
000099.SZ,20110531,3.2566
000100.SZ,20110531,2.1826
000150.SZ,20110531,2.3881
000151.SZ,20110531,3.4506
000153.SZ,20110531,3.1954
000155.SZ,20110531,2.1242
000157.SZ,20110531,2.7284
000158.SZ,20110531,1.9646
000159.SZ,20110531,3.6924
000301.SZ,20110531,2.1038
000338.SZ,20110531,3.86
000400.SZ,20110531,4.5793
000401.SZ,20110531,3.5744
000402.SZ,20110531,1.219
000404.SZ,20110531,4.381
000407.SZ,20110531,2.8193
000408.SZ,20110531,17.8014
000409.SZ,20110531,37.3361
000410.SZ,20110531,3.8664
000411.SZ,20110531,11.6169
000413.SZ,20110531,23.0389
000415.SZ,20110531,15.4233
000416.SZ,20110531,5.1667
000417.SZ,20110531,5.8594
000418.SZ,20110531,3.2262
000419.SZ,20110531,2.4112
000420.SZ,20110531,3.2168
000421.SZ,20110531,2.6757
000422.SZ,20110531,3.3919
000423.SZ,20110531,9.3576
000425.SZ,20110531,3.6036
000426.SZ,20110531,4.9084
000428.SZ,20110531,3.114
000429.SZ,20110531,1.4603
000430.SZ,20110531,3.9083
000488.SZ,20110531,1.0961
000501.SZ,20110531,5.297
000502.SZ,20110531,6.3303
000503.SZ,20110531,6.3422
000504.SZ,20110531,18.7155
000505.SZ,20110531,4.7358
000506.SZ,20110531,9.4358
000507.SZ,20110531,2.8576
000509.SZ,20110531,nan
000510.SZ,20110531,3.934
000511.SZ,20110531,2.529
000513.SZ,20110531,3.1916
000514.SZ,20110531,2.2851
000516.SZ,20110531,3.3878
000517.SZ,20110531,4.6982
000518.SZ,20110531,9.5548
000519.SZ,20110531,7.4001
000520.SZ,20110531,3.8808
000521.SZ,20110531,1.7959
000522.SZ,20110531,5.8952
000523.SZ,20110531,2.5048
000524.SZ,20110531,4.4548
000525.SZ,20110531,6.5999
000526.SZ,20110531,7.443
000527.SZ,20110531,3.4967
000528.SZ,20110531,2.7683
000529.SZ,20110531,5.4489
000530.SZ,20110531,2.1868
000531.SZ,20110531,1.7935
000532.SZ,20110531,4.9556
000533.SZ,20110531,5.4488
000534.SZ,20110531,2.6398
000536.SZ,20110531,6.3467
000537.SZ,20110531,6.262
000538.SZ,20110531,8.6695
000539.SZ,20110531,1.5904
000540.SZ,20110531,6.8093
000541.SZ,20110531,4.6373
000543.SZ,20110531,1.6815
000544.SZ,20110531,4.5358
000545.SZ,20110531,nan
000546.SZ,20110531,13.4201
000547.SZ,20110531,2.0954
000548.SZ,20110531,2.1817
000550.SZ,20110531,3.2537
000551.SZ,20110531,2.8467
000552.SZ,20110531,6.435
000553.SZ,20110531,4.4674
000554.SZ,20110531,5.7158
000555.SZ,20110531,nan
000557.SZ,20110531,nan
000558.SZ,20110531,6.3851
000559.SZ,20110531,3.6744
000560.SZ,20110531,2.2536
000561.SZ,20110531,7.6501
000562.SZ,20110531,3.2574
000563.SZ,20110531,5.1676
000564.SZ,20110531,2.8139
000565.SZ,20110531,3.2823
000566.SZ,20110531,10.0525
000567.SZ,20110531,5.7258
000568.SZ,20110531,9.7614
000570.SZ,20110531,2.174
000571.SZ,20110531,3.4711
000572.SZ,20110531,1.3602
000573.SZ,20110531,2.0128
000576.SZ,20110531,10.6233
000581.SZ,20110531,4.3401
000582.SZ,20110531,4.6626
000584.SZ,20110531,1.9424
000585.SZ,20110531,11.6283
000586.SZ,20110531,8.5032
000587.SZ,20110531,59.7792
000589.SZ,20110531,1.4999
000590.SZ,20110531,8.5064
000591.SZ,20110531,5.7386
000592.SZ,20110531,4.8287
000593.SZ,20110531,5.9647
000594.SZ,20110531,1.9255
000595.SZ,20110531,11.9172
000596.SZ,20110531,14.9985
000597.SZ,20110531,2.6591
000598.SZ,20110531,1.7509
000599.SZ,20110531,2.0726
000600.SZ,20110531,1.658
000601.SZ,20110531,1.6217
000602.SZ,20110531,12.7539
000603.SZ,20110531,51.84
000605.SZ,20110531,23.8983
000606.SZ,20110531,6.4691
000607.SZ,20110531,10.0434
000608.SZ,20110531,1.8334
000609.SZ,20110531,4.16
000610.SZ,20110531,4.4842
000611.SZ,20110531,3.3932
000612.SZ,20110531,3.9851
000613.SZ,20110531,21.6416
000615.SZ,20110531,2.1067
000616.SZ,20110531,1.483
000617.SZ,20110531,5.9939
000619.SZ,20110531,1.6254
000623.SZ,20110531,2.7354
000625.SZ,20110531,1.6117
000626.SZ,20110531,6.8546
000627.SZ,20110531,3.9004
000628.SZ,20110531,14.3117
000629.SZ,20110531,3.8776
000630.SZ,20110531,3.6208
000631.SZ,20110531,3.5282
000632.SZ,20110531,4.4037
000633.SZ,20110531,18.5554
000635.SZ,20110531,3.4058
000636.SZ,20110531,3.223
000637.SZ,20110531,6.3559
000638.SZ,20110531,6.3619
000639.SZ,20110531,4.2687
000650.SZ,20110531,9.3377
000651.SZ,20110531,4.5053
000652.SZ,20110531,5.0817
000655.SZ,20110531,4.8538
000656.SZ,20110531,7.1001
000659.SZ,20110531,3.3368
000661.SZ,20110531,11.0598
000662.SZ,20110531,2.5965
000663.SZ,20110531,3.9518
000665.SZ,20110531,13.9078
000666.SZ,20110531,2.277
000667.SZ,20110531,1.5303
000668.SZ,20110531,2.2474
000669.SZ,20110531,14.8243
000671.SZ,20110531,2.3058
000673.SZ,20110531,nan
000676.SZ,20110531,4.1949
000677.SZ,20110531,5.0631
000678.SZ,20110531,4.0669
000679.SZ,20110531,2.567
000680.SZ,20110531,3.4351
000682.SZ,20110531,3.9841
000683.SZ,20110531,2.8998
000685.SZ,20110531,1.9437
000686.SZ,20110531,3.6732
000687.SZ,20110531,3.3696
000690.SZ,20110531,2.8841
000691.SZ,20110531,11.4103
000692.SZ,20110531,1.5709
000695.SZ,20110531,9.6549
000697.SZ,20110531,7.6378
000698.SZ,20110531,1.9651
000700.SZ,20110531,2.8262
000701.SZ,20110531,3.3857
000702.SZ,20110531,5.0054
000703.SZ,20110531,32.5571
000705.SZ,20110531,3.1407
000707.SZ,20110531,2.1085
000708.SZ,20110531,2.6779
000709.SZ,20110531,1.0379
000710.SZ,20110531,15.2331
000711.SZ,20110531,4.1337
000712.SZ,20110531,5.0572
000713.SZ,20110531,4.3132
000715.SZ,20110531,2.9088
000716.SZ,20110531,5.544
000717.SZ,20110531,1.0713
000718.SZ,20110531,3.5472
000720.SZ,20110531,4.672
000721.SZ,20110531,4.2796
000723.SZ,20110531,5.1038
000725.SZ,20110531,1.4205
000726.SZ,20110531,2.3277
000727.SZ,20110531,7.3462
000728.SZ,20110531,1.5236
000729.SZ,20110531,2.8436
000731.SZ,20110531,1.7373
000732.SZ,20110531,5.551
000733.SZ,20110531,1.6327
000735.SZ,20110531,3.7344
000736.SZ,20110531,1.9361
000737.SZ,20110531,10.1593
000738.SZ,20110531,4.7989
000739.SZ,20110531,2.6989
000748.SZ,20110531,2.5755
000750.SZ,20110531,4.6257
000751.SZ,20110531,7.373
000752.SZ,20110531,12.7083
000753.SZ,20110531,3.752
000755.SZ,20110531,2.1597
000756.SZ,20110531,1.9195
000758.SZ,20110531,11.713
000759.SZ,20110531,3.2446
000760.SZ,20110531,8.8156
000761.SZ,20110531,1.3494
000762.SZ,20110531,5.1986
000766.SZ,20110531,5.7032
000767.SZ,20110531,5.0271
000768.SZ,20110531,2.7055
000776.SZ,20110531,4.3231
000777.SZ,20110531,6.1591
000778.SZ,20110531,1.7801
000779.SZ,20110531,5.8331
000780.SZ,20110531,4.0109
000782.SZ,20110531,2.938
000783.SZ,20110531,1.9773
000785.SZ,20110531,4.2125
000786.SZ,20110531,3.0303
000788.SZ,20110531,6.6482
000789.SZ,20110531,4.1544
000790.SZ,20110531,10.5453
000791.SZ,20110531,4.4204
000792.SZ,20110531,7.1794
000793.SZ,20110531,3.1209
000795.SZ,20110531,18.2817
000796.SZ,20110531,3.8176
000797.SZ,20110531,1.8779
000798.SZ,20110531,5.1978
000799.SZ,20110531,6.8092
000800.SZ,20110531,2.3143
000801.SZ,20110531,5.3605
000802.SZ,20110531,2.8352
000803.SZ,20110531,11.0225
000806.SZ,20110531,3.039
000807.SZ,20110531,3.2319
000809.SZ,20110531,19.3873
000810.SZ,20110531,3.6306
000811.SZ,20110531,5.8712
000812.SZ,20110531,4.1701
000813.SZ,20110531,11.122
000815.SZ,20110531,3.1555
000816.SZ,20110531,3.8909
000818.SZ,20110531,2.1653
000819.SZ,20110531,6.0205
000821.SZ,20110531,2.0683
000822.SZ,20110531,2.4188
000823.SZ,20110531,3.3782
000825.SZ,20110531,1.3491
000826.SZ,20110531,7.3241
000828.SZ,20110531,1.9568
000829.SZ,20110531,4.4429
000830.SZ,20110531,2.0387
000833.SZ,20110531,3.3851
000835.SZ,20110531,6.3286
000836.SZ,20110531,2.9539
000837.SZ,20110531,4.4274
000838.SZ,20110531,4.5788
000839.SZ,20110531,2.8062
000848.SZ,20110531,9.6162
000850.SZ,20110531,2.2396
000851.SZ,20110531,3.344
000852.SZ,20110531,5.2962
000856.SZ,20110531,5.2388
000858.SZ,20110531,6.5669
000859.SZ,20110531,3.7142
000860.SZ,20110531,3.0888
000861.SZ,20110531,9.7804
000862.SZ,20110531,10.5499
000868.SZ,20110531,4.273
000869.SZ,20110531,11.3905
000875.SZ,20110531,1.7126
000876.SZ,20110531,3.759
000877.SZ,20110531,3.8425
000878.SZ,20110531,5.8551
000880.SZ,20110531,5.8778
000881.SZ,20110531,2.5782
000882.SZ,20110531,1.8553
000883.SZ,20110531,1.9667
000885.SZ,20110531,2.6935
000886.SZ,20110531,2.0173
000887.SZ,20110531,6.3319
000888.SZ,20110531,5.0614
000889.SZ,20110531,4.7478
000890.SZ,20110531,2.2669
000892.SZ,20110531,nan
000893.SZ,20110531,8.7534
000895.SZ,20110531,10.1757
000897.SZ,20110531,3.4187
000898.SZ,20110531,0.9414
000899.SZ,20110531,3.1563
000900.SZ,20110531,1.5418
000901.SZ,20110531,4.3361
000902.SZ,20110531,14.0205
000903.SZ,20110531,1.7822
000905.SZ,20110531,2.3011
000906.SZ,20110531,3.1238
000908.SZ,20110531,49.1438
000909.SZ,20110531,3.5553
000910.SZ,20110531,1.7306
000911.SZ,20110531,3.5697
000912.SZ,20110531,1.7766
000913.SZ,20110531,2.1989
000915.SZ,20110531,6.8195
000916.SZ,20110531,1.1104
000917.SZ,20110531,3.6426
000918.SZ,20110531,3.3514
000919.SZ,20110531,2.2281
000920.SZ,20110531,4.5339
000921.SZ,20110531,13.6629
000922.SZ,20110531,45.3345
000923.SZ,20110531,3.3613
000925.SZ,20110531,5.3873
000926.SZ,20110531,1.4031
000927.SZ,20110531,3.1017
000928.SZ,20110531,3.4945
000929.SZ,20110531,3.2827
000930.SZ,20110531,3.0103
000931.SZ,20110531,7.0108
000932.SZ,20110531,0.8913
000933.SZ,20110531,5.5418
000935.SZ,20110531,1.7823
000936.SZ,20110531,2.8819
000937.SZ,20110531,4.5173
000938.SZ,20110531,3.6072
000939.SZ,20110531,4.8841
000948.SZ,20110531,2.1208
000949.SZ,20110531,2.4503
000950.SZ,20110531,2.055
000951.SZ,20110531,2.1393
000952.SZ,20110531,3.4333
000953.SZ,20110531,14.2771
000955.SZ,20110531,6.7868
000957.SZ,20110531,3.3566
000958.SZ,20110531,nan
000959.SZ,20110531,1.66
000960.SZ,20110531,4.9512
000961.SZ,20110531,2.3489
000962.SZ,20110531,6.1142
000963.SZ,20110531,8.6882
000965.SZ,20110531,1.9557
000966.SZ,20110531,3.2274
000967.SZ,20110531,3.6765
000968.SZ,20110531,3.9517
000969.SZ,20110531,5.7517
000970.SZ,20110531,7.043
000971.SZ,20110531,11.1116
000972.SZ,20110531,3.6507
000973.SZ,20110531,5.5346
000975.SZ,20110531,6.2634
000976.SZ,20110531,4.9155
000977.SZ,20110531,4.7898
000978.SZ,20110531,2.7708
000979.SZ,20110531,3.9001
000980.SZ,20110531,1.8772
000982.SZ,20110531,4.9314
000983.SZ,20110531,5.2536
000985.SZ,20110531,4.0304
000987.SZ,20110531,4.6826
000988.SZ,20110531,4.488
000989.SZ,20110531,2.5393
000990.SZ,20110531,2.0607
000993.SZ,20110531,2.3053
000995.SZ,20110531,14.1976
000996.SZ,20110531,11.0617
000997.SZ,20110531,5.5736
000998.SZ,20110531,7.1082
000999.SZ,20110531,4.1932
001696.SZ,20110531,4.3423
001896.SZ,20110531,9.0394
002001.SZ,20110531,4.2167
002002.SZ,20110531,13.8212
002003.SZ,20110531,3.1611
002004.SZ,20110531,5.5716
002005.SZ,20110531,3.3302
002006.SZ,20110531,9.4824
002007.SZ,20110531,8.2441
002008.SZ,20110531,4.7203
002009.SZ,20110531,6.4975
002010.SZ,20110531,4.2505
002011.SZ,20110531,4.9928
002012.SZ,20110531,4.8291
002013.SZ,20110531,7.9753
002014.SZ,20110531,3.786
002015.SZ,20110531,3.4231
002016.SZ,20110531,4.1429
002017.SZ,20110531,5.5804
002018.SZ,20110531,3.3705
002019.SZ,20110531,5.725
002020.SZ,20110531,5.8907
002021.SZ,20110531,3.1588
002022.SZ,20110531,8.0069
002023.SZ,20110531,4.8089
002024.SZ,20110531,4.5284
002025.SZ,20110531,2.9575
002026.SZ,20110531,3.1394
002027.SZ,20110531,2.9854
002028.SZ,20110531,2.41
002029.SZ,20110531,5.1709
002030.SZ,20110531,8.2816
002031.SZ,20110531,3.0112
002032.SZ,20110531,5.2177
002033.SZ,20110531,4.6151
002034.SZ,20110531,3.6019
002035.SZ,20110531,5.5617
002036.SZ,20110531,9.7778
002037.SZ,20110531,6.204
002038.SZ,20110531,11.4741
002039.SZ,20110531,2.4432
002040.SZ,20110531,3.5442
002041.SZ,20110531,7.3182
002042.SZ,20110531,2.1948
002043.SZ,20110531,3.8508
002044.SZ,20110531,7.3849
002045.SZ,20110531,2.3337
002046.SZ,20110531,4.1816
002047.SZ,20110531,3.088
002048.SZ,20110531,2.5412
002049.SZ,20110531,6.526
002050.SZ,20110531,3.9098
002051.SZ,20110531,5.202
002052.SZ,20110531,3.3133
002053.SZ,20110531,2.2047
002054.SZ,20110531,2.9052
002055.SZ,20110531,3.6248
002056.SZ,20110531,3.8272
002057.SZ,20110531,6.6447
002058.SZ,20110531,6.6152
002059.SZ,20110531,4.2181
002060.SZ,20110531,2.4253
002061.SZ,20110531,3.3303
002062.SZ,20110531,2.5522
002063.SZ,20110531,7.6718
002064.SZ,20110531,3.8931
002065.SZ,20110531,5.4139
002066.SZ,20110531,3.0427
002067.SZ,20110531,1.501
002068.SZ,20110531,3.5989
002069.SZ,20110531,7.4965
002070.SZ,20110531,2.184
002071.SZ,20110531,5.852
002072.SZ,20110531,4.6545
002073.SZ,20110531,6.3056
002074.SZ,20110531,5.5925
002075.SZ,20110531,5.6075
002076.SZ,20110531,4.6605
002077.SZ,20110531,3.8033
002078.SZ,20110531,2.9465
002079.SZ,20110531,9.9535
002080.SZ,20110531,2.6715
002081.SZ,20110531,13.9392
002082.SZ,20110531,3.324
002083.SZ,20110531,2.8828
002084.SZ,20110531,2.797
002085.SZ,20110531,3.9259
002086.SZ,20110531,3.01
002087.SZ,20110531,1.5618
002088.SZ,20110531,2.5672
002089.SZ,20110531,5.3626
002090.SZ,20110531,5.4722
002091.SZ,20110531,6.7614
002092.SZ,20110531,2.1936
002093.SZ,20110531,5.5102
002094.SZ,20110531,10.6361
002095.SZ,20110531,5.6977
002096.SZ,20110531,9.1057
002097.SZ,20110531,3.522
002098.SZ,20110531,3.304
002099.SZ,20110531,5.4817
002100.SZ,20110531,3.4778
002101.SZ,20110531,3.9171
002102.SZ,20110531,5.3333
002103.SZ,20110531,2.4329
002104.SZ,20110531,8.181
002105.SZ,20110531,3.5683
002106.SZ,20110531,7.9088
002107.SZ,20110531,3.4579
002108.SZ,20110531,4.2569
002109.SZ,20110531,3.1477
002110.SZ,20110531,1.8043
002111.SZ,20110531,5.328
002112.SZ,20110531,2.8599
002113.SZ,20110531,103.4
002114.SZ,20110531,5.4415
002115.SZ,20110531,4.4679
002116.SZ,20110531,4.1985
002117.SZ,20110531,2.3097
002118.SZ,20110531,5.0462
002119.SZ,20110531,3.0072
002120.SZ,20110531,4.2547
002121.SZ,20110531,5.4286
002122.SZ,20110531,3.3248
002123.SZ,20110531,6.2505
002124.SZ,20110531,5.1433
002125.SZ,20110531,5.2681
002126.SZ,20110531,3.5882
002127.SZ,20110531,3.8737
