code,date,p2b
000001.SZ,20071130,9.0022
000002.SZ,20071130,8.3054
000004.SZ,20071130,10.3783
000005.SZ,20071130,6.8518
000006.SZ,20071130,5.0212
000007.SZ,20071130,nan
000008.SZ,20071130,9.5522
000009.SZ,20071130,6.4815
000010.SZ,20071130,30.3043
000011.SZ,20071130,10.8416
000012.SZ,20071130,5.9535
000014.SZ,20071130,7.8332
000016.SZ,20071130,1.3775
000017.SZ,20071130,nan
000018.SZ,20071130,5.9772
000019.SZ,20071130,10.2037
000020.SZ,20071130,7.9224
000021.SZ,20071130,3.6749
000022.SZ,20071130,6.337
000023.SZ,20071130,5.0494
000024.SZ,20071130,6.6682
000025.SZ,20071130,18.0343
000026.SZ,20071130,5.0453
000027.SZ,20071130,4.6485
000028.SZ,20071130,10.4988
000029.SZ,20071130,6.4906
000030.SZ,20071130,nan
000031.SZ,20071130,6.5277
000032.SZ,20071130,3.3024
000033.SZ,20071130,6.4027
000034.SZ,20071130,nan
000035.SZ,20071130,nan
000036.SZ,20071130,4.7471
000037.SZ,20071130,2.6042
000039.SZ,20071130,4.3228
000040.SZ,20071130,3.7622
000042.SZ,20071130,2.5162
000043.SZ,20071130,3.0576
000045.SZ,20071130,4.3398
000046.SZ,20071130,9.1803
000048.SZ,20071130,nan
000049.SZ,20071130,9.5504
000050.SZ,20071130,3.1362
000055.SZ,20071130,5.4493
000056.SZ,20071130,16.4284
000058.SZ,20071130,5.7106
000059.SZ,20071130,3.6847
000060.SZ,20071130,7.4084
000061.SZ,20071130,6.5014
000062.SZ,20071130,2.8297
000063.SZ,20071130,4.1094
000065.SZ,20071130,5.6187
000066.SZ,20071130,2.7918
000068.SZ,20071130,4.3381
000069.SZ,20071130,14.074
000070.SZ,20071130,3.5468
000078.SZ,20071130,6.6139
000088.SZ,20071130,5.8474
000089.SZ,20071130,4.5827
000090.SZ,20071130,1.916
000096.SZ,20071130,3.6832
000099.SZ,20071130,3.6888
000100.SZ,20071130,3.8059
000150.SZ,20071130,7.174
000151.SZ,20071130,3.1929
000153.SZ,20071130,2.6125
000155.SZ,20071130,3.205
000157.SZ,20071130,11.0483
000158.SZ,20071130,2.6033
000159.SZ,20071130,4.1535
000301.SZ,20071130,5.3205
000338.SZ,20071130,7.9858
000400.SZ,20071130,3.3913
000401.SZ,20071130,5.9267
000402.SZ,20071130,7.056
000404.SZ,20071130,7.8278
000407.SZ,20071130,5.9633
000408.SZ,20071130,3.0087
000409.SZ,20071130,19.944
000410.SZ,20071130,6.7459
000411.SZ,20071130,14.791
000413.SZ,20071130,11.4409
000415.SZ,20071130,5.4304
000416.SZ,20071130,7.5763
000417.SZ,20071130,4.3067
000418.SZ,20071130,4.4806
000419.SZ,20071130,4.5453
000420.SZ,20071130,2.7956
000421.SZ,20071130,5.9253
000422.SZ,20071130,5.1494
000423.SZ,20071130,11.4709
000425.SZ,20071130,9.2821
000426.SZ,20071130,2.381
000428.SZ,20071130,7.371
000429.SZ,20071130,3.4044
000430.SZ,20071130,nan
000488.SZ,20071130,2.8528
000498.SZ,20071130,nan
000501.SZ,20071130,7.5384
000502.SZ,20071130,11.6054
000503.SZ,20071130,5.8655
000504.SZ,20071130,7.0378
000505.SZ,20071130,28.8887
000507.SZ,20071130,3.5394
000509.SZ,20071130,23.8881
000510.SZ,20071130,3.647
000511.SZ,20071130,4.2693
000513.SZ,20071130,4.7018
000514.SZ,20071130,3.5137
000515.SZ,20071130,8.7895
000516.SZ,20071130,3.3492
000518.SZ,20071130,5.6207
000519.SZ,20071130,3.6331
000520.SZ,20071130,5.5637
000521.SZ,20071130,2.9688
000522.SZ,20071130,7.1097
000523.SZ,20071130,3.0039
000524.SZ,20071130,4.0252
000525.SZ,20071130,5.4007
000526.SZ,20071130,5.0739
000527.SZ,20071130,9.3777
000528.SZ,20071130,7.7385
000530.SZ,20071130,2.4385
000531.SZ,20071130,5.4189
000532.SZ,20071130,9.5548
000533.SZ,20071130,9.4159
000534.SZ,20071130,4.727
000536.SZ,20071130,14.8695
000537.SZ,20071130,10.8696
000538.SZ,20071130,11.6364
000539.SZ,20071130,3.7116
000540.SZ,20071130,10.0451
000541.SZ,20071130,3.5487
000543.SZ,20071130,3.5393
000544.SZ,20071130,6.576
000546.SZ,20071130,13.2662
000547.SZ,20071130,5.0482
000548.SZ,20071130,4.8726
000550.SZ,20071130,4.4333
000551.SZ,20071130,3.0823
000552.SZ,20071130,8.9245
000553.SZ,20071130,5.9858
000554.SZ,20071130,5.3675
000555.SZ,20071130,nan
000557.SZ,20071130,nan
000558.SZ,20071130,8.2286
000559.SZ,20071130,6.2184
000560.SZ,20071130,86.5783
000561.SZ,20071130,nan
000562.SZ,20071130,9.1072
000563.SZ,20071130,15.6177
000564.SZ,20071130,2.9828
000565.SZ,20071130,8.8616
000566.SZ,20071130,5.7054
000567.SZ,20071130,14.062
000568.SZ,20071130,23.12
000569.SZ,20071130,9.2102
000570.SZ,20071130,2.7827
000571.SZ,20071130,6.2634
000572.SZ,20071130,5.0042
000573.SZ,20071130,2.6121
000576.SZ,20071130,4.0647
000578.SZ,20071130,20.6184
000581.SZ,20071130,3.9956
000582.SZ,20071130,9.8022
000584.SZ,20071130,9.502
000585.SZ,20071130,5.7842
000586.SZ,20071130,11.1415
000587.SZ,20071130,nan
000589.SZ,20071130,1.816
000590.SZ,20071130,5.6036
000591.SZ,20071130,4.1688
000593.SZ,20071130,7.4788
000594.SZ,20071130,5.7141
000595.SZ,20071130,3.9808
000596.SZ,20071130,5.2941
000597.SZ,20071130,4.971
000598.SZ,20071130,5.3293
000599.SZ,20071130,2.7057
000600.SZ,20071130,3.7931
000601.SZ,20071130,1.8603
000602.SZ,20071130,10.1615
000603.SZ,20071130,10.3751
000605.SZ,20071130,42.0555
000606.SZ,20071130,3.7106
000607.SZ,20071130,4.1049
000608.SZ,20071130,3.9675
000609.SZ,20071130,9.6508
000610.SZ,20071130,3.8036
000611.SZ,20071130,3.8857
000612.SZ,20071130,11.9285
000613.SZ,20071130,33.1417
000615.SZ,20071130,2.5102
000616.SZ,20071130,3.1237
000617.SZ,20071130,11.494
000619.SZ,20071130,2.189
000623.SZ,20071130,9.4373
000625.SZ,20071130,4.4809
000626.SZ,20071130,8.1891
000627.SZ,20071130,7.2152
000628.SZ,20071130,6.5928
000629.SZ,20071130,3.4958
000630.SZ,20071130,6.537
000632.SZ,20071130,5.401
000633.SZ,20071130,1234.0321
000635.SZ,20071130,9.2148
000636.SZ,20071130,3.1105
000637.SZ,20071130,7.998
000639.SZ,20071130,6.6628
000650.SZ,20071130,13.5559
000651.SZ,20071130,7.8766
000652.SZ,20071130,12.1323
000655.SZ,20071130,12.8635
000656.SZ,20071130,6.1943
000657.SZ,20071130,8.0397
000659.SZ,20071130,3.4762
000661.SZ,20071130,5.0538
000662.SZ,20071130,2.8783
000663.SZ,20071130,4.0025
000665.SZ,20071130,12.4157
000666.SZ,20071130,1.8644
000667.SZ,20071130,8.4874
000668.SZ,20071130,5.6725
000669.SZ,20071130,5.8767
000671.SZ,20071130,6.9395
000673.SZ,20071130,18.5595
000676.SZ,20071130,4.1436
000677.SZ,20071130,6.3648
000678.SZ,20071130,3.9207
000679.SZ,20071130,5.2597
000680.SZ,20071130,6.0783
000681.SZ,20071130,4.4852
000682.SZ,20071130,4.3412
000683.SZ,20071130,14.8183
000685.SZ,20071130,14.2019
000686.SZ,20071130,12.106
000687.SZ,20071130,3.6478
000690.SZ,20071130,4.4129
000691.SZ,20071130,7.2599
000692.SZ,20071130,2.2503
000695.SZ,20071130,5.9478
000697.SZ,20071130,2.4924
000698.SZ,20071130,3.6756
000700.SZ,20071130,3.1527
000701.SZ,20071130,3.4042
000702.SZ,20071130,3.3102
000703.SZ,20071130,6.584
000705.SZ,20071130,2.0682
000707.SZ,20071130,2.9577
000708.SZ,20071130,3.8358
000709.SZ,20071130,3.7965
000710.SZ,20071130,15.6684
000711.SZ,20071130,3.3359
000712.SZ,20071130,11.8583
000713.SZ,20071130,3.3345
000715.SZ,20071130,4.9608
000716.SZ,20071130,4.3759
000717.SZ,20071130,2.1259
000718.SZ,20071130,20.0338
000719.SZ,20071130,nan
000720.SZ,20071130,4.1775
000721.SZ,20071130,4.655
000722.SZ,20071130,3.2518
000723.SZ,20071130,16.0912
000725.SZ,20071130,7.4008
000726.SZ,20071130,5.3206
000727.SZ,20071130,2.4947
000728.SZ,20071130,4.7293
000729.SZ,20071130,3.1898
000731.SZ,20071130,4.1891
000733.SZ,20071130,1.6041
000735.SZ,20071130,3.7132
000736.SZ,20071130,nan
000737.SZ,20071130,3.0857
000738.SZ,20071130,5.6017
000739.SZ,20071130,3.0334
000748.SZ,20071130,5.1814
000750.SZ,20071130,2.6513
