0,code,date,weight
time,,,
code,,,
weight,,,
,600010,2005/05/31,2.95542380305
,000973,2005/05/31,0.847348694726
,000820,2005/05/31,0.299394775232
,000890,2005/05/31,0.541222032374
,600273,2005/05/31,0.349478864711
,600568,2005/05/31,0.267819396748
,000883,2005/05/31,0.492007592358
,000709,2005/05/31,4.30926900915
,000932,2005/05/31,3.93483500886
,600102,2005/05/31,2.73706496477
,600757,2005/05/31,0.738391910435
,000670,2005/05/31,0.392190490042
,000768,2005/05/31,1.09533916989
,600372,2005/05/31,0.709363284061
,000707,2005/05/31,0.900209258944
,600523,2005/05/31,0.319678341363
,000698,2005/05/31,0.819256201305
,600872,2005/05/31,0.731558337034
,600569,2005/05/31,3.35516676102
,600606,2005/05/31,0.618467766373
,000818,2005/05/31,0.648961810086
,000868,2005/05/31,0.360592489637
,000553,2005/05/31,0.484534508346
,600173,2005/05/31,0.291724957893
,000821,2005/05/31,0.612196146489
,000816,2005/05/31,0.546741089298
,600462,2005/05/31,0.420472454453
,000408,2005/05/31,0.232387929058
,600207,2005/05/31,1.3274778582
,600094,2005/05/31,0.872004886107
,600861,2005/05/31,0.946813487744
,600130,2005/05/31,1.04149134819
,600219,2005/05/31,0.913035084022
,600684,2005/05/31,0.342033030937
,600976,2005/05/31,0.369297768028
,600881,2005/05/31,1.26722287289
,600435,2005/05/31,0.290924530613
,000042,2005/05/31,0.766690999064
,000090,2005/05/31,0.628215665947
,000796,2005/05/31,0.383841518776
,000976,2005/05/31,0.565285314635
,600248,2005/05/31,0.22446480727
,600668,2005/05/31,0.470322510077
,000799,2005/05/31,0.576569011887
,000836,2005/05/31,0.308372966078
,600311,2005/05/31,0.587390480856
,000420,2005/05/31,0.619509074855
,000737,2005/05/31,0.74614907471
,000589,2005/05/31,0.529282834437
,600001,2005/05/31,4.27494292538
,600354,2005/05/31,0.362971290553
,600539,2005/05/31,0.451748842562
,000856,2005/05/31,0.191794690552
,600039,2005/05/31,0.458090689473
,000958,2005/05/31,0.653955398815
,600220,2005/05/31,1.19838680101
,600052,2005/05/31,0.801027042
,600641,2005/05/31,1.03684643852
,000717,2005/05/31,2.67335076673
,000511,2005/05/31,0.58478688548
,000548,2005/05/31,0.59559600324
,600630,2005/05/31,0.687989412832
,000687,2005/05/31,0.478000394492
,000629,2005/05/31,3.80595672987
,000576,2005/05/31,0.361305940641
,600163,2005/05/31,0.568893747332
,600080,2005/05/31,0.439176450001
,000691,2005/05/31,0.214602558039
,600555,2005/05/31,0.815958647791
,600707,2005/05/31,1.02685538022
,600466,2005/05/31,0.330240287179
,600091,2005/05/31,0.955208279778
,600777,2005/05/31,0.68266825047
,000301,2005/05/31,0.654009095787
,000875,2005/05/31,1.19085107864
,000158,2005/05/31,0.712195565206
,600483,2005/05/31,0.314985241655
,000573,2005/05/31,0.669646151388
