code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20050831,2.4779,1212247.199,878032.5042
000002.SZ,20050831,1.8751,1248415.672,865883.3461
000004.SZ,20050831,4.2737,39636.9948,19662.2116
000005.SZ,20050831,1.2107,102755.8908,54222.6942
000006.SZ,20050831,1.063,104733.3436,65174.3063
000007.SZ,20050831,6.5364,55427.1543,30710.5309
000008.SZ,20050831,5.5995,40951.1836,19621.5586
000009.SZ,20050831,2.0387,245455.3708,148410.0736
000010.SZ,20050831,3.2378,47045.5834,21694.0301
000011.SZ,20050831,4.8204,280651.9727,47340.6934
000012.SZ,20050831,2.0842,481329.5208,76195.0241
000014.SZ,20050831,1.711,52443.3488,26453.9053
000016.SZ,20050831,0.6992,224540.9093,83626.1166
000017.SZ,20050831,,79585.8785,12740.832
000018.SZ,20050831,2.9403,90152.8757,10783.2296
000019.SZ,20050831,4.0241,94781.9288,20813.1565
000020.SZ,20050831,3.7732,87779.9804,17434.2645
000021.SZ,20050831,2.2431,606134.8475,165881.3975
000022.SZ,20050831,6.4414,1219892.977,161792.488
000023.SZ,20050831,2.7017,63827.8704,21247.9621
000024.SZ,20050831,1.4547,522286.3352,172434.0209
000025.SZ,20050831,3.3901,73574.0544,11454.0624
000026.SZ,20050831,2.0945,109450.6016,26669.2496
000027.SZ,20050831,2.182,858581.667,347229.7532
000028.SZ,20050831,3.5723,134853.9192,25686.4608
000029.SZ,20050831,4.2157,415792.26,60762.24
000030.SZ,20050831,,41244.06,5757.18
000031.SZ,20050831,1.9571,228488.1647,80110.0397
000032.SZ,20050831,1.8106,105177.0512,38583.8982
000033.SZ,20050831,2.0651,90920.6222,21242.6222
000034.SZ,20050831,,50404.5828,13714.7363
000035.SZ,20050831,,23409.2144,8615.1384
000036.SZ,20050831,0.965,161390.2755,95914.9275
000037.SZ,20050831,2.2696,345766.5447,40917.9143
000038.SZ,20050831,4.5888,56010.834,11847.66
000039.SZ,20050831,2.2659,2043187.273,613742.7017
000040.SZ,20050831,1.2674,105658.5069,64530.1053
