code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20060831,2.5158,1406829.414,1018968.701
000002.SZ,20060831,2.793,2739230.138,2016396.024
000004.SZ,20060831,3.8154,31575.2332,19558.4052
000005.SZ,20060831,2.9445,245955.7403,165962.1819
000006.SZ,20060831,1.9324,237615.3582,177416.7597
000007.SZ,20060831,6.5707,48090.9944,31442.4916
000008.SZ,20060831,4.4816,32481.0647,18675.7313
000009.SZ,20060831,3.0888,367224.2461,222035.3836
000010.SZ,20060831,13.4491,54249.4383,25015.9284
000011.SZ,20060831,4.7272,292029.7553,49259.9107
000012.SZ,20060831,3.3025,810339.573,173706.5149
000014.SZ,20060831,2.6739,94666.968,60645.9167
000016.SZ,20060831,0.8038,260660.0904,121345.8417
000017.SZ,20060831,,120817.1168,19341.504
000018.SZ,20060831,3.1627,81188.3309,13109.8176
000019.SZ,20060831,3.9942,98420.3906,29819.0003
000020.SZ,20060831,4.2457,101654.8805,20190.0031
000021.SZ,20060831,2.4338,712410.002,252459.2861
000022.SZ,20060831,4.3248,842061.4314,122680.4343
000023.SZ,20060831,3.1497,67574.2889,29464.1477
000024.SZ,20060831,2.258,882441.1303,349525.6836
000025.SZ,20060831,3.7488,85248.9792,18575.1254
000026.SZ,20060831,2.7805,152083.9794,37057.4994
000027.SZ,20060831,1.987,828519.2837,380180.6319
000028.SZ,20060831,4.7499,197958.6378,49018.3294
000029.SZ,20060831,4.5244,481550.16,104146.8008
000030.SZ,20060831,,52780.86,7367.58
000031.SZ,20060831,4.7569,591038.2624,260878.7191
000032.SZ,20060831,1.5537,93145.728,45080.4192
000033.SZ,20060831,2.4673,109361.4806,36152.2536
000034.SZ,20060831,,57249.6496,15577.2313
000035.SZ,20060831,,23061.5528,8487.1908
000036.SZ,20060831,2.1553,374254.6081,255781.8788
000037.SZ,20060831,1.6232,241105.0391,35221.1121
000038.SZ,20060831,6.7151,45604.944,9646.56
000039.SZ,20060831,2.8606,2846545.111,854177.7729
000040.SZ,20060831,1.5412,133834.1087,104325.7967
000042.SZ,20060831,1.5934,259099.0093,75014.4562
000043.SZ,20060831,3.6592,135145.7078,48138.0086
000045.SZ,20060831,5.2911,178940.52,24282.72
000046.SZ,20060831,2.8222,339531.0807,214710.1538
000048.SZ,20060831,13.9648,92612.175,36008.7616
000049.SZ,20060831,4.991,82234.3252,34397.2572
000050.SZ,20060831,2.7982,227368.625,82216.4195
000055.SZ,20060831,4.4375,188703.06,37780.2582
000056.SZ,20060831,4.6533,85930.5606,28833.6085
000058.SZ,20060831,2.0418,262907.6684,42477.7695
000059.SZ,20060831,1.5178,261310.7343,91888.68
000060.SZ,20060831,4.2343,763862.4,462942.0332
000061.SZ,20060831,3.1198,436121.3723,266422.5124
000062.SZ,20060831,1.6327,196789.6821,106248.1857
000063.SZ,20060831,2.6301,2696255.837,1057363.48
000065.SZ,20060831,1.7243,74071.3267,25769.7616
000066.SZ,20060831,1.5413,255838.257,133352.9983
000068.SZ,20060831,1.852,378051.8187,108225.0
000069.SZ,20060831,5.8054,1522351.182,671127.4992
000070.SZ,20060831,1.6682,102750.0,39702.6
000078.SZ,20060831,2.0547,144402.432,91832.4954
000088.SZ,20060831,3.3205,963630.0,314178.9453
000089.SZ,20060831,2.2113,676651.104,306779.9454
000090.SZ,20060831,1.7016,214733.0069,104605.5558
000096.SZ,20060831,1.5759,207504.0,72663.625
000099.SZ,20060831,1.7185,209548.8,100818.432
000100.SZ,20060831,1.3859,579338.1763,278412.7927
000150.SZ,20060831,2.5809,117288.0,45612.0
000151.SZ,20060831,1.2688,109808.58,51810.15
000153.SZ,20060831,1.2344,74102.622,38472.6915
000155.SZ,20060831,1.3402,220430.0,80480.4
000157.SZ,20060831,2.7409,538941.0,237134.04
000158.SZ,20060831,0.8963,137170.0,55983.8971
000159.SZ,20060831,1.4592,74252.4849,37301.88
000301.SZ,20060831,1.5939,297833.5284,163556.5284
000400.SZ,20060831,1.8918,372219.648,252115.5994
000401.SZ,20060831,1.6679,375480.5395,180597.3094
000402.SZ,20060831,3.8591,870641.8474,588705.7661
000403.SZ,20060831,,50804.0378,24357.6432
000404.SZ,20060831,2.2242,83734.0817,30651.0179
000407.SZ,20060831,2.4063,144471.9661,98051.5526
000408.SZ,20060831,1.1265,35742.7125,16871.6512
000409.SZ,20060831,3.9853,45585.5234,20023.5413
000410.SZ,20060831,4.0036,454445.4309,239996.4739
000411.SZ,20060831,7.0433,60506.2343,16553.6333
000413.SZ,20060831,6.05,130603.0,21979.9223
000415.SZ,20060831,2.2302,79288.6602,43027.3119
000416.SZ,20060831,1.9572,126585.4156,82904.5823
000417.SZ,20060831,1.499,103078.8994,49114.6961
000418.SZ,20060831,1.0796,128516.5517,31669.44
000419.SZ,20060831,1.5608,100566.1728,51155.6517
000420.SZ,20060831,0.802,90025.2764,61022.3296
000421.SZ,20060831,3.643,127963.8826,49298.1765
000422.SZ,20060831,1.9898,259256.7089,185983.4359
000423.SZ,20060831,4.7424,472470.5506,332500.4696
000425.SZ,20060831,2.7866,298708.0158,117065.1826
000426.SZ,20060831,0.8681,113164.7468,50224.4248
000428.SZ,20060831,3.1178,152272.04,73956.6753
000429.SZ,20060831,1.322,495304.3927,141526.2952
000430.SZ,20060831,6.5073,73623.6,29817.558
000488.SZ,20060831,1.0342,588603.2153,201118.5295
000498.SZ,20060831,1.9093,78000.0,46615.2232
000501.SZ,20060831,3.2361,300291.1653,120998.7924
000502.SZ,20060831,3.3884,89820.732,32980.7482
000503.SZ,20060831,4.0693,590975.5997,309489.9651
000504.SZ,20060831,3.5543,158279.5417,44072.0135
000505.SZ,20060831,19.0328,96871.2067,35183.014
000506.SZ,20060831,26.6032,51564.0608,29872.8945
000507.SZ,20060831,1.6065,169048.7358,95823.4298
000509.SZ,20060831,3.9313,51752.0462,31237.7335
000510.SZ,20060831,1.3725,151686.3812,115680.0642
000511.SZ,20060831,1.3623,161406.3456,117775.8965
000513.SZ,20060831,1.5687,198310.9923,74955.6569
000514.SZ,20060831,3.1482,88333.4743,32492.7768
000515.SZ,20060831,4.3364,154446.1776,79035.264
000516.SZ,20060831,2.239,96597.4003,39915.783
000518.SZ,20060831,2.1351,214147.6942,144847.872
000519.SZ,20060831,2.0915,77608.3616,43540.7473
000520.SZ,20060831,1.6747,209838.6362,149305.1471
000521.SZ,20060831,1.5031,131124.8148,48035.1133
000522.SZ,20060831,2.3432,172611.7576,92430.3484
000523.SZ,20060831,1.5308,64373.0092,35123.1612
000524.SZ,20060831,1.5697,93307.1154,45207.0964
000525.SZ,20060831,3.2087,198409.1001,122755.6978
000526.SZ,20060831,2.6789,46750.822,24163.972
000527.SZ,20060831,1.6937,544628.1396,359527.3439
000528.SZ,20060831,2.2995,373240.3814,207631.4648
000530.SZ,20060831,1.2048,169757.2629,61956.1931
000531.SZ,20060831,2.1184,153249.7245,68180.7394
000532.SZ,20060831,2.7304,125204.2478,53624.2602
000533.SZ,20060831,5.9012,274599.36,97167.5712
000534.SZ,20060831,1.6933,96431.9943,51057.5883
000536.SZ,20060831,,43284.1535,16140.8535
000537.SZ,20060831,4.891,232261.0642,123576.6374
000538.SZ,20060831,9.4914,873228.253,336702.601
000539.SZ,20060831,1.3006,1074399.216,207177.8672
000540.SZ,20060831,7.669,122881.1112,42443.5222
000541.SZ,20060831,1.4225,319377.3988,131008.5539
000543.SZ,20060831,1.0935,256638.9269,62085.4452
000544.SZ,20060831,2.6956,90807.9523,36645.902
000545.SZ,20060831,16.0929,36396.0354,21798.5803
000546.SZ,20060831,2.3244,50343.4243,29771.3943
000547.SZ,20060831,2.3983,101856.0804,69332.0963
000548.SZ,20060831,1.7382,155256.1172,104127.1263
000549.SZ,20060831,2.7195,472824.7128,302297.7672
000550.SZ,20060831,2.9864,855445.074,116535.5945
000551.SZ,20060831,1.8907,111919.3204,64108.869
000552.SZ,20060831,5.3574,88045.65,33062.04
000553.SZ,20060831,1.272,113736.2966,45414.4563
000554.SZ,20060831,3.2692,271167.4314,166289.7589
000555.SZ,20060831,,30179.0168,10256.4
000557.SZ,20060831,,101996.0603,65977.4167
000558.SZ,20060831,3.1375,48857.5435,25260.4985
000559.SZ,20060831,2.2599,374339.3882,170891.9014
000560.SZ,20060831,,55641.6,25833.6
000561.SZ,20060831,,78608.4918,47933.3656
000562.SZ,20060831,3.4338,1145584.066,250853.9634
000563.SZ,20060831,5.5108,167378.8831,79637.1074
000564.SZ,20060831,1.4968,87862.7984,66617.111
000565.SZ,20060831,2.2465,83076.2694,49380.8793
000566.SZ,20060831,3.0843,68798.6573,36919.5368
000567.SZ,20060831,6.9307,63957.6,31978.8
000568.SZ,20060831,6.5786,1110647.568,439499.9849
000569.SZ,20060831,2.9448,239871.8364,65840.6331
000570.SZ,20060831,1.513,138846.5834,54371.3348
000571.SZ,20060831,2.8053,246581.44,112950.208
000572.SZ,20060831,3.0662,108810.833,56909.8873
000573.SZ,20060831,1.1147,158179.9234,117752.7739
000576.SZ,20060831,2.3988,112678.6021,70821.1492
000578.SZ,20060831,24.8335,91150.5741,31645.4815
000581.SZ,20060831,1.3234,290445.3094,168153.3793
000582.SZ,20060831,2.3354,101397.8284,30773.6
000584.SZ,20060831,2.836,97982.8946,56082.2781
000585.SZ,20060831,3.5407,285591.99,58696.5
000586.SZ,20060831,2.2995,64995.84,28210.2912
000587.SZ,20060831,60.5014,41970.8166,18869.6377
000589.SZ,20060831,1.0648,111395.2545,74191.6072
000590.SZ,20060831,2.3676,62735.7833,26506.9507
000591.SZ,20060831,2.6143,88321.66,30777.12
000593.SZ,20060831,3.6556,102004.7064,33403.0558
000594.SZ,20060831,2.2924,198635.1206,89520.3615
000595.SZ,20060831,1.9492,72420.9976,35964.0856
000596.SZ,20060831,1.4943,121025.0,14404.138
000597.SZ,20060831,1.2173,110890.6493,54005.2624
000598.SZ,20060831,1.7699,125222.8851,91306.5184
000599.SZ,20060831,1.1673,116942.3188,86531.4952
000600.SZ,20060831,2.3522,95468.4455,37753.3833
000601.SZ,20060831,0.9645,233236.7328,152952.2643
000602.SZ,20060831,4.2458,138690.0,78347.568
000603.SZ,20060831,4.9257,36073.1625,14645.0936
000605.SZ,20060831,3.3843,33188.1,11160.6
000606.SZ,20060831,1.983,60377.396,33583.9281
000607.SZ,20060831,1.9802,160463.8264,82154.84
000608.SZ,20060831,2.0814,169091.3221,105115.3957
000609.SZ,20060831,2.124,107055.1747,40589.6392
000610.SZ,20060831,1.9074,72905.0865,30447.266
000611.SZ,20060831,2.1697,76877.1677,41533.0471
000612.SZ,20060831,3.9438,386061.5707,169810.0485
000613.SZ,20060831,,73548.2,9110.2
000615.SZ,20060831,0.9275,63079.8402,38028.4261
000616.SZ,20060831,2.8823,194403.605,110186.4406
000617.SZ,20060831,6.4143,323481.6,101088.0
000619.SZ,20060831,1.5569,225000.0,131625.0
000623.SZ,20060831,3.2817,486780.9165,273776.052
000625.SZ,20060831,1.1505,813666.2984,232204.4518
000626.SZ,20060831,3.6794,114615.0,28653.75
000627.SZ,20060831,2.8471,193308.3532,73406.1783
000628.SZ,20060831,2.0922,111495.84,57039.8707
000629.SZ,20060831,1.0164,848599.9876,436996.8707
000630.SZ,20060831,1.3736,515159.817,327550.9388
000632.SZ,20060831,2.2703,107069.5011,42018.2154
000633.SZ,20060831,,98587.2315,42632.5332
000635.SZ,20060831,3.5438,82622.1144,50623.1772
000636.SZ,20060831,1.1094,234928.5461,122841.6563
000637.SZ,20060831,5.3673,328651.6381,112368.5733
000639.SZ,20060831,5.0502,60259.3012,27135.739
000651.SZ,20060831,2.3504,662047.02,333309.9104
