code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20120331,1.0979,8048783.504,4878518.474
000002.SZ,20120331,1.7188,9104034.061,7999993.887
000004.SZ,20120331,9.3432,68273.0441,68192.1506
000005.SZ,20120331,5.029,352932.7723,352704.8007
000006.SZ,20120331,1.949,544943.0554,533285.2249
000007.SZ,20120331,9.539,266534.0289,213450.0289
000008.SZ,20120331,9.3536,69086.7091,69086.6247
000009.SZ,20120331,4.2107,1106021.036,1094549.818
000010.SZ,20120331,32.9459,150251.8319,69285.3106
000011.SZ,20120331,3.5329,399305.9916,97253.639
000012.SZ,20120331,2.6912,1859950.006,1155689.637
000014.SZ,20120331,1.9001,106500.3387,106500.3387
000016.SZ,20120331,1.0008,381659.3472,190171.4732
000017.SZ,20120331,,159890.9046,56194.2744
000018.SZ,20120331,8.6213,107405.3961,63322.4877
000019.SZ,20120331,3.163,289287.8776,162841.9269
000020.SZ,20120331,6.0202,165932.479,37899.8412
000021.SZ,20120331,1.8304,742753.3907,741974.6908
000022.SZ,20120331,1.7459,605433.1425,436437.6269
000023.SZ,20120331,2.6067,82837.4753,63113.2854
000024.SZ,20120331,1.7242,3520466.031,1402786.087
000025.SZ,20120331,7.773,134812.3392,109728.2609
000026.SZ,20120331,3.2359,450111.979,169714.3603
000027.SZ,20120331,1.0867,1588439.633,1588439.633
000028.SZ,20120331,3.931,530771.1948,429663.2364
000029.SZ,20120331,2.3429,358127.64,315647.64
000030.SZ,20120331,1452.2838,296495.76,97984.4132
000031.SZ,20120331,1.6663,743629.9544,743625.2324
000032.SZ,20120331,1.8498,135061.3056,135035.1151
000033.SZ,20120331,5.0218,147572.1184,147572.1184
000034.SZ,20120331,19.2614,164309.8507,156089.012
000035.SZ,20120331,,183758.036,104605.886
000036.SZ,20120331,1.6981,294458.5805,294458.5805
000037.SZ,20120331,1.5443,245927.1392,138268.7569
000039.SZ,20120331,1.9447,3623521.025,1676132.086
000040.SZ,20120331,1.8331,177975.885,175906.6109
000042.SZ,20120331,1.6136,392958.8486,392789.1052
000043.SZ,20120331,1.5199,394507.6776,394503.4188
000045.SZ,20120331,1.9877,272246.1758,188706.0529
000046.SZ,20120331,2.5375,2005217.178,1993481.058
000048.SZ,20120331,,271193.4577,263621.9302
000049.SZ,20120331,11.2628,354113.8661,354004.6861
000050.SZ,20120331,2.9518,389333.025,389317.77
000055.SZ,20120331,3.5481,376941.1327,209585.429
000056.SZ,20120331,123.6965,333339.8867,179892.4049
000058.SZ,20120331,3.7514,432424.2545,296604.5276
000059.SZ,20120331,1.3624,1019229.906,1019229.906
000060.SZ,20120331,3.3798,1790632.684,1788999.219
000061.SZ,20120331,2.5707,822303.4006,814053.8547
000062.SZ,20120331,2.0935,360152.8904,90141.7297
000063.SZ,20120331,2.3325,5652048.187,4588959.134
000065.SZ,20120331,3.5959,195574.2925,195574.2925
000066.SZ,20120331,1.946,612823.9692,265836.1124
000068.SZ,20120331,26.9185,610633.267,610630.9073
000069.SZ,20120331,2.4071,3921015.766,1662222.556
000070.SZ,20120331,2.181,172500.0,164009.1091
000078.SZ,20120331,5.2583,416301.6256,415698.1402
000088.SZ,20120331,1.6052,751482.0,751426.1092
000089.SZ,20120331,1.0631,726804.576,726779.298
000090.SZ,20120331,0.9184,322385.7361,322383.0046
000096.SZ,20120331,1.2806,232320.0,224773.12
000099.SZ,20120331,2.7212,463267.2,463267.2
000100.SZ,20120331,1.5295,1729148.642,1621081.024
000150.SZ,20120331,1.5358,113724.0,113724.0
000151.SZ,20120331,2.499,213401.58,192178.2002
000153.SZ,20120331,2.176,158605.612,140937.572
000155.SZ,20120331,1.3364,199750.0,199750.0
000157.SZ,20120331,1.8827,6673356.207,5433336.843
000158.SZ,20120331,1.174,278918.068,278918.068
000159.SZ,20120331,2.1084,425808.2752,425808.2752
000301.SZ,20120331,1.397,354506.8055,354506.8055
000338.SZ,20120331,2.194,5024931.56,2084378.024
000400.SZ,20120331,2.441,616205.088,431969.7166
000401.SZ,20120331,1.9642,2251710.789,2025663.038
000402.SZ,20120331,1.0627,1907060.28,1906660.223
000404.SZ,20120331,2.5852,146710.7105,102815.8583
000407.SZ,20120331,2.2951,283065.1712,281173.0777
000408.SZ,20120331,10.2562,175349.5425,175349.5425
000409.SZ,20120331,29.3433,109336.7064,107859.6637
000410.SZ,20120331,2.5097,390557.1529,385861.4202
000411.SZ,20120331,4.8799,195002.9492,191416.6142
000413.SZ,20120331,20.5933,478750.0,353523.6063
000415.SZ,20120331,1.277,903122.307,277772.764
000416.SZ,20120331,4.2923,314336.053,314223.3256
000417.SZ,20120331,3.2234,746089.218,686892.7013
000418.SZ,20120331,1.6836,579358.7918,198009.692
000419.SZ,20120331,1.7096,254124.8913,253950.6817
000420.SZ,20120331,2.7437,140711.7766,118409.4663
000421.SZ,20120331,1.8902,154389.3199,154369.6031
000422.SZ,20120331,1.6821,1146194.157,991487.3983
000423.SZ,20120331,7.702,2637014.837,2636054.052
000425.SZ,20120331,1.8336,2776472.475,1391568.927
000426.SZ,20120331,3.0922,485320.3249,463859.2009
000428.SZ,20120331,2.1885,330705.96,330705.96
000429.SZ,20120331,0.9653,397249.2084,147780.737
000430.SZ,20120331,10.526,295168.3371,153959.6347
000488.SZ,20120331,0.727,983595.9139,386878.9108
000501.SZ,20120331,4.0884,811597.744,811518.8848
000502.SZ,20120331,6.0486,124013.9563,123013.8476
000503.SZ,20120331,4.3551,520418.0561,395353.0683
000504.SZ,20120331,10.935,167315.1848,166455.233
000505.SZ,20120331,3.015,132291.0752,111738.0346
000506.SZ,20120331,6.6382,781149.1012,279811.7421
000507.SZ,20120331,2.1366,367422.2523,322951.0803
000509.SZ,20120331,,255510.1025,154117.8902
000510.SZ,20120331,3.308,374037.904,373994.5752
000511.SZ,20120331,1.873,295636.9948,295634.5234
000513.SZ,20120331,2.0542,584050.6577,350896.4133
000514.SZ,20120331,1.3695,341692.3747,341692.3747
000516.SZ,20120331,3.1007,346721.9844,346626.3571
000517.SZ,20120331,3.2487,718505.1741,104944.5978
000518.SZ,20120331,6.3128,458152.5188,458143.3834
000519.SZ,20120331,5.716,197652.8224,163242.5349
000520.SZ,20120331,3.3867,193645.301,192044.5131
000521.SZ,20120331,1.0197,285129.3034,199511.9213
000522.SZ,20120331,4.1878,562864.4268,562845.3816
000523.SZ,20120331,2.7186,268878.8072,268814.4812
000524.SZ,20120331,3.0579,180951.0822,180949.6181
000525.SZ,20120331,2.453,674638.3092,367636.0052
000526.SZ,20120331,4.7659,75320.7688,75320.7688
000527.SZ,20120331,2.2203,4440264.117,4440264.117
000528.SZ,20120331,1.3746,1280525.551,1263437.452
000529.SZ,20120331,4.9625,381215.0855,167097.5837
000530.SZ,20120331,1.433,250610.7221,154447.6018
000531.SZ,20120331,1.3277,262729.2615,204421.202
000532.SZ,20120331,4.2039,269561.9219,267890.5189
000533.SZ,20120331,2.9791,303268.224,297946.968
000534.SZ,20120331,1.7432,229732.3614,98128.492
000536.SZ,20120331,4.0139,1058445.688,165839.1583
000537.SZ,20120331,3.6651,325575.6639,325572.1397
000538.SZ,20120331,6.1512,3417179.61,3417075.849
000539.SZ,20120331,1.3403,1367953.607,972448.3453
000540.SZ,20120331,5.2615,1028165.083,1027658.86
000541.SZ,20120331,3.4728,944314.0139,594494.4482
000543.SZ,20120331,1.0404,372590.2493,372587.2754
000544.SZ,20120331,3.7979,254370.0503,254370.0503
000545.SZ,20120331,,110295.8115,80859.759
000546.SZ,20120331,10.6546,141876.9229,122401.3156
000547.SZ,20120331,1.8318,290042.8849,229654.6175
000548.SZ,20120331,1.298,187205.9291,149172.4069
000550.SZ,20120331,2.5406,1857636.528,1111361.815
000551.SZ,20120331,1.8457,230713.0336,223405.6554
000552.SZ,20120331,4.9721,263069.73,261835.0164
000553.SZ,20120331,2.9585,342099.7747,209597.2808
000554.SZ,20120331,3.6724,323573.9044,244063.2568
000555.SZ,20120331,,57911.0875,57911.0875
000557.SZ,20120331,,480293.7972,461717.7628
000558.SZ,20120331,3.977,312613.4984,311622.5593
000559.SZ,20120331,2.3487,908160.2372,906420.2164
000560.SZ,20120331,1.3432,131622.9296,107520.0
000561.SZ,20120331,4.8329,389682.4345,173205.43
000562.SZ,20120331,2.6347,1876186.149,1876138.776
000563.SZ,20120331,4.9554,398913.6979,398913.6979
000564.SZ,20120331,1.9354,163111.143,142951.222
000565.SZ,20120331,2.3111,118110.5207,118110.5207
000566.SZ,20120331,3.4899,471916.0204,402002.2441
000567.SZ,20120331,3.9792,79984.8,69662.1998
000568.SZ,20120331,8.7312,5450082.112,5450029.34
000570.SZ,20120331,1.6159,296967.0185,217617.0185
000571.SZ,20120331,2.9346,365823.808,365595.8495
000572.SZ,20120331,0.8089,527928.2927,526911.973
000573.SZ,20120331,1.9012,265293.8873,265093.7619
000576.SZ,20120331,15.792,201142.6049,159196.6067
000581.SZ,20120331,4.4918,2117937.26,1185336.066
000582.SZ,20120331,2.9659,108723.7959,108377.3174
000584.SZ,20120331,1.4045,233881.0148,232849.4483
000585.SZ,20120331,9.013,234936.53,163934.2431
000586.SZ,20120331,6.0025,111228.0,111228.0
000587.SZ,20120331,7.2195,626776.5758,281738.043
000589.SZ,20120331,1.1298,237607.4917,237579.7664
000590.SZ,20120331,5.7867,190237.6342,190156.6774
000591.SZ,20120331,4.3869,168074.1616,168073.3409
000592.SZ,20120331,2.9896,303762.8293,299693.0351
000593.SZ,20120331,4.6749,144275.3331,144146.0278
000594.SZ,20120331,1.1144,345061.3071,297410.5263
000595.SZ,20120331,6.3287,136602.4804,136590.8853
000596.SZ,20120331,7.9887,2205768.0,1533000.0
000597.SZ,20120331,1.2728,242012.2486,239973.2716
000598.SZ,20120331,2.3685,882482.3505,337438.4981
000599.SZ,20120331,1.3895,209931.3912,209924.0792
000600.SZ,20120331,1.2956,366377.7085,366345.6955
000601.SZ,20120331,1.0304,313762.0158,284400.7641
000602.SZ,20120331,3.7498,1241252.407,256949.2189
000603.SZ,20120331,20.2257,1175613.617,141041.4144
000605.SZ,20120331,19.9972,103572.975,45828.75
000606.SZ,20120331,3.4753,205823.5452,199435.3452
000607.SZ,20120331,6.4257,218016.2018,218016.2018
000608.SZ,20120331,1.4436,368957.348,368957.348
000609.SZ,20120331,2.1607,213734.4893,208588.1257
000610.SZ,20120331,3.3886,145593.4467,143769.3046
000611.SZ,20120331,2.7538,174105.7139,172613.7955
000612.SZ,20120331,2.4491,600220.1038,600209.135
000613.SZ,20120331,14.7307,120517.1,85703.844
000615.SZ,20120331,1.3754,85729.313,85720.8003
000616.SZ,20120331,1.1969,431454.0516,431454.0516
000617.SZ,20120331,3.9705,294727.68,294725.9109
000619.SZ,20120331,1.0824,217080.0,217080.0
000620.SZ,20120331,3.562,771819.8235,101754.576
000623.SZ,20120331,1.7318,1572147.554,1452116.086
000625.SZ,20120331,1.3845,2042344.115,1483735.678
000626.SZ,20120331,4.0058,171720.0,171197.3064
000627.SZ,20120331,2.6504,392541.0611,392541.0611
000628.SZ,20120331,8.1195,141564.6,121092.916
000629.SZ,20120331,2.5052,3842479.801,2132545.019
000630.SZ,20120331,2.698,2693944.71,2693891.572
000631.SZ,20120331,2.4416,554120.1691,128214.2716
000632.SZ,20120331,2.7091,153621.4581,153469.5
000633.SZ,20120331,11.9047,278046.8013,132260.7729
000635.SZ,20120331,2.1225,213358.6641,213347.4576
000636.SZ,20120331,2.2463,507250.5319,507227.8519
000637.SZ,20120331,3.1426,231344.5334,163086.0466
000638.SZ,20120331,5.0449,103649.0,59228.0
000639.SZ,20120331,3.4168,312615.9044,143497.5123
000650.SZ,20120331,7.6431,770793.3541,585882.3583
000651.SZ,20120331,2.9396,6114990.438,5842628.793
000652.SZ,20120331,2.7297,594656.2624,589755.1609
000655.SZ,20120331,3.2618,845383.1266,589025.9372
000656.SZ,20120331,3.7796,1537382.648,287265.6863
000659.SZ,20120331,1.7469,412710.5089,412710.5089
000661.SZ,20120331,7.1186,448086.2568,448076.6179
000662.SZ,20120331,1.619,143994.6,143992.899
000663.SZ,20120331,2.6957,103610.5031,85295.4133
000665.SZ,20120331,14.2957,242271.9199,187232.6629
000666.SZ,20120331,1.6826,571798.6,215294.7178
000667.SZ,20120331,1.0934,563110.313,563110.313
000668.SZ,20120331,1.9363,132745.0686,80456.2124
000669.SZ,20120331,13.208,195833.085,160629.3819
000671.SZ,20120331,2.4098,433092.4804,430721.3543
000673.SZ,20120331,,106328.88,106324.7935
000676.SZ,20120331,2.5546,95634.3565,95458.6445
000677.SZ,20120331,9.5339,395701.9002,368239.4503
000678.SZ,20120331,2.4595,128561.0733,128559.5716
000679.SZ,20120331,1.7606,230590.8,230525.4504
000680.SZ,20120331,1.5313,665787.2928,557404.3967
000682.SZ,20120331,2.5663,352138.7502,352082.4106
000683.SZ,20120331,2.0363,482954.9953,482954.9953
000685.SZ,20120331,1.5671,899678.6077,339108.3724
000686.SZ,20120331,3.0615,944903.7981,944903.7981
000687.SZ,20120331,3.2012,331065.6,331062.2677
000690.SZ,20120331,1.6708,552516.0,545607.7072
000691.SZ,20120331,10.7302,156139.41,140304.8829
000692.SZ,20120331,1.025,124949.3329,124932.9512
000695.SZ,20120331,5.5539,169942.8673,169613.0208
000697.SZ,20120331,6.8211,663910.5314,182978.006
000698.SZ,20120331,1.1795,380033.9036,360537.6379
000700.SZ,20120331,2.1779,176772.9392,176772.9392
000701.SZ,20120331,2.867,220789.75,220785.098
000702.SZ,20120331,2.7139,121052.0975,121049.3217
000703.SZ,20120331,4.9647,2412151.726,547783.2136
000705.SZ,20120331,2.4688,133099.7803,105447.1068
000707.SZ,20120331,1.8254,376886.3612,376884.4083
000708.SZ,20120331,1.6385,475024.7634,472612.6344
000709.SZ,20120331,0.6589,3058157.78,1465741.72
000710.SZ,20120331,13.2028,154072.8,154072.8
000711.SZ,20120331,3.5753,129255.048,129255.048
000712.SZ,20120331,4.2747,371030.8725,232679.8554
000713.SZ,20120331,3.0728,344603.9911,344601.2666
000715.SZ,20120331,1.8465,203953.386,203290.149
000716.SZ,20120331,4.0194,121751.2645,116858.5352
000717.SZ,20120331,0.942,440754.4442,297798.6314
000718.SZ,20120331,3.2435,1340334.32,961768.9616
000719.SZ,20120331,3.2935,491604.5876,83012.6705
000720.SZ,20120331,2.846,202913.1,202907.0191
000721.SZ,20120331,3.3058,149047.3861,124837.4224
000723.SZ,20120331,4.3868,212190.7764,148098.0004
000725.SZ,20120331,1.0404,2366269.91,1765530.276
000726.SZ,20120331,1.6049,816244.4332,446009.6509
000727.SZ,20120331,4.0855,216571.8857,215959.7695
000728.SZ,20120331,1.3471,1993561.5,1993561.5
000729.SZ,20120331,2.0521,1788775.375,1560268.943
000731.SZ,20120331,1.662,351123.7141,351028.1405
000732.SZ,20120331,2.883,585894.524,107685.5783
000733.SZ,20120331,1.0931,225973.72,225973.72
000735.SZ,20120331,2.3105,370535.572,370470.6285
000736.SZ,20120331,1.4865,213088.0155,91938.2621
