code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20141130,1.1214,14212569.12,12236869.91
000002.SZ,20141130,1.5289,12006379.56,10542385.27
000004.SZ,20141130,26.5488,188107.7722,187881.0282
000005.SZ,20141130,6.168,365733.4428,365497.2028
000006.SZ,20141130,2.3912,936896.5619,929194.6172
000007.SZ,20141130,9.9852,376935.4724,335887.0461
000008.SZ,20141130,12.9043,739877.1967,358985.2971
000009.SZ,20141130,5.9083,2004973.991,1984239.191
000010.SZ,20141130,7.4114,449873.3878,273990.4477
000011.SZ,20141130,2.9477,582867.552,171993.6482
000012.SZ,20141130,2.0627,1703850.495,1069572.997
000014.SZ,20141130,5.2736,326157.2874,326157.2874
000016.SZ,20141130,1.8259,744055.1311,370747.4453
000017.SZ,20141130,450.9015,469197.1029,257832.5913
000018.SZ,20141130,23.1484,295660.8383,174311.3518
000019.SZ,20141130,2.901,267961.3638,224504.6075
000020.SZ,20141130,8.2787,227378.4653,51934.4241
000021.SZ,20141130,2.3897,1185835.047,1184670.376
000022.SZ,20141130,2.8055,1140587.038,822350.2962
000023.SZ,20141130,4.3942,158598.3823,158598.3823
000024.SZ,20141130,1.5525,4373964.38,1742654.929
000025.SZ,20141130,14.9114,276893.9712,225373.2418
000026.SZ,20141130,2.6802,435972.3357,345287.8521
000027.SZ,20141130,1.3409,2304691.115,835681.1782
000028.SZ,20141130,3.5425,1618063.73,1040814.205
000029.SZ,20141130,3.3618,645439.08,568879.08
000030.SZ,20141130,2.5945,1062332.625,458539.5058
000031.SZ,20141130,2.0462,1117258.663,1117251.569
000032.SZ,20141130,3.4593,296669.1437,296621.7152
000033.SZ,20141130,6.4818,164371.623,164371.623
000034.SZ,20141130,16.6051,263826.4923,250627.395
000035.SZ,20141130,5.4112,840980.7068,256599.1341
000036.SZ,20141130,2.4714,463041.7373,463038.6473
000037.SZ,20141130,2.4639,372507.2843,209436.4994
000038.SZ,20141130,13.3672,193033.364,56232.188
000039.SZ,20141130,2.2438,4845475.563,2250865.818
000040.SZ,20141130,2.0795,259685.1303,256834.4606
000042.SZ,20141130,1.9959,658523.36,658337.152
000043.SZ,20141130,2.1362,630278.5381,630278.5381
000045.SZ,20141130,2.6548,597189.26,478159.8063
000046.SZ,20141130,4.6364,3736995.65,3726844.635
000048.SZ,20141130,10.4251,432580.9188,420503.5687
000049.SZ,20141130,11.4203,745034.7689,745034.7689
000050.SZ,20141130,3.2808,2597339.8,1317836.334
000055.SZ,20141130,7.2831,871960.2106,484046.6976
000056.SZ,20141130,2.1533,447457.437,241477.8359
000058.SZ,20141130,3.8178,495208.1753,339674.2429
000059.SZ,20141130,2.0341,1225717.001,1225710.728
000060.SZ,20141130,2.6797,1693674.463,1692113.799
000061.SZ,20141130,4.0255,1949811.787,1844946.278
000062.SZ,20141130,5.1214,1137149.404,1137149.404
000063.SZ,20141130,2.2253,5390064.724,4392423.12
000065.SZ,20141130,5.3611,494133.7187,494133.7187
000066.SZ,20141130,3.4918,876219.1525,876203.4234
000068.SZ,20141130,56.2439,856321.2481,856321.2481
000069.SZ,20141130,1.7752,4646387.999,1988864.544
000070.SZ,20141130,2.8185,298371.0,284681.0977
000078.SZ,20141130,5.0635,744884.7044,743921.7762
000088.SZ,20141130,3.2679,1643101.2,1643040.116
000089.SZ,20141130,1.2076,957551.8167,957498.0874
000090.SZ,20141130,2.1547,749784.2875,749784.2875
000096.SZ,20141130,2.0586,391776.0,379049.216
000099.SZ,20141130,3.3348,925469.5313,925469.5313
000100.SZ,20141130,1.7501,3081486.726,2652395.532
000150.SZ,20141130,5.5874,445500.0,445500.0
000151.SZ,20141130,4.7135,477415.74,429935.4188
000153.SZ,20141130,4.523,499425.968,474632.32
000155.SZ,20141130,9.1444,345450.0,345450.0
000156.SZ,20141130,15.5321,3190066.269,202558.6163
000157.SZ,20141130,0.9599,3976272.29,3230764.607
000158.SZ,20141130,3.3842,805843.181,805843.181
000159.SZ,20141130,2.366,500866.0051,500866.0051
000301.SZ,20141130,1.7317,527496.3807,527496.3807
000333.SZ,20141130,2.4473,9321152.532,4949370.76
000338.SZ,20141130,1.4134,4362493.632,2282557.223
000400.SZ,20141130,3.8846,2006571.345,1182722.461
000401.SZ,20141130,1.1319,1334047.685,1200210.334
000402.SZ,20141130,1.0121,2211808.131,2209819.97
000403.SZ,20141130,14.7338,619296.3049,412409.9593
000404.SZ,20141130,1.8783,388379.0234,343883.1655
000407.SZ,20141130,3.0205,507407.515,440469.3739
000408.SZ,20141130,9.6066,149110.1865,149109.6546
000409.SZ,20141130,4.7651,514307.7674,321090.5665
000410.SZ,20141130,3.4772,937701.8329,905000.5314
000411.SZ,20141130,7.4447,443320.5346,435175.3591
000413.SZ,20141130,3.3135,2041815.361,1548319.2
000415.SZ,20141130,2.3254,2242719.594,1604236.241
000416.SZ,20141130,5.4361,443580.826,443362.9518
000417.SZ,20141130,1.6769,532660.9086,531782.1526
000418.SZ,20141130,1.7843,757087.8535,523999.9194
000419.SZ,20141130,2.0275,366374.7095,366177.4485
000420.SZ,20141130,10.9036,225063.1911,189395.6091
000421.SZ,20141130,2.4006,264466.4432,264424.6215
000422.SZ,20141130,0.9719,594387.7633,578419.0761
000423.SZ,20141130,4.1448,2274032.884,2273170.213
000425.SZ,20141130,1.0634,2106083.936,2098793.317
000426.SZ,20141130,2.3943,690664.8189,532814.8796
000428.SZ,20141130,2.7323,446453.046,446351.4659
000429.SZ,20141130,1.251,563188.7511,209611.3251
000430.SZ,20141130,5.2775,264047.3276,172031.3806
000488.SZ,20141130,0.7428,1020485.681,582354.6239
000498.SZ,20141130,2.1116,519744.5252,164334.9417
000501.SZ,20141130,2.1364,722321.9922,722230.4475
000502.SZ,20141130,11.2422,221598.7088,219811.6293
000503.SZ,20141130,20.0356,2540071.549,2537654.68
000504.SZ,20141130,,222152.1914,221010.3932
000505.SZ,20141130,7348.8223,333714.9059,281868.2035
000506.SZ,20141130,4.3233,647525.3794,646823.6398
000507.SZ,20141130,2.7851,667951.6175,653233.6362
000509.SZ,20141130,42.3527,462270.5455,295711.901
000510.SZ,20141130,5.6874,456277.5082,456232.6072
000511.SZ,20141130,5.7241,981607.2094,981599.0035
000513.SZ,20141130,4.0267,1453768.624,873421.1481
000514.SZ,20141130,2.1665,597389.8432,597389.8432
000516.SZ,20141130,4.8761,702718.4252,693860.333
000517.SZ,20141130,2.8999,1011426.043,212044.8024
000518.SZ,20141130,8.704,612585.9521,612573.7373
000519.SZ,20141130,2.8944,1115144.074,287690.7736
000521.SZ,20141130,1.3422,452897.3486,350510.3018
000523.SZ,20141130,4.1255,437595.807,437373.3295
000524.SZ,20141130,6.4422,340597.9387,340595.1828
000525.SZ,20141130,2.1412,807536.9836,807117.0841
000526.SZ,20141130,13.7989,214034.1131,214034.1131
000528.SZ,20141130,1.0149,932825.7307,932698.272
000529.SZ,20141130,6.3324,616482.5885,598960.8694
000530.SZ,20141130,2.0251,394466.8768,243199.217
000531.SZ,20141130,2.7995,883756.8378,883754.8048
000532.SZ,20141130,7.8132,538089.7187,535104.3702
000533.SZ,20141130,3.2958,412417.152,408871.6215
000534.SZ,20141130,3.9031,525595.8018,223143.5828
000536.SZ,20141130,5.1972,1481074.586,476252.9163
000537.SZ,20141130,2.299,408123.1945,408119.8513
000538.SZ,20141130,5.4872,5830797.021,5830604.36
000539.SZ,20141130,1.2879,2668894.36,1297891.062
000540.SZ,20141130,2.4708,1071260.147,1064666.764
000541.SZ,20141130,3.3768,1025534.805,647804.7485
000543.SZ,20141130,1.3551,993143.181,966723.5942
000544.SZ,20141130,3.8092,330627.1734,330627.1734
000545.SZ,20141130,3.4069,550728.7781,226898.14
000546.SZ,20141130,8.6025,154928.9218,133661.6517
000547.SZ,20141130,6.3759,1330865.577,1171289.423
000548.SZ,20141130,2.1541,320995.7665,320986.2726
000550.SZ,20141130,2.6009,2606906.28,1562524.142
000551.SZ,20141130,3.1282,413683.1388,413683.1388
000552.SZ,20141130,2.6765,742614.6798,365810.4081
000553.SZ,20141130,4.0961,799420.6541,489801.0925
000554.SZ,20141130,5.3682,492813.153,371715.9558
000555.SZ,20141130,10.0189,2053009.921,431478.3845
000557.SZ,20141130,33.3968,480293.7972,461717.7628
000558.SZ,20141130,3.143,513111.1319,375962.8926
000559.SZ,20141130,6.854,2594470.403,2589496.508
000560.SZ,20141130,2.7578,331760.0941,182275.7281
000561.SZ,20141130,6.5028,594653.0116,592798.6777
000562.SZ,20141130,4.4159,6975549.031,6178445.177
000563.SZ,20141130,3.6074,1356783.434,840729.4344
000564.SZ,20141130,1.704,290613.4661,206070.7789
000565.SZ,20141130,4.388,276458.3995,276458.3995
000566.SZ,20141130,5.1372,837861.392,836293.7506
000567.SZ,20141130,11.2486,222415.2,221180.7956
000568.SZ,20141130,2.4939,2511434.185,2507804.793
000570.SZ,20141130,2.7658,523200.8718,383400.8718
000571.SZ,20141130,2.0332,444478.944,401543.0503
000572.SZ,20141130,1.2254,876591.2151,875216.5841
000573.SZ,20141130,1.8528,297054.4231,296830.339
000576.SZ,20141130,5.667,575719.7212,333008.6994
000581.SZ,20141130,2.5408,2688229.614,1787803.409
000582.SZ,20141130,4.0684,1361396.677,231765.8083
000584.SZ,20141130,2.1763,420127.1722,418274.1404
000585.SZ,20141130,12.8391,358955.07,250472.022
000586.SZ,20141130,9.5195,197695.68,197695.68
000587.SZ,20141130,4.8707,619533.8242,433983.4448
000589.SZ,20141130,1.3716,512581.9049,323128.0362
000590.SZ,20141130,16.1686,438622.6084,438435.9498
000591.SZ,20141130,8.8494,391623.7818,391623.7818
000592.SZ,20141130,14.0928,1573634.862,1554219.842
000593.SZ,20141130,3.6129,236829.4109,188805.8969
000595.SZ,20141130,9.7646,222434.6,194695.7248
000596.SZ,20141130,3.3377,1344108.4,1023825.998
000597.SZ,20141130,2.1674,571010.0468,398168.359
000598.SZ,20141130,2.4434,1800689.817,1043498.861
000599.SZ,20141130,1.7323,429032.1759,333779.4627
000600.SZ,20141130,1.7244,1470925.255,750049.4164
000601.SZ,20141130,1.9083,721808.5149,663983.173
000603.SZ,20141130,12.3232,765057.8305,696819.655
000605.SZ,20141130,3.8162,360928.4632,163683.6135
000606.SZ,20141130,4.0235,352196.7456,302848.8456
000607.SZ,20141130,14.0053,532603.3385,532603.3385
000608.SZ,20141130,0.9292,371207.088,371207.088
000609.SZ,20141130,3.54,412564.2024,379391.7542
000610.SZ,20141130,4.6313,205798.3044,203995.8038
000611.SZ,20141130,4.7328,274192.3627,271842.7981
000612.SZ,20141130,2.5282,1159542.189,923285.808
000613.SZ,20141130,35.5584,285090.3,204022.2384
000615.SZ,20141130,3.1936,206385.3831,206380.6612
000616.SZ,20141130,1.6187,682221.8207,682218.0019
000617.SZ,20141130,4.622,304791.552,304791.552
000619.SZ,20141130,1.2842,303120.0,303120.0
000620.SZ,20141130,3.4124,1134559.161,1134559.161
000622.SZ,20141130,17.813,392908.824,252440.1264
000623.SZ,20141130,2.1532,2571510.495,2268492.061
000625.SZ,20141130,2.9274,6854442.579,4979654.499
000626.SZ,20141130,4.4649,241582.5,241340.9175
000627.SZ,20141130,3.5993,554971.8451,554971.8451
000628.SZ,20141130,13.8472,267765.6,229051.5779
000629.SZ,20141130,1.7578,2680000.815,1487396.516
000630.SZ,20141130,1.4034,2212332.949,1644676.323
000631.SZ,20141130,2.2485,715128.6711,715128.6711
000632.SZ,20141130,2.5339,316553.3076,316240.1819
000633.SZ,20141130,18.9392,388572.3304,388572.3304
000635.SZ,20141130,1.2337,344307.5159,201141.446
000636.SZ,20141130,2.4,626682.5354,626654.5154
000637.SZ,20141130,5.1369,417979.7862,294651.8022
000638.SZ,20141130,11.6076,260205.4,260205.4
000639.SZ,20141130,2.8496,340487.6839,340487.6839
000650.SZ,20141130,4.14,794518.9929,794308.7687
000651.SZ,20141130,2.2869,9110824.415,9045234.827
000652.SZ,20141130,4.9141,1009292.515,1001304.945
000655.SZ,20141130,1.7203,534020.1863,534020.1863
000656.SZ,20141130,2.055,1650919.573,662440.6364
000657.SZ,20141130,2.9766,993274.3691,227600.0902
000659.SZ,20141130,4.5683,541280.7609,541280.7609
000661.SZ,20141130,9.2015,1208073.117,1208047.13
000662.SZ,20141130,3.4333,180857.2176,180855.0811
000663.SZ,20141130,9.4833,299274.1733,246371.8787
000665.SZ,20141130,1.7447,799510.5208,259481.4628
000666.SZ,20141130,2.4512,1316018.97,548474.4337
000667.SZ,20141130,1.3687,739722.1839,739722.1839
000668.SZ,20141130,3.3374,212186.5311,211958.5072
000669.SZ,20141130,4.1859,940656.0057,532771.2784
000670.SZ,20141130,22.8738,1077948.115,612488.448
000671.SZ,20141130,3.13,1801166.893,1452592.239
000672.SZ,20141130,4.0433,674490.8731,174662.1634
000673.SZ,20141130,251.7635,360810.72,360810.72
000676.SZ,20141130,13.6392,256702.7464,256231.0984
000677.SZ,20141130,18.9755,498515.276,498498.0958
000678.SZ,20141130,2.9042,311941.0124,218882.4556
000679.SZ,20141130,1.7267,261597.6,261555.3172
000680.SZ,20141130,1.3765,589374.1152,453536.431
000681.SZ,20141130,13.4873,1738615.58,367759.4608
000682.SZ,20141130,3.4795,500819.5558,500738.3148
000683.SZ,20141130,1.4441,724478.5715,400031.0851
000685.SZ,20141130,2.1076,1508309.388,1268842.498
000686.SZ,20141130,3.4749,2843762.245,2454816.701
000687.SZ,20141130,3.0057,408978.9695,378968.2967
000688.SZ,20141130,7.7782,887093.4649,230953.6819
000690.SZ,20141130,1.857,894385.275,887156.0841
000691.SZ,20141130,16.5935,242452.5,217864.725
000692.SZ,20141130,2.064,248300.1668,248279.6181
000693.SZ,20141130,10.8554,1422861.854,188422.8086
000695.SZ,20141130,10.5701,316115.948,315509.4654
000697.SZ,20141130,7.8397,1085779.295,494888.5661
000698.SZ,20141130,1.1257,340378.1919,322954.8335
000700.SZ,20141130,3.1019,434206.258,434206.258
000701.SZ,20141130,2.2595,389537.7059,301024.7923
000702.SZ,20141130,6.072,266634.576,266631.996
000703.SZ,20141130,1.5521,881340.9463,881340.9463
000705.SZ,20141130,3.1212,379564.0529,309810.8084
000707.SZ,20141130,1.7792,255280.1708,255278.848
000708.SZ,20141130,1.4407,471878.904,469482.0312
000709.SZ,20141130,0.6985,2994447.414,1435205.307
000710.SZ,20141130,18.134,205632.0,205632.0
000711.SZ,20141130,8.6375,253736.7768,253736.7768
000712.SZ,20141130,9.8914,2423680.0,1211539.009
000713.SZ,20141130,2.0376,255837.8286,255835.8059
000715.SZ,20141130,2.4029,314160.756,313139.1351
000716.SZ,20141130,2.6448,475133.6941,260834.4811
000717.SZ,20141130,2.0004,691983.9813,322618.4133
000718.SZ,20141130,2.9209,1211613.189,871619.4863
000719.SZ,20141130,2.3104,1238863.616,167640.3999
000720.SZ,20141130,4.786,400645.44,400645.092
000721.SZ,20141130,4.1449,284960.9303,248741.344
000722.SZ,20141130,1.7142,414029.1875,239166.2646
000723.SZ,20141130,4.575,207723.6022,144978.8919
000725.SZ,20141130,1.2708,9598781.42,3129562.441
000726.SZ,20141130,1.6338,1036042.21,608239.9305
000727.SZ,20141130,8.038,286607.5701,285798.7891
000728.SZ,20141130,2.5828,4305307.2,4305307.2
000729.SZ,20141130,1.6942,2106465.688,1874579.359
000731.SZ,20141130,1.8576,499212.7931,499097.3938
000732.SZ,20141130,3.6295,1323348.569,1321520.38
000733.SZ,20141130,2.2751,752355.5755,574066.36
000735.SZ,20141130,4.0861,709386.392,709346.4104
000736.SZ,20141130,1.7921,305515.3138,131836.1756
000737.SZ,20141130,14.2583,267794.88,267780.8515
000738.SZ,20141130,4.1821,1898329.372,1898329.372
000739.SZ,20141130,3.8518,948460.9194,623510.0654
000748.SZ,20141130,8.2089,1103401.656,1103401.656
000750.SZ,20141130,5.2614,3437817.637,3003098.17
000751.SZ,20141130,4.9306,938972.9398,938958.9705
000752.SZ,20141130,4.9711,380075.9855,380064.0843
000753.SZ,20141130,2.6307,373941.98,295648.0568
000755.SZ,20141130,1.3816,251056.5722,251048.1652
000756.SZ,20141130,2.1202,382770.8387,257220.8387
000757.SZ,20141130,6.3775,333748.0343,231161.1827
000758.SZ,20141130,2.752,1200336.149,1099003.57
000759.SZ,20141130,1.9509,572739.0815,572364.7078
000760.SZ,20141130,4.7941,766331.4529,329224.6859
000761.SZ,20141130,1.1434,1756160.0,1532160.0
000762.SZ,20141130,4.1066,698255.1446,698255.1446
000766.SZ,20141130,5.4388,359213.0208,359211.8824
000767.SZ,20141130,1.7779,876704.0042,612175.6205
000768.SZ,20141130,3.463,4015251.612,3540120.714
000776.SZ,20141130,2.8683,10601451.01,10601451.01
000777.SZ,20141130,10.7465,1131848.735,1131652.143
000778.SZ,20141130,1.1043,1803437.144,1802836.516
000779.SZ,20141130,6.9988,196508.8351,168768.5195
000780.SZ,20141130,1.1555,551782.6403,551782.6403
000782.SZ,20141130,2.8583,406139.3701,311067.2511
000783.SZ,20141130,3.5047,4690300.534,4690201.02
000785.SZ,20141130,2.8395,239916.7216,239794.4816
000786.SZ,20141130,2.2625,1541946.926,1254277.752
000788.SZ,20141130,8.8751,1059069.654,992942.0608
000789.SZ,20141130,1.9689,461658.9147,461634.0202
000790.SZ,20141130,7.0955,413318.711,408871.8516
000791.SZ,20141130,2.8231,1024019.902,162755.3387
000792.SZ,20141130,2.0252,3451404.971,2329571.137
000793.SZ,20141130,3.4376,2310519.962,1589118.231
000795.SZ,20141130,5.2425,374475.3755,302259.535
000796.SZ,20141130,3.4333,178249.8768,178236.108
000797.SZ,20141130,3.2486,463058.9512,397510.9732
000798.SZ,20141130,4.2488,355233.96,355227.4203
000799.SZ,20141130,2.702,456525.2169,315003.373
000800.SZ,20141130,2.3319,2058787.5,1785868.909
000801.SZ,20141130,5.6649,832857.4795,832850.6882
000802.SZ,20141130,6.4027,551971.0899,551755.8099
000803.SZ,20141130,12.3481,185082.064,130800.2215
000806.SZ,20141130,8.1753,655863.6344,655144.5063
000807.SZ,20141130,2.3474,846545.1412,846490.364
000809.SZ,20141130,2.4565,847885.4492,556442.9281
000810.SZ,20141130,4.9916,938093.8184,243641.8841
000811.SZ,20141130,3.1687,473516.9004,473440.992
000812.SZ,20141130,4.2004,351637.2617,350752.5904
000813.SZ,20141130,3.6076,424485.7932,330013.281
000815.SZ,20141130,71.3142,306345.6,306333.6517
000816.SZ,20141130,3.1673,1045658.045,802428.9969
000818.SZ,20141130,1.6169,313480.0,190772.054
000819.SZ,20141130,6.7537,421436.9149,421401.746
000820.SZ,20141130,12.051,274882.1958,210937.7365
000821.SZ,20141130,3.4717,370441.212,370420.4977
000822.SZ,20141130,1.9509,403686.4586,403682.4749
000823.SZ,20141130,2.2965,636841.676,522246.6687
000825.SZ,20141130,1.0022,2512045.278,2511928.588
000826.SZ,20141130,4.1794,2042395.839,1968837.611
000828.SZ,20141130,2.1081,812902.2877,812902.2877
000829.SZ,20141130,3.9168,909025.0483,908920.1837
000830.SZ,20141130,1.1553,682625.1225,682214.7452
000831.SZ,20141130,9.3982,2383560.224,1809118.712
000833.SZ,20141130,3.7755,300804.9661,300802.4972
000835.SZ,20141130,4.9916,211926.78,211926.78
000836.SZ,20141130,3.4255,230780.7768,230774.4719
000837.SZ,20141130,2.7549,826498.1247,304662.8676
000838.SZ,20141130,5.0252,204529.6836,204529.6836
000839.SZ,20141130,2.4965,1458175.403,1457870.679
000848.SZ,20141130,9.2123,1117568.818,1117162.725
000850.SZ,20141130,2.3116,629424.561,629089.1841
000851.SZ,20141130,3.4586,817265.4073,669083.9925
000852.SZ,20141130,7.5963,871270.4,283145.8267
000856.SZ,20141130,4.2292,208159.0,121108.7209
000858.SZ,20141130,1.8013,6870699.763,6869972.067
000859.SZ,20141130,2.4907,344697.3359,254810.1983
000860.SZ,20141130,2.0064,1003667.796,771365.4152
000861.SZ,20141130,3.7685,1046778.354,740575.4554
000862.SZ,20141130,1.8765,243721.548,243721.548
000863.SZ,20141130,3.2119,601294.413,142140.8949
000868.SZ,20141130,3.4846,429163.9771,429161.4782
000869.SZ,20141130,3.0389,2024860.656,1339523.203
000875.SZ,20141130,1.7688,649972.4268,293714.2801
000876.SZ,20141130,1.7732,3042811.246,2523329.552
000877.SZ,20141130,1.0397,713762.121,713696.1454
000878.SZ,20141130,3.0234,1682681.774,1682673.644
000880.SZ,20141130,2.8261,352304.238,172432.26
000881.SZ,20141130,1.6882,276790.8864,275935.8184
000882.SZ,20141130,1.4352,850365.0159,409486.0846
000883.SZ,20141130,2.3631,3439246.043,3437499.076
000885.SZ,20141130,2.0396,430642.9497,387106.9497
000886.SZ,20141130,1.7283,476615.2406,464093.1414
000887.SZ,20141130,7.483,2126129.791,2124204.36
000888.SZ,20141130,3.0041,515321.0138,422596.3252
000889.SZ,20141130,4.622,564921.3432,429252.1257
000890.SZ,20141130,2.6795,276379.0848,276304.2442
000892.SZ,20141130,1085.8836,383663.8678,284531.2386
000893.SZ,20141130,7.1892,570738.0,542956.498
000895.SZ,20141130,4.4919,6522514.52,3591565.023
000897.SZ,20141130,8.4031,1117535.114,1117402.827
000898.SZ,20141130,0.66,3154376.221,2680936.291
000899.SZ,20141130,2.0127,402880.2445,345878.1617
000900.SZ,20141130,1.0849,683022.7503,682619.0929
000901.SZ,20141130,6.8124,899998.9586,899998.9586
000902.SZ,20141130,3.2608,837095.5027,358878.0
000903.SZ,20141130,1.5721,545726.5401,464959.08
000905.SZ,20141130,3.2068,764640.0,764640.0
000906.SZ,20141130,4.8382,528969.2832,528969.2832
000908.SZ,20141130,,483280.0,483280.0
000909.SZ,20141130,3.9706,282240.0,282240.0
000910.SZ,20141130,1.5275,391405.0,391405.0
000911.SZ,20141130,2.3891,286640.0,286640.0
000912.SZ,20141130,2.7823,432900.0,197691.0
000913.SZ,20141130,1.4986,320196.416,320126.061
000915.SZ,20141130,6.1574,547073.8916,544180.444
000916.SZ,20141130,1.4218,602770.0,602755.6209
000917.SZ,20141130,2.6287,2570029.641,1269984.497
000918.SZ,20141130,1.8377,777606.5365,777606.5365
000919.SZ,20141130,3.2002,730800.0,399162.844
000920.SZ,20141130,5.0755,558306.0,558306.0
000921.SZ,20141130,3.3748,1180532.642,779698.3291
000922.SZ,20141130,4.7448,801400.9609,456307.115
000923.SZ,20141130,4.5333,234828.0,234826.9326
000925.SZ,20141130,7.7391,712830.42,697597.72
000926.SZ,20141130,0.9145,659641.3319,489427.5539
000927.SZ,20141130,3.992,990603.0664,990601.1662
000928.SZ,20141130,3.2982,753725.3421,331840.527
000929.SZ,20141130,2.9914,195240.066,195053.0258
000930.SZ,20141130,2.2423,648084.2693,648084.2693
000931.SZ,20141130,9.3608,555399.0316,416861.0467
000932.SZ,20141130,0.8702,886601.1074,886421.6645
000933.SZ,20141130,1.3558,959752.5,946193.4161
000935.SZ,20141130,2.1156,431103.4,132230.2324
000936.SZ,20141130,3.0387,555025.5622,554782.9296
000937.SZ,20141130,1.1688,2155463.579,1739665.708
000938.SZ,20141130,3.5436,604638.72,604622.7678
000939.SZ,20141130,3.4969,942365.4912,939387.0856
000948.SZ,20141130,2.9258,399501.7945,374444.2793
000949.SZ,20141130,2.0021,477667.2059,385251.9392
000950.SZ,20141130,1.7032,367662.7303,367662.7303
000951.SZ,20141130,1.5188,659756.3115,659756.3115
000952.SZ,20141130,4.8753,319666.0015,319633.3536
000953.SZ,20141130,7.2873,238482.2034,238467.6249
000955.SZ,20141130,4.4775,297194.04,275666.04
000957.SZ,20141130,3.07,325559.2568,325523.9237
000958.SZ,20141130,8.5268,700919.85,318245.4026
000959.SZ,20141130,1.0582,2253279.97,513819.9507
000960.SZ,20141130,2.5822,1877640.458,1877640.458
000961.SZ,20141130,1.5984,1298637.219,1294217.888
