code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20100331,3.5197,7204606.328,6783945.09
000002.SZ,20100331,2.7947,10445449.71,9173290.165
000004.SZ,20100331,16.1799,95565.4664,80009.8337
000005.SZ,20100331,7.3617,544942.8298,544590.8322
000006.SZ,20100331,2.8808,607098.3646,590507.2456
000007.SZ,20100331,,139648.8491,139648.8491
000008.SZ,20100331,13.0981,96043.7832,67437.2858
000009.SZ,20100331,6.449,1296902.379,1176252.83
000010.SZ,20100331,41.3481,202884.0782,93555.5047
000011.SZ,20100331,10.5871,700275.4331,164191.3252
000012.SZ,20100331,5.0122,2664253.765,1235240.901
000014.SZ,20100331,6.2036,278353.1581,278351.4124
000016.SZ,20100331,2.4947,953546.3816,475128.7279
000017.SZ,20100331,,414062.3082,87225.8157
000018.SZ,20100331,12.2332,158993.8146,93737.2258
000019.SZ,20100331,6.0066,203208.0893,157757.5302
000020.SZ,20100331,12.3512,318556.3804,72759.9341
000021.SZ,20100331,3.5583,1261229.559,1259907.291
000022.SZ,20100331,3.7596,1036135.314,746917.2166
000023.SZ,20100331,4.9348,144306.4896,95508.0568
000024.SZ,20100331,2.6527,4152432.616,1563044.634
000025.SZ,20100331,16.414,281960.448,229497.0163
000026.SZ,20100331,4.8098,343809.5206,109695.2771
000027.SZ,20100331,2.2502,2898483.857,787832.8252
000028.SZ,20100331,9.7653,803360.5272,650321.949
000029.SZ,20100331,5.5738,679835.52,599191.7904
000030.SZ,20100331,,256982.22,57522.9484
000031.SZ,20100331,3.0679,1820986.522,1820965.966
000032.SZ,20100331,3.1267,227275.5763,227231.5041
000033.SZ,20100331,8.3038,246063.3314,246063.3314
000034.SZ,20100331,,315016.7073,165906.6006
000035.SZ,20100331,,111304.8675,63361.2795
000036.SZ,20100331,4.827,699058.1569,699058.1569
000037.SZ,20100331,2.5122,487634.9402,274166.182
000039.SZ,20100331,2.6477,3759303.224,1738591.597
000040.SZ,20100331,3.8476,347029.496,270458.1551
000042.SZ,20100331,2.6289,536157.7466,535840.2877
000043.SZ,20100331,1.8909,324587.8891,161806.4141
000045.SZ,20100331,6.7785,334349.136,266766.226
000046.SZ,20100331,3.4966,2989596.52,583207.5898
000048.SZ,20100331,,238368.8893,231706.9378
000049.SZ,20100331,17.3159,194023.7489,193943.9864
000050.SZ,20100331,3.906,447331.0125,243194.0189
000055.SZ,20100331,7.3403,457514.9768,233059.128
000056.SZ,20100331,10.8525,247409.3261,133159.2998
000058.SZ,20100331,6.0647,605864.8357,415569.32
000059.SZ,20100331,2.3051,1511437.516,1241657.544
000060.SZ,20100331,6.8341,2675168.496,2672233.324
000061.SZ,20100331,3.79,1114336.384,690541.272
000062.SZ,20100331,4.0616,674286.2448,168723.3697
000063.SZ,20100331,4.9669,8122406.438,6332320.28
000065.SZ,20100331,12.2453,550336.9626,550336.9626
000066.SZ,20100331,5.1642,996943.9176,996742.1297
000068.SZ,20100331,47.8037,842871.1762,572321.3754
000069.SZ,20100331,3.7891,5024791.958,2162433.443
000070.SZ,20100331,4.0623,285000.0,270971.5715
000078.SZ,20100331,13.2479,903726.8832,608382.489
000088.SZ,20100331,2.6287,1099335.0,358588.202
000089.SZ,20100331,2.404,1242328.752,480047.0323
000090.SZ,20100331,2.6032,616003.34,588116.7364
000096.SZ,20100331,2.6724,434544.0,420379.5511
000099.SZ,20100331,2.8428,422692.8,225524.9913
000100.SZ,20100331,3.0076,1591816.68,1353578.556
000150.SZ,20100331,3.6375,264384.0,136242.9373
000151.SZ,20100331,4.4504,396021.24,238479.5941
000153.SZ,20100331,3.3096,221007.82,196388.42
000155.SZ,20100331,2.3127,413600.0,413600.0
000157.SZ,20100331,3.849,4661544.377,1943984.521
000158.SZ,20100331,3.3238,772775.575,772775.575
000159.SZ,20100331,4.7501,554031.897,554031.897
000301.SZ,20100331,3.2475,791853.6893,791853.6893
000338.SZ,20100331,5.487,5730521.253,1931765.912
000400.SZ,20100331,5.4363,1229384.0,858129.883
000401.SZ,20100331,3.1554,2110220.868,2108362.662
000402.SZ,20100331,1.8138,2731815.468,2731235.791
000404.SZ,20100331,6.2696,334318.6545,234292.7744
000407.SZ,20100331,4.3646,437981.9254,435043.8517
000408.SZ,20100331,9.8081,222277.6215,222277.4277
000409.SZ,20100331,29.2578,145839.3999,143680.1628
000410.SZ,20100331,5.0596,668201.8329,657360.6772
000411.SZ,20100331,10.7575,183593.2022,180216.706
000413.SZ,20100331,14.6553,347381.0,256514.2961
000415.SZ,20100331,10.7759,273305.6089,273255.9175
000416.SZ,20100331,7.2608,511660.3772,396054.7516
000417.SZ,20100331,7.1178,730138.1016,726278.127
000418.SZ,20100331,5.0487,936491.3496,595302.9293
000419.SZ,20100331,4.432,330657.364,330467.1149
000420.SZ,20100331,2.3527,233006.5978,193740.3801
000421.SZ,20100331,4.1484,264818.1273,264784.3078
000422.SZ,20100331,5.0249,1090722.263,1090576.461
000423.SZ,20100331,8.212,1844340.734,1502179.878
000425.SZ,20100331,7.4086,3241640.661,1318053.936
000426.SZ,20100331,4.0978,478891.0596,262697.9288
000428.SZ,20100331,4.9295,635973.0,594033.2475
000429.SZ,20100331,2.0892,751756.4133,278739.9262
000430.SZ,20100331,,164146.4211,82642.9789
000488.SZ,20100331,1.4202,1791917.923,703145.2305
000501.SZ,20100331,5.0787,719785.7492,719715.811
000502.SZ,20100331,7.9438,217163.0382,215411.7301
000503.SZ,20100331,6.4789,838900.7245,637299.1318
000504.SZ,20100331,14.9111,390713.6719,388705.5163
000505.SZ,20100331,5.8932,308110.1817,258365.0091
000506.SZ,20100331,9.8285,682053.8733,171639.2612
000507.SZ,20100331,2.9236,366732.2575,322344.5994
000509.SZ,20100331,,298511.8027,180055.5391
000510.SZ,20100331,5.2627,553746.6689,553680.8182
000511.SZ,20100331,4.0716,616680.2939,616669.2032
000513.SZ,20100331,5.3941,1159229.66,696462.7544
000514.SZ,20100331,4.3389,917941.668,914083.1838
000516.SZ,20100331,3.2518,309023.3847,234856.6888
000517.SZ,20100331,7.6125,1262955.919,145841.4127
000518.SZ,20100331,6.0971,429324.9446,375822.3521
000519.SZ,20100331,11.7824,399511.024,326798.2353
000520.SZ,20100331,3.9236,404833.3818,401486.787
000521.SZ,20100331,3.5542,470725.676,299969.4713
000522.SZ,20100331,6.0808,554890.5141,554862.393
000523.SZ,20100331,4.9619,228670.8771,124754.5668
000524.SZ,20100331,4.8998,302034.5933,302032.1494
000525.SZ,20100331,8.0928,493220.3619,486492.2867
000526.SZ,20100331,9.9038,140444.8562,117064.6571
000527.SZ,20100331,4.9389,4667916.854,4662527.221
000528.SZ,20100331,3.4673,1420602.711,1420568.162
000529.SZ,20100331,7.3256,471118.7963,191793.3752
000530.SZ,20100331,2.5087,427018.2695,192830.2732
000531.SZ,20100331,4.6184,437361.3877,437360.0946
000532.SZ,20100331,7.0991,408824.0912,404912.3478
000533.SZ,20100331,8.9664,739173.12,511482.3352
000534.SZ,20100331,3.5322,207405.321,168663.919
000536.SZ,20100331,5.5869,1378571.22,134219.1528
000537.SZ,20100331,15.8036,796763.1209,796763.1209
000538.SZ,20100331,8.7148,2950098.486,2673569.969
000539.SZ,20100331,2.2098,2047741.08,1530708.566
000540.SZ,20100331,9.0976,1097266.619,578376.4123
000541.SZ,20100331,4.8719,1257454.412,790630.007
000543.SZ,20100331,1.6719,721990.2341,721979.9891
000544.SZ,20100331,6.486,333591.2312,141353.139
000545.SZ,20100331,264.8253,169795.4171,124479.9446
000546.SZ,20100331,21.0255,273583.4571,236028.3434
000547.SZ,20100331,2.3753,259292.2815,207536.6439
000548.SZ,20100331,4.0861,539153.0759,429607.7298
000550.SZ,20100331,3.8136,1847277.96,1104181.054
000551.SZ,20100331,3.6854,297323.4646,297292.8376
000552.SZ,20100331,7.1247,291173.19,167195.4894
000553.SZ,20100331,5.5416,618274.072,378799.6088
000554.SZ,20100331,4.8778,427906.0548,322755.1411
000555.SZ,20100331,,105581.2472,105581.2472
000557.SZ,20100331,,363651.0179,349586.3061
000558.SZ,20100331,4.9653,313280.8424,105167.19
000559.SZ,20100331,7.1352,1108659.942,553505.218
