code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20111130,1.1399,7946316.495,4816411.3
000002.SZ,20111130,1.6553,7762618.414,6818956.298
000004.SZ,20111130,12.4116,90694.8187,90587.3587
000005.SZ,20111130,5.029,352932.7723,352704.8007
000006.SZ,20111130,1.7147,460877.4298,451017.9942
000007.SZ,20111130,6.7719,185465.1865,148527.1865
000008.SZ,20111130,9.9336,73284.942,73284.8524
000009.SZ,20111130,7.0469,1851003.648,1831805.76
000010.SZ,20111130,47.1623,215086.5264,99182.3967
000011.SZ,20111130,3.481,411225.5735,99994.228
000012.SZ,20111130,3.1885,2163022.217,1344005.136
000014.SZ,20111130,2.3038,120216.2915,120216.2915
000016.SZ,20111130,1.1681,445469.9005,221966.7037
000017.SZ,20111130,,204550.0883,71889.9166
000018.SZ,20111130,9.5445,118907.0763,70103.4785
000019.SZ,20111130,2.6583,243122.2492,136855.0105
000020.SZ,20111130,6.9858,192549.6344,43979.338
000021.SZ,20111130,2.0997,841699.2243,840816.7899
000022.SZ,20111130,2.0217,677646.6802,488494.0851
000023.SZ,20111130,2.9473,93660.462,71359.2423
000024.SZ,20111130,1.3924,2807786.322,1118678.847
000025.SZ,20111130,9.6273,166973.4528,135905.2644
000026.SZ,20111130,4.4923,618609.3953,175401.0783
000027.SZ,20111130,1.2607,1805165.174,1805165.174
000028.SZ,20111130,6.1005,772240.392,625134.3505
000029.SZ,20111130,2.5409,385442.46,339722.46
000030.SZ,20111130,,347257.68,114759.4141
000031.SZ,20111130,1.814,781718.3179,781711.6994
000032.SZ,20111130,2.1661,156019.0944,155988.8399
000033.SZ,20111130,5.22,149548.5307,149548.5307
000034.SZ,20111130,24.9879,204044.9127,193836.028
000035.SZ,20111130,,183758.036,104605.886
000036.SZ,20111130,1.8926,328175.2119,328175.2119
000037.SZ,20111130,1.7109,272448.6934,153180.0934
000039.SZ,20111130,2.0542,3807226.353,1760754.946
000040.SZ,20111130,1.9443,188776.5323,186581.6823
000042.SZ,20111130,1.4543,354165.8362,354012.8499
000043.SZ,20111130,1.0556,215095.0567,215066.3219
000045.SZ,20111130,1.9281,269217.4792,186606.7272
000046.SZ,20111130,2.1396,1690762.666,1680866.983
000048.SZ,20111130,,398193.2757,387076.0041
000049.SZ,20111130,12.2582,313338.7764,313242.1682
000050.SZ,20111130,3.287,415173.7125,415161.5119
000055.SZ,20111130,3.4626,367858.2138,204535.1777
000056.SZ,20111130,131.5659,354546.4003,191336.8522
000058.SZ,20111130,3.8897,432424.2545,296604.5276
000059.SZ,20111130,1.8196,1295346.37,1295346.37
