code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20130831,0.9501,8697399.6656,5271656.8814
000002.SZ,20130831,1.5634,10418983.8207,9152494.413
000004.SZ,20130831,13.1743,102115.6477,101992.5581
000005.SZ,20130831,3.5623,234983.737,234831.9528
000006.SZ,20130831,1.7509,642597.6419,635913.5975
000007.SZ,20130831,15.5713,330280.4691,264309.2452
000008.SZ,20130831,4.9006,270205.4596,131102.55
000009.SZ,20130831,4.1472,1244328.2031,1231459.7579
000010.SZ,20130831,6.513,406944.2933,187653.3657
000011.SZ,20130831,2.9129,540553.0364,159390.9412
000012.SZ,20130831,2.6301,1801391.2661,1131560.9001
000014.SZ,20130831,3.7497,214614.319,214614.319
000016.SZ,20130831,1.04,423798.3918,211170.0659
000017.SZ,20130831,,231014.7898,122772.1956
000018.SZ,20130831,14.5695,166266.9359,98025.2053
000019.SZ,20130831,2.4756,224806.538,181643.8337
000020.SZ,20130831,6.5434,184621.12,42168.424
000021.SZ,20130831,1.9235,770458.2241,769614.3435
000022.SZ,20130831,2.4315,909761.623,655781.9546
000023.SZ,20130831,3.0896,106564.7923,106564.7923
000024.SZ,20130831,1.887,4842787.4185,1929634.6179
000025.SZ,20130831,7.7379,145606.1376,118513.6936
000026.SZ,20130831,1.9599,288684.3845,108848.2154
000027.SZ,20130831,0.9408,1456289.9133,528050.8362
000028.SZ,20130831,5.3463,1061254.2402,859100.8118
000029.SZ,20130831,2.3181,382407.48,337047.48
000030.SZ,20130831,2.3407,828567.4993,114629.3988
000031.SZ,20130831,1.5543,738188.7596,738184.0722
000032.SZ,20130831,2.1951,194907.4358,194875.7805
000033.SZ,20130831,4.9014,130113.8098,130113.8098
000034.SZ,20130831,16.6144,156792.4066,148948.1669
000035.SZ,20130831,,231468.2911,231468.2911
000036.SZ,20130831,2.0426,367511.2818,367511.2818
000037.SZ,20130831,1.695,245324.3766,137929.8629
000038.SZ,20130831,6.544,98633.698,25504.048
000039.SZ,20130831,1.695,3322670.2716,1536967.556
000040.SZ,20130831,1.7026,208499.4536,206052.3645
000042.SZ,20130831,2.2265,636971.6864,636791.5725
000043.SZ,20130831,1.5414,432190.9976,432184.7768
000045.SZ,20130831,1.7776,401671.8263,227608.3263
000046.SZ,20130831,2.7992,2310557.0664,2304882.2965
000048.SZ,20130831,6.7269,300891.8767,292491.1905
000049.SZ,20130831,23.3794,944121.1971,944121.1971
000050.SZ,20130831,5.5021,745360.275,745331.07
000055.SZ,20130831,3.895,434466.2855,241570.3539
000056.SZ,20130831,,561089.0074,302800.9997
000058.SZ,20130831,2.8209,348450.7604,239006.1892
000059.SZ,20130831,0.7843,548631.4097,548631.4097
000060.SZ,20130831,2.7719,1501820.9606,1500425.065
000061.SZ,20130831,2.2921,1103026.6852,889407.1323
000062.SZ,20130831,4.1565,635603.1565,635596.009
000063.SZ,20130831,2.5984,5641727.9528,4590330.6424
000065.SZ,20130831,3.0259,203355.0305,203355.0305
