code,date,p2b,cur_tmv,cur_cmv
000001.SZ,20061130,4.0659,2461465.019,1782842.886
000002.SZ,20061130,4.7808,4755938.704,3500911.956
000004.SZ,20061130,4.3477,34850.3239,21587.0695
000005.SZ,20061130,2.7532,229497.7354,154856.9058
000006.SZ,20061130,2.5833,319525.4551,238575.3653
000007.SZ,20061130,7.3738,47166.1676,30837.8283
000008.SZ,20061130,4.4717,32333.7583,18591.0341
000009.SZ,20061130,3.6307,430505.7089,260297.3557
000010.SZ,20061130,17.8311,69245.218,31930.9005
000011.SZ,20061130,4.9195,296905.9479,50082.4324
000012.SZ,20061130,3.6467,933210.611,200045.4727
000014.SZ,20061130,2.819,100583.6535,64436.2865
000016.SZ,20061130,0.7852,255242.2132,118823.6417
000017.SZ,20061130,,132802.9418,21260.304
000018.SZ,20061130,3.9772,96242.0006,15540.5963
000019.SZ,20061130,4.1216,101513.0831,30756.0114
000020.SZ,20061130,4.4203,106185.4601,21089.8361
000021.SZ,20061130,2.403,723843.7428,256511.1018
000022.SZ,20061130,4.4576,945868.3919,137804.1325
000023.SZ,20061130,3.236,73540.8072,32065.7049
000024.SZ,20061130,3.1763,1264873.542,500785.9521
000025.SZ,20061130,3.9034,90315.456,19679.0734
000026.SZ,20061130,2.8177,156073.0674,38029.4994
000027.SZ,20061130,2.106,924718.9103,424323.5209
000028.SZ,20061130,4.7447,209196.4644,51801.0293
000029.SZ,20061130,5.2395,559447.98,120994.0774
000030.SZ,20061130,,77296.56,10789.68
000031.SZ,20061130,5.6291,710644.822,313671.9274
000032.SZ,20061130,1.5869,96444.6392,46677.0174
000033.SZ,20061130,2.5624,113643.7073,37567.8539
000034.SZ,20061130,,76540.2924,20826.081
000035.SZ,20061130,,34534.3856,12709.4616
000036.SZ,20061130,2.249,412466.7903,281897.7463
000037.SZ,20061130,1.7214,254804.1891,37222.3116
000038.SZ,20061130,7.3153,43161.822,9129.78
000039.SZ,20061130,3.2622,3483301.5,1045252.614
000040.SZ,20061130,1.6293,142286.7893,110914.7944
000042.SZ,20061130,1.6574,269395.92,94599.5096
000043.SZ,20061130,3.7077,144341.189,51413.3783
000045.SZ,20061130,3.2448,110060.676,20995.2903
000046.SZ,20061130,4.065,488559.2155,308951.4636
000048.SZ,20061130,13.854,91830.6377,35704.8902
000049.SZ,20061130,4.7492,81002.8627,33882.1568
000050.SZ,20061130,2.6773,225709.0,81616.2996
000055.SZ,20061130,4.1112,175299.852,35096.8006
000056.SZ,20061130,4.8743,85930.5606,28833.6085
000058.SZ,20061130,1.865,238578.899,38546.9908
000059.SZ,20061130,1.4708,255341.7074,101474.6167
000060.SZ,20061130,4.1006,1199964.0,705098.9276
000061.SZ,20061130,3.1995,449301.9293,305166.923
000062.SZ,20061130,2.0535,249925.9856,134936.8638
000063.SZ,20061130,3.6433,3759405.825,1474288.297
000065.SZ,20061130,1.6592,74883.5123,26052.3247
000066.SZ,20061130,1.4525,243000.495,126661.45
000068.SZ,20061130,1.8517,378837.7892,108450.0
000069.SZ,20061130,7.8952,2139070.091,943007.6175
000070.SZ,20061130,1.5864,97750.0,37770.6
000078.SZ,20061130,2.0693,146302.464,93040.8177
000088.SZ,20061130,3.5752,1114275.0,363294.7753
000089.SZ,20061130,2.8892,919957.5648,417090.181
000090.SZ,20061130,1.9814,254585.2025,124019.2506
000096.SZ,20061130,1.5623,206448.0,72293.8355
