code,date,tot_asset,tot_liab,roe,ato,gpm,roa,p2b,cur_tmv,cur_cmv,cls_price,revenue
000002.SZ,20150101,,,,,,,1.9497,15310887.6954,13443959.1951,13.9,
000004.SZ,20150101,,,,,,,18.4538,130751.697,130594.0897,15.57,
000005.SZ,20150101,,,,,,,6.3222,374876.7789,374634.6329,4.1,
000006.SZ,20150101,,,,,,,2.4291,951746.5074,943922.4858,7.05,
000007.SZ,20150101,,,,,,,8.9328,337209.43,300487.1859,14.6,
000008.SZ,20150101,,,,,,,11.697,670656.0228,325399.4753,22.09,
000009.SZ,20150101,,,,,,,5.7442,1949280.2691,1929121.4353,12.95,
000010.SZ,20150101,,,,,,,7.1692,435171.6431,265036.5115,7.4,
000011.SZ,20150101,,,,,,,3.0079,594787.1338,175510.9007,9.98,
000012.SZ,20150101,,,,,,,2.2335,1844973.3128,1158161.2596,8.89,
