code,date,tot_asset,tot_liab,roe,ato,gpm,roa,p2b,cur_tmv,cur_cmv,cls_price,revenue
000002.SZ,20110101,,,,,,,2.2452,9038062.799,7937297.686,8.22,
000004.SZ,20110101,,,,,,,14.3139,101107.9275,100988.1295,12.04,
000005.SZ,20110101,,,,,,,4.9694,335560.4338,335343.6836,3.67,
000006.SZ,20110101,,,,,,,2.5342,530260.1004,516411.0582,6.97,
000007.SZ,20110101,,,,,,,nan,158145.3854,158145.3854,8.55,
000008.SZ,20110101,,,,,,,12.0092,88162.89,88162.7822,11.97,
000009.SZ,20110101,,,,,,,7.5582,1829188.637,1798996.154,16.77,
000010.SZ,20110101,,,,,,,46.7435,215086.5264,99182.3938,14.63,
000011.SZ,20110101,,,,,,,5.1057,407053.7198,95440.5745,6.83,
000012.SZ,20110101,,,,,,,6.8791,4101524.094,2517108.971,19.75,
