code,date,tot_asset,tot_liab,roe,ato,gpm,roa,p2b,cur_tmv,cur_cmv,cls_price,revenue
000661.SZ,20050104,,,,,,,1.7867,63168.0802,38385.4162,4.81,
000672.SZ,20050104,,,,,,,1.9786,43311.4486,20108.8866,2.85,
002003.SZ,20050104,,,,,,,3.4649,79943.4899,22449.0,10.69,
600115.SH,20050104,,,,,,,3.4112,2146324.95,132300.0,4.41,
600152.SH,20050104,,,,,,,1.7871,121800.093,46054.625,4.15,
600281.SH,20050104,,,,,,,1.4873,163661.136,47880.0,4.56,
600510.SH,20050104,,,,,,,2.7213,261268.9968,67944.0,8.94,
600797.SH,20050104,,,,,,,3.0629,336600.0069,163726.2737,4.14,
600800.SH,20050104,,,,,,,2.9704,232800.1837,110453.912,4.22,
600962.SH,20050104,,,,,,,1.8297,81510.0,32110.0,4.94,
