code,date,p2b
000001.SZ,20100901,2.0059
000002.SZ,20100901,2.3415
000004.SZ,20100901,14.2331
000005.SZ,20100901,6.3409
000006.SZ,20100901,3.1693
000007.SZ,20100901,nan
000008.SZ,20100901,12.2016
000009.SZ,20100901,5.3201
000010.SZ,20100901,49.1911
000011.SZ,20100901,6.8527
000012.SZ,20100901,5.6444
000014.SZ,20100901,4.6029
000016.SZ,20100901,1.5977
000017.SZ,20100901,nan
000018.SZ,20100901,10.7776
000019.SZ,20100901,6.713
000020.SZ,20100901,11.144
000021.SZ,20100901,4.4399
000022.SZ,20100901,3.067
000023.SZ,20100901,4.0268
000024.SZ,20100901,1.8963
000025.SZ,20100901,14.2976
000026.SZ,20100901,4.879
000027.SZ,20100901,1.7591
000028.SZ,20100901,10.3303
000029.SZ,20100901,4.5465
000030.SZ,20100901,nan
000031.SZ,20100901,2.6067
000032.SZ,20100901,3.3155
000033.SZ,20100901,8.2315
000034.SZ,20100901,nan
000035.SZ,20100901,nan
000036.SZ,20100901,3.7595
000037.SZ,20100901,2.3244
000039.SZ,20100901,2.5829
000040.SZ,20100901,3.6848
000042.SZ,20100901,1.9069
000043.SZ,20100901,1.485
000045.SZ,20100901,3.5896
000046.SZ,20100901,2.7173
000048.SZ,20100901,nan
000049.SZ,20100901,33.0538
000050.SZ,20100901,4.8098
000055.SZ,20100901,4.116
000056.SZ,20100901,13.2625
000058.SZ,20100901,4.6122
000059.SZ,20100901,1.8896
000060.SZ,20100901,5.9509
000061.SZ,20100901,4.5792
000062.SZ,20100901,3.8981
000063.SZ,20100901,3.4318
000065.SZ,20100901,9.0696
000066.SZ,20100901,3.7362
000068.SZ,20100901,25.9216
000069.SZ,20100901,3.4326
000070.SZ,20100901,3.2325
000078.SZ,20100901,12.6146
000088.SZ,20100901,2.0882
000089.SZ,20100901,1.8185
000090.SZ,20100901,2.0009
000096.SZ,20100901,1.9811
000099.SZ,20100901,3.2579
000100.SZ,20100901,1.6432
000150.SZ,20100901,2.6965
000151.SZ,20100901,5.7552
000153.SZ,20100901,3.3872
000155.SZ,20100901,1.8027
000157.SZ,20100901,3.9409
000158.SZ,20100901,2.6968
000159.SZ,20100901,6.4215
000301.SZ,20100901,2.3469
000338.SZ,20100901,4.4499
000400.SZ,20100901,5.1605
000401.SZ,20100901,3.5732
000402.SZ,20100901,1.3675
000404.SZ,20100901,5.8522
000407.SZ,20100901,3.5763
000408.SZ,20100901,20.1894
000409.SZ,20100901,34.8758
000410.SZ,20100901,4.7137
000411.SZ,20100901,10.3952
000413.SZ,20100901,25.4607
000415.SZ,20100901,13.3496
000416.SZ,20100901,6.21
000417.SZ,20100901,8.1911
000418.SZ,20100901,4.6355
000419.SZ,20100901,4.866
000420.SZ,20100901,2.5057
000421.SZ,20100901,3.4444
000422.SZ,20100901,4.0608
000423.SZ,20100901,11.3099
000425.SZ,20100901,5.4917
000426.SZ,20100901,3.7609
000428.SZ,20100901,4.2527
000429.SZ,20100901,1.8026
000430.SZ,20100901,nan
000488.SZ,20100901,1.1644
000501.SZ,20100901,5.9752
000502.SZ,20100901,6.6033
000503.SZ,20100901,6.6797
000504.SZ,20100901,19.5493
000505.SZ,20100901,4.1872
000506.SZ,20100901,5.9841
000507.SZ,20100901,2.901
000509.SZ,20100901,nan
000510.SZ,20100901,4.7592
000511.SZ,20100901,2.979
000513.SZ,20100901,4.9243
000514.SZ,20100901,3.2887
000516.SZ,20100901,4.1582
000517.SZ,20100901,4.4237
000518.SZ,20100901,8.5228
000519.SZ,20100901,11.7685
000520.SZ,20100901,3.5876
000521.SZ,20100901,2.8891
000522.SZ,20100901,6.5557
000523.SZ,20100901,4.5961
000524.SZ,20100901,6.1317
000525.SZ,20100901,6.92
000526.SZ,20100901,7.0739
000527.SZ,20100901,4.1804
000528.SZ,20100901,3.2946
000529.SZ,20100901,5.9431
000530.SZ,20100901,2.3245
000531.SZ,20100901,3.4386
000532.SZ,20100901,4.5936
000533.SZ,20100901,7.8083
000534.SZ,20100901,2.977
000536.SZ,20100901,6.3845
000537.SZ,20100901,9.2715
000538.SZ,20100901,10.2628
000539.SZ,20100901,1.9467
000540.SZ,20100901,6.7913
000541.SZ,20100901,7.0749
000543.SZ,20100901,1.5427
000544.SZ,20100901,6.0097
000545.SZ,20100901,261.2317
000546.SZ,20100901,22.7957
000547.SZ,20100901,2.6491
000548.SZ,20100901,2.647
