code,date,p2b
000001.SZ,20111201,1.1671
000002.SZ,20111201,1.7327
000004.SZ,20111201,12.6414
000005.SZ,20111201,5.029
000006.SZ,20111201,1.781
000007.SZ,20111201,6.8225
000008.SZ,20111201,10.0534
000009.SZ,20111201,7.1009
000010.SZ,20111201,47.1623
000011.SZ,20111201,3.5566
000012.SZ,20111201,3.2161
000014.SZ,20111201,2.3734
000016.SZ,20111201,1.187
000017.SZ,20111201,nan
000018.SZ,20111201,9.6667
000019.SZ,20111201,2.7076
000020.SZ,20111201,7.0578
000021.SZ,20111201,2.1359
000022.SZ,20111201,2.0621
000023.SZ,20111201,3.0171
000024.SZ,20111201,1.4376
000025.SZ,20111201,9.9575
000026.SZ,20111201,4.5836
000027.SZ,20111201,1.2607
000028.SZ,20111201,6.2371
000029.SZ,20111201,2.6143
000030.SZ,20111201,nan
000031.SZ,20111201,1.8603
000032.SZ,20111201,2.2275
000033.SZ,20111201,5.3694
000034.SZ,20111201,25.7331
000035.SZ,20111201,nan
000036.SZ,20111201,1.9444
000037.SZ,20111201,1.726
000039.SZ,20111201,2.07
000040.SZ,20111201,1.9975
000042.SZ,20111201,1.5094
000043.SZ,20111201,1.0785
000045.SZ,20111201,2.121
000046.SZ,20111201,2.203
000048.SZ,20111201,nan
000049.SZ,20111201,12.4777
000050.SZ,20111201,3.387
000055.SZ,20111201,3.5125
000056.SZ,20111201,132.7135
000058.SZ,20111201,3.8897
000059.SZ,20111201,1.8364
000060.SZ,20111201,3.8536
000061.SZ,20111201,3.301
000062.SZ,20111201,2.6816
000063.SZ,20111201,2.5954
000065.SZ,20111201,5.1674
000066.SZ,20111201,2.5075
000068.SZ,20111201,26.6371
000069.SZ,20111201,2.6957
000070.SZ,20111201,3.1672
000078.SZ,20111201,7.0797
000088.SZ,20111201,1.558
000089.SZ,20111201,1.1919
000090.SZ,20111201,1.0445
000096.SZ,20111201,1.5198
000099.SZ,20111201,2.9151
000100.SZ,20111201,1.5543
000150.SZ,20111201,1.829
000151.SZ,20111201,3.1094
000153.SZ,20111201,2.9893
000155.SZ,20111201,1.7734
000157.SZ,20111201,1.9167
000158.SZ,20111201,1.5431
000159.SZ,20111201,2.7458
000301.SZ,20111201,1.6371
000338.SZ,20111201,2.7074
000400.SZ,20111201,3.5977
000401.SZ,20111201,1.9841
000402.SZ,20111201,1.0543
000404.SZ,20111201,3.5233
000407.SZ,20111201,2.6163
000408.SZ,20111201,13.7832
000409.SZ,20111201,27.8256
000410.SZ,20111201,2.9549
000411.SZ,20111201,5.913
000413.SZ,20111201,25.8372
000415.SZ,20111201,1.8786
000416.SZ,20111201,4.5029
000417.SZ,20111201,3.9075
000418.SZ,20111201,1.7525
000419.SZ,20111201,2.051
000420.SZ,20111201,3.2737
000421.SZ,20111201,2.3598
000422.SZ,20111201,2.912
000423.SZ,20111201,10.1185
000425.SZ,20111201,1.9971
000426.SZ,20111201,5.3762
000428.SZ,20111201,2.4794
000429.SZ,20111201,1.0422
000430.SZ,20111201,12.2116
000488.SZ,20111201,0.8352
000501.SZ,20111201,4.1855
000502.SZ,20111201,4.7357
000503.SZ,20111201,6.1754
000504.SZ,20111201,18.8767
000505.SZ,20111201,3.9876
000506.SZ,20111201,6.1776
000507.SZ,20111201,2.069
000509.SZ,20111201,nan
000510.SZ,20111201,4.1215
000511.SZ,20111201,2.1941
000513.SZ,20111201,2.8182
000514.SZ,20111201,1.7316
000516.SZ,20111201,3.6759
000517.SZ,20111201,2.8072
000518.SZ,20111201,7.9301
000519.SZ,20111201,5.3014
000520.SZ,20111201,4.7555
000521.SZ,20111201,1.2225
000522.SZ,20111201,4.4108
000523.SZ,20111201,2.6061
000524.SZ,20111201,3.964
000525.SZ,20111201,3.0404
000526.SZ,20111201,5.5449
000527.SZ,20111201,2.154
000528.SZ,20111201,1.645
000529.SZ,20111201,5.4925
000530.SZ,20111201,1.8618
000531.SZ,20111201,1.3486
000532.SZ,20111201,5.807
000533.SZ,20111201,3.6577
000534.SZ,20111201,2.9865
000536.SZ,20111201,4.7669
000537.SZ,20111201,3.3666
000538.SZ,20111201,8.1966
000539.SZ,20111201,1.3672
000540.SZ,20111201,4.7968
000541.SZ,20111201,4.0773
000543.SZ,20111201,1.3073
000544.SZ,20111201,4.4229
000545.SZ,20111201,nan
000546.SZ,20111201,11.9276
000547.SZ,20111201,1.988
000548.SZ,20111201,1.6371
000550.SZ,20111201,2.5878
000551.SZ,20111201,2.8566
000552.SZ,20111201,5.5773
000553.SZ,20111201,3.4815
000554.SZ,20111201,4.4036
