code,date,tot_asset,tot_liab,roe,ato,gpm,roa,p2b,cur_tmv,cur_cmv,cls_price,revenue
000001.SZ,20100101,,,,,,,3.9647,7567942.078,7126066.459,24.37,
000002.SZ,20100101,,,,,,,3.4015,11885822.25,10438238.6,10.81,
000004.SZ,20100101,,,,,,,14.2179,83976.684,70307.411,10.0,
000005.SZ,20100101,,,,,,,7.4358,550428.8314,550073.2902,6.02,
000006.SZ,20100101,,,,,,,3.0482,574638.6358,557469.5957,11.33,
000007.SZ,20100101,,,,,,,nan,130030.6502,130030.6502,7.03,
000008.SZ,20100101,,,,,,,12.2434,90446.1394,63506.8919,12.28,
000009.SZ,20100101,,,,,,,6.3246,1197644.081,1084955.603,10.98,
000010.SZ,20100101,,,,,,,38.0594,174362.6933,80403.499,11.86,
000011.SZ,20100101,,,,,,,8.7907,637101.6493,149379.1716,10.69,
