code,date,tot_asset,tot_liab,roe,ato,gpm,roa,p2b,cur_tmv,cur_cmv,cls_price,revenue
000404.SZ,20140630,,,7.0769,0.627,15.1768,3.0803,,,,,
002275.SZ,20140630,,,10.8673,0.2571,71.1665,8.9722,,,,,
300116.SZ,20140630,,,-0.4267,0.189,32.0259,-0.1874,,,,,
300178.SZ,20140630,,,5.0722,0.1429,63.2521,3.8372,,,,,
300243.SZ,20140630,,,4.2718,0.4965,20.6289,2.1329,,,,,
300258.SZ,20140630,,,5.6991,0.2092,38.567,4.409,,,,,
300370.SZ,20140630,,,-4.4268,0.1562,32.7244,-2.133,,,,,
600326.SH,20140630,3005574814.0,1657633359.0,,,,,,,,,
600348.SH,20140630,,,2.7052,0.4113,15.0308,1.0885,,,,,
600567.SH,20140630,,,1.6631,0.2175,17.6304,0.5448,,,,,
600832.SH,20140630,,,7.8592,0.1313,36.3114,4.3881,,,,,
