code,date,p2b
000001.SZ,20101201,1.7878
000002.SZ,20101201,2.2452
000004.SZ,20101201,15.0748
000005.SZ,20101201,5.1996
000006.SZ,20101201,2.6578
000007.SZ,20101201,nan
000008.SZ,20101201,12.541
000009.SZ,20101201,7.468
000010.SZ,20101201,46.7435
000011.SZ,20101201,5.5842
000012.SZ,20101201,7.5618
000014.SZ,20101201,3.8816
000016.SZ,20101201,1.5994
000017.SZ,20101201,nan
000018.SZ,20101201,9.5568
000019.SZ,20101201,6.8886
000020.SZ,20101201,10.8041
000021.SZ,20101201,4.3907
000022.SZ,20101201,2.9147
000023.SZ,20101201,3.7469
000024.SZ,20101201,1.5615
000025.SZ,20101201,13.6706
000026.SZ,20101201,5.727
000027.SZ,20101201,1.7803
000028.SZ,20101201,10.6075
000029.SZ,20101201,3.7529
000030.SZ,20101201,nan
000031.SZ,20101201,2.2974
000032.SZ,20101201,3.3017
000033.SZ,20101201,7.135
000034.SZ,20101201,80.8426
000035.SZ,20101201,nan
000036.SZ,20101201,3.0128
000037.SZ,20101201,1.9926
000039.SZ,20101201,3.1722
000040.SZ,20101201,2.9191
000042.SZ,20101201,1.869
000043.SZ,20101201,1.5417
000045.SZ,20101201,3.881
000046.SZ,20101201,2.6128
000048.SZ,20101201,nan
000049.SZ,20101201,25.0462
000050.SZ,20101201,7.5915
000055.SZ,20101201,5.419
000056.SZ,20101201,14.7722
000058.SZ,20101201,4.2618
000059.SZ,20101201,2.2636
000060.SZ,20101201,7.3128
000061.SZ,20101201,4.905
000062.SZ,20101201,3.5103
000063.SZ,20101201,3.4864
000065.SZ,20101201,7.6066
000066.SZ,20101201,3.9621
000068.SZ,20101201,31.377
000069.SZ,20101201,3.091
000070.SZ,20101201,3.6382
000078.SZ,20101201,12.692
000088.SZ,20101201,1.8931
000089.SZ,20101201,1.6975
000090.SZ,20101201,1.5292
000096.SZ,20101201,2.1435
000099.SZ,20101201,4.015
000100.SZ,20101201,1.4922
000150.SZ,20101201,2.4264
000151.SZ,20101201,4.9375
000153.SZ,20101201,4.1178
000155.SZ,20101201,2.1226
000157.SZ,20101201,4.6081
000158.SZ,20101201,2.3403
000159.SZ,20101201,6.3708
000301.SZ,20101201,2.6486
000338.SZ,20101201,6.225
000400.SZ,20101201,5.8162
000401.SZ,20101201,3.2641
000402.SZ,20101201,1.2699
000404.SZ,20101201,4.9582
000407.SZ,20101201,4.136
000408.SZ,20101201,24.4669
000409.SZ,20101201,34.4613
000410.SZ,20101201,4.7385
000411.SZ,20101201,10.9979
000413.SZ,20101201,23.1954
000415.SZ,20101201,13.599
000416.SZ,20101201,5.698
000417.SZ,20101201,8.2344
000418.SZ,20101201,5.1286
000419.SZ,20101201,4.5145
000420.SZ,20101201,3.3518
000421.SZ,20101201,2.7844
000422.SZ,20101201,3.8926
000423.SZ,20101201,12.4026
000425.SZ,20101201,3.3001
000426.SZ,20101201,5.5379
000428.SZ,20101201,3.4942
000429.SZ,20101201,1.5125
000430.SZ,20101201,nan
000488.SZ,20101201,1.1377
000501.SZ,20101201,5.9336
000502.SZ,20101201,6.3194
000503.SZ,20101201,7.7333
000504.SZ,20101201,19.0885
000505.SZ,20101201,4.4676
000506.SZ,20101201,8.7348
000507.SZ,20101201,3.2637
000509.SZ,20101201,nan
000510.SZ,20101201,5.0599
000511.SZ,20101201,2.6082
000513.SZ,20101201,4.9566
000514.SZ,20101201,2.9386
000516.SZ,20101201,4.471
000517.SZ,20101201,3.8418
000518.SZ,20101201,10.8848
000519.SZ,20101201,9.8088
000520.SZ,20101201,3.7312
