code,date,p2b
000001.SZ,20100301,3.6523
000002.SZ,20100301,2.9704
000004.SZ,20100301,15.469
000005.SZ,20100301,7.09
000006.SZ,20100301,2.4982
000007.SZ,20100301,nan
000008.SZ,20100301,11.2663
000009.SZ,20100301,6.5665
000010.SZ,20100301,37.3032
000011.SZ,20100301,9.2355
000012.SZ,20100301,4.7806
000014.SZ,20100301,5.9618
000016.SZ,20100301,2.4191
000017.SZ,20100301,nan
000018.SZ,20100301,11.7647
000019.SZ,20100301,5.5603
000020.SZ,20100301,10.7593
000021.SZ,20100301,3.2531
000022.SZ,20100301,3.6637
000023.SZ,20100301,4.5979
000024.SZ,20100301,2.5287
000025.SZ,20100301,14.7213
000026.SZ,20100301,4.655
000027.SZ,20100301,2.2229
000028.SZ,20100301,11.459
000029.SZ,20100301,5.6236
000030.SZ,20100301,nan
000031.SZ,20100301,5.3943
000032.SZ,20100301,2.8032
000033.SZ,20100301,8.8374
000034.SZ,20100301,nan
000035.SZ,20100301,nan
000036.SZ,20100301,4.858
000037.SZ,20100301,2.6737
000039.SZ,20100301,3.0452
000040.SZ,20100301,4.5882
000042.SZ,20100301,2.3166
000043.SZ,20100301,1.8227
000045.SZ,20100301,6.4501
000046.SZ,20100301,3.406
000048.SZ,20100301,nan
000049.SZ,20100301,12.8831
000050.SZ,20100301,3.6532
000055.SZ,20100301,7.3197
000056.SZ,20100301,12.2865
000058.SZ,20100301,4.5126
000059.SZ,20100301,2.5015
000060.SZ,20100301,6.4757
000061.SZ,20100301,4.1063
000062.SZ,20100301,2.3013
000063.SZ,20100301,5.3747
000065.SZ,20100301,11.516
000066.SZ,20100301,5.1443
000068.SZ,20100301,12.7384
000069.SZ,20100301,3.5712
000070.SZ,20100301,3.9732
000078.SZ,20100301,14.1661
000088.SZ,20100301,2.4858
000089.SZ,20100301,2.5577
000090.SZ,20100301,2.2424
000096.SZ,20100301,2.575
000099.SZ,20100301,2.7046
000100.SZ,20100301,3.3561
000150.SZ,20100301,3.477
000151.SZ,20100301,4.5552
000153.SZ,20100301,3.1967
000155.SZ,20100301,2.2286
000157.SZ,20100301,3.849
000158.SZ,20100301,3.1201
000159.SZ,20100301,3.8744
000301.SZ,20100301,3.2375
000338.SZ,20100301,5.5396
000400.SZ,20100301,4.4227
000401.SZ,20100301,3.2441
000402.SZ,20100301,1.7776
000404.SZ,20100301,5.3361
000407.SZ,20100301,4.4826
000408.SZ,20100301,8.7171
000409.SZ,20100301,29.8423
000410.SZ,20100301,5.0392
000411.SZ,20100301,11.9317
000413.SZ,20100301,14.2514
000415.SZ,20100301,8.4232
000416.SZ,20100301,7.7644
000417.SZ,20100301,8.0272
000418.SZ,20100301,5.2207
000419.SZ,20100301,4.4649
000420.SZ,20100301,2.8132
000421.SZ,20100301,3.8069
000422.SZ,20100301,5.5612
000423.SZ,20100301,8.5498
000425.SZ,20100301,7.4344
000426.SZ,20100301,4.0652
000428.SZ,20100301,4.338
000429.SZ,20100301,2.1172
000430.SZ,20100301,nan
000488.SZ,20100301,1.3842
000501.SZ,20100301,5.2255
000502.SZ,20100301,8.1273
000503.SZ,20100301,6.6583
000504.SZ,20100301,10.7969
000505.SZ,20100301,6.4727
000506.SZ,20100301,9.1045
000507.SZ,20100301,2.8521
000509.SZ,20100301,587.5281
000510.SZ,20100301,5.2627
000511.SZ,20100301,3.9343
000513.SZ,20100301,5.789
000514.SZ,20100301,4.8813
000516.SZ,20100301,3.398
000517.SZ,20100301,9.1107
000518.SZ,20100301,6.2141
000519.SZ,20100301,12.7013
000520.SZ,20100301,3.0483
000521.SZ,20100301,3.8933
000522.SZ,20100301,6.7648
000523.SZ,20100301,4.5837
000524.SZ,20100301,4.9829
000525.SZ,20100301,8.1848
000526.SZ,20100301,10.6568
000527.SZ,20100301,4.8174
000528.SZ,20100301,3.8802
000529.SZ,20100301,7.4637
000530.SZ,20100301,2.2928
000531.SZ,20100301,4.9107
000532.SZ,20100301,6.7519
000533.SZ,20100301,7.4597
000534.SZ,20100301,3.68
000536.SZ,20100301,60.3809
000537.SZ,20100301,16.4341
000538.SZ,20100301,9.4168
000539.SZ,20100301,2.2012
000540.SZ,20100301,9.0265
000541.SZ,20100301,4.2349
000543.SZ,20100301,1.8404
000544.SZ,20100301,6.8939
000545.SZ,20100301,251.9913
000546.SZ,20100301,17.4301
000547.SZ,20100301,2.9152
000548.SZ,20100301,3.7872
000550.SZ,20100301,3.7929
000551.SZ,20100301,3.7483
000552.SZ,20100301,6.1984
000553.SZ,20100301,5.2169
000554.SZ,20100301,4.127
000555.SZ,20100301,nan
000557.SZ,20100301,nan
000558.SZ,20100301,4.5834
000559.SZ,20100301,4.924
000560.SZ,20100301,2.9169
000561.SZ,20100301,nan
000562.SZ,20100301,4.864
000563.SZ,20100301,9.0509
000564.SZ,20100301,2.8608
000565.SZ,20100301,5.5981
000566.SZ,20100301,9.4118
