code,date,p2b
000001.SZ,20110601,1.6897
000002.SZ,20110601,1.9351
000004.SZ,20110601,14.4004
000005.SZ,20110601,5.1553
000006.SZ,20110601,2.1687
000007.SZ,20110601,6.6589
000008.SZ,20110601,11.1066
000009.SZ,20110601,6.7849
000010.SZ,20110601,49.5008
000011.SZ,20110601,5.4997
000012.SZ,20110601,4.9919
000014.SZ,20110601,3.1983
000016.SZ,20110601,1.407
000017.SZ,20110601,nan
000018.SZ,20110601,8.9785
000019.SZ,20110601,6.0588
000020.SZ,20110601,8.7707
000021.SZ,20110601,2.733
000022.SZ,20110601,2.7404
000023.SZ,20110601,3.5465
000024.SZ,20110601,1.5113
000025.SZ,20110601,14.7869
000026.SZ,20110601,4.328
000027.SZ,20110601,1.5171
000028.SZ,20110601,7.4589
000029.SZ,20110601,3.5127
000030.SZ,20110601,nan
000031.SZ,20110601,2.3013
000032.SZ,20110601,2.6882
000033.SZ,20110601,7.2941
000034.SZ,20110601,36.8521
000035.SZ,20110601,nan
000036.SZ,20110601,2.5125
000037.SZ,20110601,2.0347
000039.SZ,20110601,3.2959
000040.SZ,20110601,2.7708
000042.SZ,20110601,1.7165
000043.SZ,20110601,1.3575
000045.SZ,20110601,2.7555
000046.SZ,20110601,2.6074
000048.SZ,20110601,nan
000049.SZ,20110601,13.2978
000050.SZ,20110601,5.0613
000055.SZ,20110601,4.6861
000056.SZ,20110601,111.5454
000058.SZ,20110601,3.9463
000059.SZ,20110601,2.1572
000060.SZ,20110601,5.7841
000061.SZ,20110601,4.0656
000062.SZ,20110601,2.9207
000063.SZ,20110601,3.223
000065.SZ,20110601,6.2918
000066.SZ,20110601,2.9442
000068.SZ,20110601,24.0079
000069.SZ,20110601,3.0975
000070.SZ,20110601,3.1366
000078.SZ,20110601,8.9367
000088.SZ,20110601,2.1269
000089.SZ,20110601,1.5824
000090.SZ,20110601,1.2464
000096.SZ,20110601,1.8679
000099.SZ,20110601,3.2883
000100.SZ,20110601,2.1585
000150.SZ,20110601,2.4145
000151.SZ,20110601,3.4673
000153.SZ,20110601,3.2424
000155.SZ,20110601,2.3358
000157.SZ,20110601,2.7132
000158.SZ,20110601,2.0068
000159.SZ,20110601,3.6924
000301.SZ,20110601,2.099
000338.SZ,20110601,3.8256
000400.SZ,20110601,4.6575
000401.SZ,20110601,3.6225
000402.SZ,20110601,1.2121
000404.SZ,20110601,4.405
000407.SZ,20110601,2.8404
000408.SZ,20110601,17.8014
000409.SZ,20110601,39.2125
000410.SZ,20110601,3.8809
000411.SZ,20110601,11.8691
000413.SZ,20110601,23.0744
000415.SZ,20110601,15.7113
000416.SZ,20110601,5.3559
000417.SZ,20110601,5.9789
000418.SZ,20110601,3.2995
000419.SZ,20110601,2.4017
000420.SZ,20110601,3.2488
000421.SZ,20110601,2.6984
000422.SZ,20110601,3.5452
000423.SZ,20110601,9.3706
000425.SZ,20110601,3.5601
000426.SZ,20110601,5.1105
000428.SZ,20110601,3.1699
000429.SZ,20110601,1.4603
000430.SZ,20110601,3.9706
000488.SZ,20110601,1.0991
000501.SZ,20110601,5.297
000502.SZ,20110601,6.3846
000503.SZ,20110601,6.4124
000504.SZ,20110601,18.776
000505.SZ,20110601,4.8369
000506.SZ,20110601,9.3897
000507.SZ,20110601,2.8901
000509.SZ,20110601,nan
000510.SZ,20110601,3.9662
000511.SZ,20110601,2.5215
000513.SZ,20110601,3.1893
000514.SZ,20110601,2.2881
000516.SZ,20110601,3.3878
000517.SZ,20110601,4.682
000518.SZ,20110601,10.0282
000519.SZ,20110601,7.5361
000520.SZ,20110601,3.9196
000521.SZ,20110601,1.8132
000522.SZ,20110601,5.9701
000523.SZ,20110601,2.5641
000524.SZ,20110601,4.5258
000525.SZ,20110601,6.657
000526.SZ,20110601,7.3382
000527.SZ,20110601,3.4831
000528.SZ,20110601,2.7228
000529.SZ,20110601,5.9971
000530.SZ,20110601,2.2089
000531.SZ,20110601,1.7965
000532.SZ,20110601,5.1014
000533.SZ,20110601,5.4999
000534.SZ,20110601,2.6715
000536.SZ,20110601,6.3971
000537.SZ,20110601,6.3187
000538.SZ,20110601,8.6995
000539.SZ,20110601,1.5876
000540.SZ,20110601,6.8344
000541.SZ,20110601,4.7583
000543.SZ,20110601,1.6875
000544.SZ,20110601,4.5933
000545.SZ,20110601,nan
000546.SZ,20110601,13.4917
000547.SZ,20110601,2.0936
000548.SZ,20110601,2.1852
000550.SZ,20110601,3.321
000551.SZ,20110601,2.8576
000552.SZ,20110601,6.4882
000553.SZ,20110601,4.4781
000554.SZ,20110601,5.7652
000555.SZ,20110601,nan
000557.SZ,20110601,nan
000558.SZ,20110601,6.5215
000559.SZ,20110601,3.7242
000560.SZ,20110601,2.2875
000561.SZ,20110601,7.8125
000562.SZ,20110601,3.2393
000563.SZ,20110601,5.2055
000564.SZ,20110601,2.8251
000565.SZ,20110601,3.3001
000566.SZ,20110601,10.118
000567.SZ,20110601,5.6723
000568.SZ,20110601,9.9324
000570.SZ,20110601,2.1524
000571.SZ,20110601,3.6521
000572.SZ,20110601,1.3733
000573.SZ,20110601,2.0309
000576.SZ,20110601,10.6438
000581.SZ,20110601,4.4201
000582.SZ,20110601,4.6999
000584.SZ,20110601,1.9448
000585.SZ,20110601,11.8728
000586.SZ,20110601,8.7109
000587.SZ,20110601,59.7792
000589.SZ,20110601,1.5077
000590.SZ,20110601,8.5337
000591.SZ,20110601,5.8324
000592.SZ,20110601,4.9532
000593.SZ,20110601,6.0121
000594.SZ,20110601,1.9255
000595.SZ,20110601,12.0523
000596.SZ,20110601,15.2367
000597.SZ,20110601,2.6525
000598.SZ,20110601,1.7446
000599.SZ,20110601,2.0761
000600.SZ,20110601,1.6804
000601.SZ,20110601,1.6123
000602.SZ,20110601,12.7581
000603.SZ,20110601,51.3248
000605.SZ,20110601,23.8983
000606.SZ,20110601,6.2244
000607.SZ,20110601,10.0434
000608.SZ,20110601,1.8334
000609.SZ,20110601,4.1819
000610.SZ,20110601,4.5829
000611.SZ,20110601,3.6366
000612.SZ,20110601,3.9874
000613.SZ,20110601,21.8485
000615.SZ,20110601,2.1385
000616.SZ,20110601,1.4793
000617.SZ,20110601,6.2225
000619.SZ,20110601,1.6401
000623.SZ,20110601,2.7385
000625.SZ,20110601,1.6408
000626.SZ,20110601,6.9328
000627.SZ,20110601,3.9354
000628.SZ,20110601,14.3117
000629.SZ,20110601,3.9633
000630.SZ,20110601,3.6302
000631.SZ,20110601,3.5787
000632.SZ,20110601,4.621
000633.SZ,20110601,18.1881
000635.SZ,20110601,3.4471
000636.SZ,20110601,3.2374
000637.SZ,20110601,6.5415
000638.SZ,20110601,6.5875
000639.SZ,20110601,4.4441
000650.SZ,20110601,9.4192
000651.SZ,20110601,4.5474
000652.SZ,20110601,5.0817
000655.SZ,20110601,4.8564
000656.SZ,20110601,7.2401
000659.SZ,20110601,3.356
000661.SZ,20110601,11.1938
000662.SZ,20110601,2.6108
000663.SZ,20110601,4.0826
000665.SZ,20110601,13.9078
000666.SZ,20110601,2.2883
000667.SZ,20110601,1.5202
000668.SZ,20110601,2.308
000669.SZ,20110601,15.5609
000671.SZ,20110601,2.3625
000673.SZ,20110601,nan
000676.SZ,20110601,4.2357
000677.SZ,20110601,5.0727
000678.SZ,20110601,4.1032
000679.SZ,20110601,2.6498
000680.SZ,20110601,3.4457
000682.SZ,20110601,4.3818
000683.SZ,20110601,2.9448
000685.SZ,20110601,1.9523
000686.SZ,20110601,3.6393
000687.SZ,20110601,3.461
000690.SZ,20110601,2.8625
000691.SZ,20110601,11.4565
000692.SZ,20110601,1.5798
000695.SZ,20110601,9.6767
000697.SZ,20110601,7.8811
000698.SZ,20110601,1.9758
000700.SZ,20110601,2.8464
000701.SZ,20110601,3.4248
000702.SZ,20110601,5.1742
000703.SZ,20110601,34.1888
000705.SZ,20110601,3.1718
000707.SZ,20110601,2.1741
000708.SZ,20110601,2.7545
000709.SZ,20110601,1.031
000710.SZ,20110601,15.5834
000711.SZ,20110601,4.1739
000712.SZ,20110601,5.04
000713.SZ,20110601,4.3789
000715.SZ,20110601,2.9356
000716.SZ,20110601,5.6401
000717.SZ,20110601,1.0713
000718.SZ,20110601,3.5517
000720.SZ,20110601,4.672
000721.SZ,20110601,4.3295
000723.SZ,20110601,5.1624
000725.SZ,20110601,1.4112
000726.SZ,20110601,2.4118
000727.SZ,20110601,7.6141
000728.SZ,20110601,1.5129
000729.SZ,20110601,2.8618
000731.SZ,20110601,1.7616
000732.SZ,20110601,6.1042
000733.SZ,20110601,1.6485
000735.SZ,20110601,3.8672
000736.SZ,20110601,2.1308
000737.SZ,20110601,10.3189
000738.SZ,20110601,4.8755
000739.SZ,20110601,2.7475
000748.SZ,20110601,2.6147
000750.SZ,20110601,4.6257
000751.SZ,20110601,7.4208
000752.SZ,20110601,12.8338
000753.SZ,20110601,3.7842
000755.SZ,20110601,2.1724
000756.SZ,20110601,1.9544
000758.SZ,20110601,12.0893
000759.SZ,20110601,3.2446
000760.SZ,20110601,9.2564
000761.SZ,20110601,1.3535
000762.SZ,20110601,5.3034
000766.SZ,20110601,5.7254
000767.SZ,20110601,5.1165
000768.SZ,20110601,2.7135
000776.SZ,20110601,4.2867
000777.SZ,20110601,6.1973
000778.SZ,20110601,1.7995
000779.SZ,20110601,6.044
000780.SZ,20110601,4.0585
000782.SZ,20110601,2.9887
000783.SZ,20110601,1.9715
000785.SZ,20110601,4.2125
000786.SZ,20110601,3.0434
000788.SZ,20110601,6.6555
000789.SZ,20110601,4.2181
000790.SZ,20110601,10.7084
000791.SZ,20110601,4.4441
000792.SZ,20110601,7.2684
000793.SZ,20110601,3.1209
000795.SZ,20110601,18.4831
000796.SZ,20110601,3.884
000797.SZ,20110601,1.8976
000798.SZ,20110601,5.1509
000799.SZ,20110601,6.9301
000800.SZ,20110601,2.4423
000801.SZ,20110601,5.5131
000802.SZ,20110601,2.8423
000803.SZ,20110601,11.1037
000806.SZ,20110601,3.0827
000807.SZ,20110601,3.2679
000809.SZ,20110601,19.6061
000810.SZ,20110601,3.6306
000811.SZ,20110601,5.9529
000812.SZ,20110601,4.2931
000813.SZ,20110601,11.1662
000815.SZ,20110601,3.1555
000816.SZ,20110601,3.9599
000818.SZ,20110601,2.2052
000819.SZ,20110601,6.0319
000821.SZ,20110601,2.0901
000822.SZ,20110601,2.4345
000823.SZ,20110601,3.41
000825.SZ,20110601,1.3389
000826.SZ,20110601,7.3465
000828.SZ,20110601,1.9701
000829.SZ,20110601,4.461
000830.SZ,20110601,2.0724
000833.SZ,20110601,3.4827
000835.SZ,20110601,6.3354
000836.SZ,20110601,2.9705
000837.SZ,20110601,4.4484
000838.SZ,20110601,4.7233
000839.SZ,20110601,2.8409
000848.SZ,20110601,9.4847
000850.SZ,20110601,2.2482
