code,date,p2b
000001.SZ,20130301,1.4547
000002.SZ,20130301,2.0742
000004.SZ,20130301,11.3218
000005.SZ,20130301,4.2567
000006.SZ,20130301,1.9234
000007.SZ,20130301,17.1875
000008.SZ,20130301,3.4496
000009.SZ,20130301,3.5277
000010.SZ,20130301,60.6818
000011.SZ,20130301,3.2179
000012.SZ,20130301,2.5764
000014.SZ,20130301,3.5854
000016.SZ,20130301,1.0214
000017.SZ,20130301,nan
000018.SZ,20130301,11.999
000019.SZ,20130301,2.1172
000020.SZ,20130301,6.6484
000021.SZ,20130301,1.5589
000022.SZ,20130301,2.4343
000023.SZ,20130301,2.9239
000024.SZ,20130301,2.1515
000025.SZ,20130301,8.7811
000026.SZ,20130301,2.0199
000027.SZ,20130301,1.069
000028.SZ,20130301,5.8092
000029.SZ,20130301,2.5104
000030.SZ,20130301,nan
000031.SZ,20130301,1.9109
000032.SZ,20130301,2.6847
000033.SZ,20130301,5.2239
000034.SZ,20130301,18.3936
000035.SZ,20130301,nan
000036.SZ,20130301,2.2787
000037.SZ,20130301,1.7573
000038.SZ,20130301,6.9166
000039.SZ,20130301,1.8606
000040.SZ,20130301,2.0011
000042.SZ,20130301,1.9851
000043.SZ,20130301,1.789
000045.SZ,20130301,2.2995
000046.SZ,20130301,2.9545
000048.SZ,20130301,7.2604
000049.SZ,20130301,17.5351
000050.SZ,20130301,4.5842
000055.SZ,20130301,3.2534
000056.SZ,20130301,nan
000058.SZ,20130301,2.9233
000059.SZ,20130301,1.2082
000060.SZ,20130301,3.7876
000061.SZ,20130301,2.0451
000062.SZ,20130301,2.8309
000063.SZ,20130301,1.5149
000065.SZ,20130301,4.2926
000066.SZ,20130301,1.4298
000068.SZ,20130301,25.7764
000069.SZ,20130301,2.3784
000070.SZ,20130301,2.2681
000078.SZ,20130301,6.193
000088.SZ,20130301,1.8238
000089.SZ,20130301,0.9716
000090.SZ,20130301,1.1957
000096.SZ,20130301,1.433
000099.SZ,20130301,2.4475
000100.SZ,20130301,1.7463
000150.SZ,20130301,2.2297
000151.SZ,20130301,2.5247
000153.SZ,20130301,2.6294
000155.SZ,20130301,1.6658
000156.SZ,20130301,24.0493
000157.SZ,20130301,1.7839
000158.SZ,20130301,1.2285
000159.SZ,20130301,1.7386
000301.SZ,20130301,1.4268
000338.SZ,20130301,2.022
000400.SZ,20130301,4.0563
000401.SZ,20130301,1.6
000402.SZ,20130301,1.0473
000403.SZ,20130301,24.8271
000404.SZ,20130301,1.9531
000407.SZ,20130301,3.1591
000408.SZ,20130301,10.6627
000409.SZ,20130301,5.3984
000410.SZ,20130301,2.3982
000411.SZ,20130301,4.2855
000413.SZ,20130301,13.3548
000415.SZ,20130301,1.437
000416.SZ,20130301,4.6013
000417.SZ,20130301,2.1691
000418.SZ,20130301,1.8663
000419.SZ,20130301,1.5509
000420.SZ,20130301,2.7531
000421.SZ,20130301,2.0169
000422.SZ,20130301,1.8395
000423.SZ,20130301,8.1055
000425.SZ,20130301,1.5166
000426.SZ,20130301,3.1487
000428.SZ,20130301,1.983
000429.SZ,20130301,0.96
000430.SZ,20130301,7.7715
000488.SZ,20130301,0.6239
000498.SZ,20130301,3.2783
000501.SZ,20130301,2.4427
000502.SZ,20130301,5.6862
000503.SZ,20130301,10.4487
000504.SZ,20130301,16.6739
000505.SZ,20130301,4.2278
000506.SZ,20130301,4.5417
000507.SZ,20130301,1.6321
000509.SZ,20130301,nan
000510.SZ,20130301,5.551
000511.SZ,20130301,2.9182
000513.SZ,20130301,4.6747
000514.SZ,20130301,1.3985
000516.SZ,20130301,2.708
000517.SZ,20130301,2.8462
000518.SZ,20130301,5.8936
000519.SZ,20130301,7.4039
000520.SZ,20130301,nan
000521.SZ,20130301,1.1135
000522.SZ,20130301,7.2805
000523.SZ,20130301,3.372
000524.SZ,20130301,3.0903
000525.SZ,20130301,2.4837
000526.SZ,20130301,5.7241
000527.SZ,20130301,1.4515
000528.SZ,20130301,1.186
000529.SZ,20130301,5.2516
000530.SZ,20130301,1.7368
000531.SZ,20130301,2.0347
000532.SZ,20130301,5.0337
000533.SZ,20130301,2.9522
000534.SZ,20130301,2.582
000536.SZ,20130301,5.4668
000537.SZ,20130301,2.9575
000538.SZ,20130301,8.1338
000539.SZ,20130301,1.5152
000540.SZ,20130301,3.4306
000541.SZ,20130301,2.4403
000543.SZ,20130301,1.3744
000544.SZ,20130301,4.7825
000546.SZ,20130301,7.5061
000547.SZ,20130301,1.9107
000548.SZ,20130301,1.4647
000550.SZ,20130301,1.8758
000551.SZ,20130301,3.0177
000552.SZ,20130301,2.0834
000553.SZ,20130301,3.2461
000554.SZ,20130301,2.7683
000555.SZ,20130301,nan
000557.SZ,20130301,67.9342
000558.SZ,20130301,3.2229
000559.SZ,20130301,2.2837
000560.SZ,20130301,1.6416
000561.SZ,20130301,5.2789
000562.SZ,20130301,2.7146
000563.SZ,20130301,2.9941
000564.SZ,20130301,1.2531
000565.SZ,20130301,2.4757
000566.SZ,20130301,3.9697
000567.SZ,20130301,7.1929
000568.SZ,20130301,5.3887
000570.SZ,20130301,2.189
000571.SZ,20130301,2.738
000572.SZ,20130301,0.8154
000573.SZ,20130301,2.1213
000576.SZ,20130301,12.851
000581.SZ,20130301,3.6638
000582.SZ,20130301,3.8365
000584.SZ,20130301,1.8598
000585.SZ,20130301,9.0691
000586.SZ,20130301,5.7825
000587.SZ,20130301,6.1773
000589.SZ,20130301,1.1208
000590.SZ,20130301,6.4888
000591.SZ,20130301,4.815
000592.SZ,20130301,4.6846
000593.SZ,20130301,4.6984
000594.SZ,20130301,1.1095
000595.SZ,20130301,6.9468
000596.SZ,20130301,5.2674
000597.SZ,20130301,1.5746
000598.SZ,20130301,2.3442
000599.SZ,20130301,1.2531
000600.SZ,20130301,1.339
000601.SZ,20130301,1.1488
000602.SZ,20130301,3.2206
000603.SZ,20130301,14.6925
000605.SZ,20130301,25.4921
000606.SZ,20130301,2.8092
000607.SZ,20130301,6.4726
000608.SZ,20130301,1.5973
000609.SZ,20130301,1.9415
000610.SZ,20130301,2.9028
000611.SZ,20130301,2.3801
000612.SZ,20130301,1.964
000613.SZ,20130301,16.2237
000615.SZ,20130301,1.6823
000616.SZ,20130301,1.2139
000617.SZ,20130301,3.4119
000619.SZ,20130301,1.675
000620.SZ,20130301,3.397
000622.SZ,20130301,nan
000623.SZ,20130301,1.988
000625.SZ,20130301,2.7346
000626.SZ,20130301,3.6388
000627.SZ,20130301,3.3059
000628.SZ,20130301,8.1192
000629.SZ,20130301,2.0317
000630.SZ,20130301,2.4047
000631.SZ,20130301,2.7342
000632.SZ,20130301,3.0279
000633.SZ,20130301,12.7706
000635.SZ,20130301,1.0856
000636.SZ,20130301,2.0984
000637.SZ,20130301,3.6667
000638.SZ,20130301,6.6477
000639.SZ,20130301,3.4426
000650.SZ,20130301,4.2378
000651.SZ,20130301,3.3366
000652.SZ,20130301,2.822
000655.SZ,20130301,2.5332
000656.SZ,20130301,2.6175
000657.SZ,20130301,10.7752
000659.SZ,20130301,1.4995
000661.SZ,20130301,14.8948
000662.SZ,20130301,2.5682
000663.SZ,20130301,5.7709
000665.SZ,20130301,1.9406
000666.SZ,20130301,1.7832
000667.SZ,20130301,1.0803
000668.SZ,20130301,2.1806
000669.SZ,20130301,3.9395
000670.SZ,20130301,14.0526
000671.SZ,20130301,5.2176
000673.SZ,20130301,439.4692
000676.SZ,20130301,3.9462
000677.SZ,20130301,nan
000678.SZ,20130301,1.8047
000679.SZ,20130301,1.7457
000680.SZ,20130301,1.3626
000681.SZ,20130301,9.5336
000682.SZ,20130301,2.3292
000683.SZ,20130301,1.8683
000685.SZ,20130301,1.7526
000686.SZ,20130301,2.6081
000687.SZ,20130301,1.8992
000690.SZ,20130301,2.1495
000691.SZ,20130301,12.6444
000692.SZ,20130301,1.363
000695.SZ,20130301,6.0312
000697.SZ,20130301,12.4694
000698.SZ,20130301,1.0966
000700.SZ,20130301,1.869
000701.SZ,20130301,2.6471
000702.SZ,20130301,2.6718
000703.SZ,20130301,2.5919
000705.SZ,20130301,2.1588
000707.SZ,20130301,1.2993
000708.SZ,20130301,1.152
000709.SZ,20130301,0.6399
000710.SZ,20130301,11.7723
000711.SZ,20130301,3.3177
000712.SZ,20130301,2.2406
000713.SZ,20130301,2.9938
000715.SZ,20130301,1.6342
000716.SZ,20130301,6.8771
000717.SZ,20130301,1.2963
000718.SZ,20130301,2.949
000719.SZ,20130301,2.8577
000720.SZ,20130301,3.5824
000721.SZ,20130301,2.8349
000722.SZ,20130301,2.1293
000723.SZ,20130301,3.2374
000725.SZ,20130301,1.2351
000726.SZ,20130301,1.4091
000727.SZ,20130301,3.637
000728.SZ,20130301,1.5087
000729.SZ,20130301,1.5006
000731.SZ,20130301,2.3217
000732.SZ,20130301,3.847
000733.SZ,20130301,1.2372
000735.SZ,20130301,3.03
000736.SZ,20130301,1.7721
000737.SZ,20130301,5.6652
000738.SZ,20130301,5.0014
000739.SZ,20130301,2.8941
000748.SZ,20130301,2.4626
000750.SZ,20130301,9.1659
000751.SZ,20130301,nan
000752.SZ,20130301,5.0469
000753.SZ,20130301,2.7661
000755.SZ,20130301,1.1562
000756.SZ,20130301,1.2867
000757.SZ,20130301,67.1454
000758.SZ,20130301,5.6491
000759.SZ,20130301,1.5537
000760.SZ,20130301,20.7963
000761.SZ,20130301,0.7785
000762.SZ,20130301,3.1623
000766.SZ,20130301,4.0244
000767.SZ,20130301,9.3661
000768.SZ,20130301,2.6157
000776.SZ,20130301,2.8856
000777.SZ,20130301,4.4742
000778.SZ,20130301,1.0413
000779.SZ,20130301,4.9846
000780.SZ,20130301,1.8439
000782.SZ,20130301,1.4289
000783.SZ,20130301,2.0356
000785.SZ,20130301,2.0276
000786.SZ,20130301,3.3363
000788.SZ,20130301,5.7146
000789.SZ,20130301,3.0028
000790.SZ,20130301,5.5019
000791.SZ,20130301,1.2929
000792.SZ,20130301,2.7975
000793.SZ,20130301,3.6251
000795.SZ,20130301,7.4506
000796.SZ,20130301,2.8223
000797.SZ,20130301,2.0994
000798.SZ,20130301,3.493
000799.SZ,20130301,5.1211
000800.SZ,20130301,1.8281
000801.SZ,20130301,2.9413
000802.SZ,20130301,1.9837
000803.SZ,20130301,9.0529
000806.SZ,20130301,3.1644
000807.SZ,20130301,2.2114
000809.SZ,20130301,2.0862
000810.SZ,20130301,2.4044
000811.SZ,20130301,2.7546
000812.SZ,20130301,2.712
000813.SZ,20130301,9.3567
000815.SZ,20130301,3.0663
000816.SZ,20130301,2.6351
000818.SZ,20130301,1.3771
000819.SZ,20130301,4.6725
000821.SZ,20130301,1.2764
000822.SZ,20130301,1.0904
000823.SZ,20130301,2.5804
000825.SZ,20130301,0.8573
000826.SZ,20130301,5.2438
000828.SZ,20130301,1.5038
000829.SZ,20130301,2.1523
000830.SZ,20130301,1.3177
000831.SZ,20130301,9.554
000833.SZ,20130301,2.1442
000835.SZ,20130301,4.6286
000836.SZ,20130301,2.0478
000837.SZ,20130301,1.9762
000838.SZ,20130301,5.3227
000839.SZ,20130301,1.6789
000848.SZ,20130301,8.8578
000850.SZ,20130301,1.7982
000851.SZ,20130301,1.6765
000852.SZ,20130301,5.6175
000856.SZ,20130301,2.9199
000858.SZ,20130301,3.2167
000859.SZ,20130301,2.0372
000860.SZ,20130301,2.454
000861.SZ,20130301,4.132
000862.SZ,20130301,6.3035
000863.SZ,20130301,4.9955
000868.SZ,20130301,2.5659
000869.SZ,20130301,5.7873
000875.SZ,20130301,1.2013
000876.SZ,20130301,2.1949
000877.SZ,20130301,1.3333
000878.SZ,20130301,2.9571
000880.SZ,20130301,2.194
000881.SZ,20130301,1.598
000882.SZ,20130301,1.1143
000883.SZ,20130301,1.4813
000885.SZ,20130301,2.2896
000886.SZ,20130301,1.376
000887.SZ,20130301,4.5313
000888.SZ,20130301,5.1032
000889.SZ,20130301,2.4758
000890.SZ,20130301,1.7152
000892.SZ,20130301,368.8413
000893.SZ,20130301,8.2943
000895.SZ,20130301,7.3232
000897.SZ,20130301,2.724
000898.SZ,20130301,0.5639
