code,date,p2b
000001.SZ,20140901,0.973
000002.SZ,20140901,1.3137
000004.SZ,20140901,17.4712
000005.SZ,20140901,4.0296
000006.SZ,20140901,1.8841
000007.SZ,20140901,7.0094
000008.SZ,20140901,4.4568
000009.SZ,20140901,5.9717
000010.SZ,20140901,7.113
000011.SZ,20140901,2.6725
000012.SZ,20140901,1.9229
000014.SZ,20140901,3.9854
000016.SZ,20140901,1.3748
000017.SZ,20140901,416.71
000018.SZ,20140901,13.8692
000019.SZ,20140901,2.659
000020.SZ,20140901,8.2647
000021.SZ,20140901,2.0222
000022.SZ,20140901,2.2607
000023.SZ,20140901,4.559
000024.SZ,20140901,1.1257
000025.SZ,20140901,11.9288
000026.SZ,20140901,2.1695
000027.SZ,20140901,1.0449
000028.SZ,20140901,4.0495
000029.SZ,20140901,2.3777
000030.SZ,20140901,2.2884
000031.SZ,20140901,1.7502
000032.SZ,20140901,2.3729
000033.SZ,20140901,6.4108
000034.SZ,20140901,16.4434
000035.SZ,20140901,7.0137
000036.SZ,20140901,2.2264
000037.SZ,20140901,1.8172
000038.SZ,20140901,10.8979
000039.SZ,20140901,1.851
000040.SZ,20140901,1.7132
000042.SZ,20140901,1.7489
000043.SZ,20140901,1.2145
000045.SZ,20140901,2.2588
000046.SZ,20140901,2.7661
000048.SZ,20140901,9.7759
000049.SZ,20140901,13.2172
000050.SZ,20140901,11.3852
000055.SZ,20140901,5.4903
000056.SZ,20140901,1.7083
000058.SZ,20140901,3.2725
000059.SZ,20140901,1.2999
000060.SZ,20140901,2.5711
000061.SZ,20140901,3.6137
000062.SZ,20140901,5.2836
000063.SZ,20140901,2.06
000065.SZ,20140901,5.1793
000066.SZ,20140901,3.5181
000068.SZ,20140901,44.7738
000069.SZ,20140901,1.5537
000070.SZ,20140901,2.7352
000078.SZ,20140901,4.1615
000088.SZ,20140901,2.1573
000089.SZ,20140901,0.8799
000090.SZ,20140901,1.3867
000096.SZ,20140901,2.0233
000099.SZ,20140901,2.1657
000100.SZ,20140901,1.454
000150.SZ,20140901,3.3351
000151.SZ,20140901,4.1109
000153.SZ,20140901,2.8914
000155.SZ,20140901,5.0158
000156.SZ,20140901,18.5801
000157.SZ,20140901,0.8638
000158.SZ,20140901,1.6344
000159.SZ,20140901,1.9972
000301.SZ,20140901,1.3275
000333.SZ,20140901,2.6219
000338.SZ,20140901,1.3025
000400.SZ,20140901,4.3025
000401.SZ,20140901,0.9743
000402.SZ,20140901,0.8905
000403.SZ,20140901,12.0737
000404.SZ,20140901,1.7069
000407.SZ,20140901,3.4512
000408.SZ,20140901,7.514
000409.SZ,20140901,4.89
000410.SZ,20140901,2.1159
000411.SZ,20140901,4.771
