code,date,tot_asset,tot_liab,roe,ato,gpm,roa,p2b,cur_tmv,cur_cmv,cls_price,revenue
000002.SZ,20130101,,,,,,,1.9756,11127152.7406,9777980.4624,10.12,
000004.SZ,20130101,,,,,,,9.1696,68692.9275,68610.1255,8.18,
000005.SZ,20130101,,,,,,,4.2001,271557.0813,271381.6731,2.97,
000006.SZ,20130101,,,,,,,2.0278,636426.2362,626357.6763,4.95,
000007.SZ,20130101,,,,,,,11.514,334206.8803,267644.8803,14.47,
000008.SZ,20130101,,,,,,,2.7018,162882.2799,79029.7956,10.73,
000009.SZ,20130101,,,,,,,3.3743,959860.4655,949918.4341,8.8,
000010.SZ,20130101,,,,,,,60.6818,274922.6278,126774.492,18.7,
000011.SZ,20130101,,,,,,,3.2912,428508.9671,104927.4591,7.19,
000012.SZ,20130101,,,,,,,2.4658,1712151.837,1073980.6399,8.25,
