code,date,tot_asset,tot_liab,roe,ato,gpm,roa,p2b,cur_tmv,cur_cmv,cls_price,revenue
000420.SZ,20140808,,,,,,,8.1989,199341.6835,167747.057,5.27,
002032.SZ,20140808,,,,,,,2.7878,912748.9536,488013.2784,14.4,
002614.SZ,20140808,,,,,,,2.9436,619200.0,192843.39,17.2,
300058.SZ,20140808,,,,,,,5.3548,2234434.07,1250860.228,23.16,
300281.SZ,20140808,,,,,,,3.4954,224798.175,97387.5,18.55,
600237.SH,20140808,,,,,,,2.4904,372483.9129,372483.9129,6.6,
600261.SH,20140808,,,,,,,3.9663,986461.9238,986461.9238,10.19,
600516.SH,20140808,,,,,,,3.2263,1801680.076,1801680.076,10.48,
600850.SH,20140808,,,,,,,7.0611,841684.6244,447418.404,26.16,
601222.SH,20140808,,,,,,,3.3869,880473.867,868031.766,24.79,
